Gene Symbol	Gene Description	FC	P value
ANLN	anillin	26	0.013
ARPC5L	actin-related protein 2/3 complex, subunit 5-like	2	0.025
ASPM	asp (abnormal spindle) homolog	26	0.034
BUB1B	BUB1 budding uninhibited by benzimidazoles 1	9	0.029
CBX3	chromobox homolog 3	2	0.02
CCNB2	cyclin B2	14	0.017
CDCA5	cell division cycle associated 5	12	0.038
CENPF	centromere protein F	18	0.027
CEP55	centrosomal protein 55 kDa	16	0.038
CKS2	CDC28 protein kinase regulatory subunit 2	4	0.038
CTD	carboxy-terminal domain, RNA polymerase II	2	0.021
H2A histone family, member Y		2	0.017
KIF4A	kinesin family member 4A	18	0.037
MELK	maternal embryonic leucine zipper kinase	16	0.026
NEK2	NIMA (never in mitosis gene a)-related kinase 2	15	0.031
NUSAP1	nucleolar and spindle associated protein 1	10	0.02
PBK	PDZ-binding kinase	36	0.038
PRC1	protein regulator of cytokinesis 1	10	0.043
RCC2	regulator of chromosome condensation 2	2	0.02
RRM2	ribonucleotide reductase M2 polypeptide	20	0.005
SAC3D1	SAC3 domain containing 1	3	0.043
TMPO	thymopoietin	4	0.046
TOP2A	topoisomerase (DNA) II alpha 170 kDa	18	0.002
TPX2	microtubule-associated, homolog	23	0.031
UBE2C	ubiquitin-conjugating enzyme E2C	16	0.03
