ProbeSetID	Symbol	FC (log2)	t statistic	P value	Likelihood
202404_s_at	COL1A2	3.26	14.42	9.57E-28	62.03
202310_s_at	COL1A1	3.06	13.87	4.40E-26	58.37
200665_s_at	SPARC	2.26	12.86	4.84E-23	51.65
215076_s_at	COL3A1	2.4	12.41	1.10E-21	48.65
202403_s_at	COL1A2	2.38	12.41	1.11E-21	48.64
210495_x_at	FN1	2.82	12.39	1.32E-21	48.47
212464_s_at	FN1	2.95	12.35	1.73E-21	48.21
211719_x_at	FN1	2.97	12.33	2.02E-21	48.07
216442_x_at	FN1	2.77	12.09	1.03E-20	46.5
201852_x_at	COL3A1	2.4	11.86	5.12E-20	44.96
211980_at	COL4A1	1.54	11.55	4.29E-19	42.91
211161_s_at	COL3A1	2.38	11.04	1.41E-17	39.55
225681_at	CTHRC1	3.01	10.98	2.07E-17	39.18
201438_at	COL6A3	1.98	10.96	2.30E-17	39.08
221729_at	COL5A2	2.26	10.67	1.65E-16	37.18
212354_at	SULF1	2.24	10.58	3.11E-16	36.57
210809_s_at	POSTN	2.84	10.54	4.05E-16	36.32
221731_x_at	VCAN	2.17	10.36	1.33E-15	35.17
211981_at	COL4A1	1.54	10.25	2.74E-15	34.48
211964_at	COL4A2	1.48	10.22	3.34E-15	34.28
218638_s_at	SPON2	1.21	10	1.45E-14	32.87
202998_s_at	LOXL2	1.38	9.96	1.98E-14	32.57
201744_s_at	LUM	2.22	9.67	1.34E-13	30.73
201162_at	IGFBP7	1.34	9.57	2.54E-13	30.11
204620_s_at	VCAN	1.98	9.5	3.91E-13	29.7
227140_at	-NA-	2.33	9.49	4.29E-13	29.61
201105_at	LGALS1	1.51	9.4	7.51E-13	29.07
211959_at	IGFBP5	2.03	9.28	1.63E-12	28.32
208788_at	ELOVL5	1.5	9.23	2.36E-12	27.96
212667_at	SPARC	1.81	9.13	4.51E-12	27.34
221011_s_at	LBH	1.16	9.1	5.25E-12	27.19
208782_at	FSTL1	1.33	9.07	6.54E-12	26.98
213905_x_at	BGN	1.62	9.03	8.24E-12	26.76
212489_at	COL5A1	1.6	8.99	1.08E-11	26.5
217764_s_at	RAB31	1.56	8.9	1.86E-11	25.98
225664_at	COL12A1	1.93	8.9	1.86E-11	25.97
218468_s_at	GREM1	2.2	8.81	3.34E-11	25.41
221730_at	COL5A2	1.92	8.79	3.80E-11	25.29
217762_s_at	RAB31	1.55	8.79	3.80E-11	25.29
