Canonical Pathways	Count	p Value	Genes
MAPK signaling	6	1.30E-05	PPP3CC; CACNA1I; PPP3CB; PRKCA; TGFBR2; CDC25B
T-cell receptor signaling	4	5.29E-05	MALT1; PPP3CC; PPP3CB; PRKCQ
Natural killer cell mediated cytotoxicity	4	1.32E-04	PPP3CC; PPP3CB; PRKCA; HCST
Wnt signaling	4	1.91E-04	WNT7A; PPP3CC; PPP3CB; PRKCA
Calcium signaling	4	3.96E-04	PPP3CC; CACNA1I; PPP3CB; PRKCA
B-cell receptor signaling	3	3.78E-04	MALT1; PPP3CC; PPP3CB
Long-term potentiation	3	3.78E-04	PPP3CC; PPP3CB; PRKCA
VEGF signaling	3	3.93E-04	PPP3CC; PPP3CB; PRKCA
Apoptosis	3	6.24E-04	PPP3CC; PPP3CB; ATM
Cell cycle	3	0.00144	CDC14B; ATM; CDC25B
Tight junction	3	0.00211	CLDN18; PRKCA; PRKCQ
