Probe Set ID	p-value	Gene Symbol
201533_at	1.38345E-05	CTNNB1
201567_s_at	2.40893E-05	GOLGA4
201746_at	2.2571E-10	TP53
202002_at	2.97248E-05	ACAA2
202136_at	2.17322E-05	ZMYND11
202377_at	2.69105E-05
202419_at	9.60317E-06	KDSR
202797_at	0.000038105	SACM1L
203403_s_at	2.29155E-05	RNF6
205986_at	2.89354E-05	AATK
206725_x_at	1.60015E-05	BMP1
209979_at	4.09026E-05	ADARB1
211142_x_at	1.51309E-06	HLA-DOA
211512_s_at	7.90708E-06	OGFR
211692_s_at	4.01984E-05	BBC3
213691_at	1.61665E-05
213976_at	6.99244E-06	CIZ1
214213_x_at	3.64203E-05	LMNA
214237_x_at	3.49822E-05	PAWR
214368_at	6.38424E-06	RASGRP2
214630_at	1.05959E-05	CYP11B2
215045_at	2.08886E-05	TNRC4
215844_at	9.70793E-06	TNPO2
216842_x_at	3.01448E-05	RBM /// RBMY1A1 /// RBMY1B /// RBMY1C /// RBMY1D /// RBMY1E /// RBMY1F /// RBMY1J /// RBMY3AP
218171_at	1.60708E-05	VPS4B
219278_at	2.56674E-05	MAP3K6
220896_at	3.30875E-05	FBXL18
221090_s_at	3.91772E-05	OGFOD1
221660_at	3.50922E-05	MYLC2PL
