Full Name	Symbol	Entrez gene ID	Log2 R
Under-represented genes keratin 14	KRT14	3861	8.93
aldehyde dehydrogenase 3 family, memberA1 keratin 12	ALDH3A1 KRT12	218 3859	8.72 8.60
gap junction protein, alpha 1, 43 kDa chemokine (C-X-C motif) ligand 14 chromosome 10 open reading frame 116 keratin 5	GJA1 CXCL14 C10orf116 KRT5	2697 9547 10974 3852	8.46 8.37 8.28 8.23
aldehyde dehydrogenase 1 family, member A1 clusterin	ALDH1A1 CLU	216 1191	7.97 7.59
S100 calcium binding protein A4 keratin 24	S100A4 KRT24	6275 192666	7.47 7.46
desmoglein 1 cartilage acidic protein 1 mal, T-cell differentiation protein tripartite motif-containing 29 paired box 6 keratin 3	DSG1 CRTAC1 MAL TRIM29 PAX6 KRT3	1828 55118 4118 23650 5080 3850	7.29 6.88 6.79 6.71 6.60 6.57
chloride channel accessory 2 HOP homeobox	CLCA2 HOPX	9635 84525	6.23 6.17
desmocollin 3	DSC3	1825	5.99
crystallin, alpha B	CRYAB	1410	5.92
chloride channel accessory 4	CLCA4	22802	5.61
insulin-like growth factor binding protein 2, 36 kDa	IGFBP2	3485	5.61
secretoglobin, family 2A, member 1	SCGB2A1	4246	5.58
collagen, type XVII, alpha 1	COL17A1	1308	5.47
hepatic leukemia factor	HLF	3131	5.38
tripartite motif-containing 36	TRIM36	55521	5.36
keratin 15	KRT15	3866	5.32
keratin 4	KRT4	3851	5.32
v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	KIT	3815	5.09
cadherin 13, H-cadherin (heart)	CDH13	1012	5.08
calmodulin-like 3	CALML3	810	5.04
mal, T-cell differentiation protein-like	MALL	7851	5.04
uroplakin 1B	UPK1B	7348	5.01
PERP, TP53 apoptosis effector	PERP	64065	4.97
serpin peptidase inhibitor, clade F, member 1	SERPINF1	5176	4.96
lysophosphatidic acid receptor 6	LPAR6	10161	4.96
visinin-like 1	VSNL1	7447	4.87
LY6/PLAUR domain containing 3	LYPD3	27076	4,83
zinc finger, BED-type containing 2	ZBED2	79413	4.8
