Gene Symbol	Probe Set	Gene Title
ATP1B1	201243_s_at	ATPase, Na+/K+ transporting, beta 1 polypeptide
TRIM14	203147_s_at	Tripartite motif-containing 14
FAM64A	221591_s_at	Family with sequence similarity 64, member A
FOSL2	218881_s_at	FOS-like antigen 2
HEXIM1	202814_s_at	Hexamethylene bis-acetamide inducible 1
MB	204179_at	Myoglobin
L1CAM	204584_at	L1 cell adhesion molecule
UMPS	202707_at	Uridine monophosphate synthetase
EDN3	208399_s_at	Endothelin 3
STMN2	203001_s_at	Stathmin-like 2
MYT1L	210016_at	Myelin transcription factor 1-like
IKBKAP	202490_at	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein
MLANA	206426_at	Melan-A
MDM2	205386_s_at	Mdm2, transformed 3T3 cell double minute 2
ZNF236	219171_s_at	Zinc finger protein 236
