Probe Set ID	Gene Symbol	Gene Title	Log2 FC	raw p value
202562_s_at	C14orf1	chromosome 14 open reading frame 1	-1	0.0025
218998_at	C9orf6	chromosome 9 open reading frame 6	-1	0.00077
201275_at	FDPS	farnesyl diphosphate synthase	-1	0.0012
217959_s_at	TRAPPC4	trafficking protein particle complex 4	-1	0.0015
202024_at	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1	-1.1	0.0031
202021_x_at	EIF1	eukaryotic translation initiation factor 1	-1.1	0.002
221597_s_at	HSPC171	HSPC171 protein	-1.1	0.0018
201626_at	INSIG1	insulin induced gene 1	-1.1	0.0023
203515_s_at	PMVK	phosphomevalonate kinase	-1.1	0.0013
208941_s_at	SEPHS1	selenophosphate synthetase 1	-1.1	0.00043
221021_s_at	CTNNBL1	catenin, beta like 1	-1.2	0.00037
209759_s_at	DCI	dodecenoyl-Coenzyme A delta isomerase	-1.2	0.00028
AFFX-HUMGAPDH	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	-1.2	0.0029
201232_s_at	PSMD13	proteasome 26S subunit, non-ATPase, 13	-1.2	0.0022
209118_s_at	TUBA1A	tubulin, alpha 1a	-1.2	0.0032
214934_at	ATP9B	ATPase, Class II, type 9B	-1.3	0.0028
213617_s_at	C18orf10	chromosome 18 open reading frame 10	-1.3	0.0018
211709_s_at	CLEC11A	C-type lectin domain family 11, member A	-1.3	0.0025
209029_at	COPS7A	COP9 constitutive photomorphogenic homolog subunit 7A	-1.3	0.00059
217990_at	GMPR2	guanosine monophosphate reductase 2	-1.3	0.002
206295_at	IL18	interleukin 18 (interferon-gamma-inducing factor)	-1.3	0.0031
204057_at	IRF8	interferon regulatory factor 8	-1.3	0.0024
208158_s_at	OSBPL1A	oxysterol binding protein-like 1A	-1.3	0.0025
200658_s_at	PHB	prohibitin	-1.3	0.00076
208964_s_at	FADS1	fatty acid desaturase 1	-1.4	0.0029
218160_at	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	-1.4	0.00037
206167_s_at	ARHGAP6	Rho GTPase activating protein 6	-1.5	0.00083
209199_s_at	MEF2C	myocyte enhancer factor 2C	-1.5	0.0012
203680_at	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	-1.5	0.0021
212038_s_at	VDAC1	voltage-dependent anion channel 1	-1.5	0.0017
200720_s_at	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha	-1.6	0.0025
212224_at	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	-1.6	0.0019
214769_at	CLCN4	chloride channel 4	-1.6	0.0017
216060_s_at	DAAM1	dishevelled associated activator of morphogenesis 1	-1.6	0.00041
202947_s_at	GYPC	glycophorin C (Gerbich blood group)	-1.6	0.00066
212192_at	KCTD12	potassium channel tetramerisation domain containing 12	-1.6	0.0025
206445_s_at	PRMT1	protein arginine methyltransferase 1	-1.6	0.0015
218672_at	SCNM1	sodium channel modifier 1	-1.6	0.00067
203818_s_at	SF3A3	splicing factor 3a, subunit 3, 60kDa	-1.6	0.00024
210986_s_at	TPM1	tropomyosin 1 (alpha)	-1.6	0.0013
218028_at	ELOVL1	elongation of very long chain fatty acids-like 1	-1.7	0.00021
206478_at	KIAA0125	KIAA0125	-1.7	0.002
214146_s_at	PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	-1.8	0.0029
205692_s_at	CD38	CD38 molecule	-1.9	0.003
214919_s_at	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3	-1.9	0.0005
212190_at	SERPINE2	serpin peptidase inhibitor, clade E, member 2	-1.9	0.00037
201212_at	LGMN	legumain	-2	0.0014
203817_at	GUCY1B3	guanylate cyclase 1, soluble, beta 3	-2.2	0.00017
202729_s_at	LTBP1	latent transforming growth factor beta binding protein 1	-2.2	0.00055
214149_s_at	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	-2.4	0.0016
211657_at	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6	-2.4	0.0025
218858_at	DEPDC6	DEP domain containing 6	-2.4	0.00006
212681_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3	-2.4	0.00014
202555_s_at	MYLK	myosin, light chain kinase	-2.4	0.00011
206390_x_at	PF4	platelet factor 4 (chemokine (C-X-C motif) ligand 4)	-2.5	0.00057
219054_at	C5orf23	chromosome 5 open reading frame 23	-2.6	0.000017
206834_at	HBD	hemoglobin, delta	-2.6	0.00037
201005_at	CD9	CD9 molecule	-2.9	0.001
211026_s_at	MGLL	monoglyceride lipase	-2.9	0.000015
205033_s_at	DEFA1 /// DEFA3	defensin, alpha 1 /// defensin, alpha 3, neutrophil-specific	-3.7	0.0001
221491_x_at	hCG_1998957 /// HLA-DRB, DRB3, DRB4, DRB5	major histocompatibility complex, class II, DR beta 1, DR beta 3, DR beta 4, DR beta 5	-3.9	0.00006
