Probe Set ID	p-value	Gene Symbol
32259_at	0.0001213	EZH1
35148_at	4.07347E-05	TJP3
40562_at	9.54728E-05	GNA11
43544_at	4.45523E-05	MED16
53071_s_at	0.00016854	FLJ22222
202761_s_at	8.89378E-05	SYNE2
202951_at	0.00014105	STK38
203409_at	1.15766E-05	DDB2
205583_s_at	9.98925E-06	CXorf45
206273_at	6.2745E-05	SLMO1
208866_at	3.77185E-05	CSNK1A1
209513_s_at	3.63769E-06	HSDL2
210817_s_at	4.74913E-05	CALCOCO2
212697_at	0.000142766	FAM134C
212717_at	3.71546E-05	PLEKHM1
214179_s_at	3.2011E-05	NFE2L1
217509_x_at	0.000101599	GRIK5
217707_x_at	0.000139408	SMARCA2
217880_at	1.56427E-05	CDC27
218248_at	7.45895E-05	FAM111A
219147_s_at	4.21234E-05	C9orf95
