# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|74184|74184	mgi_symbol|2310065F04Rik|2310065F04Rik
entrezgene|228608|228608	mgi_symbol|Smox|Smox
entrezgene|16019|16019	mgi_symbol|Igh-6|Igh-6
entrezgene|70503|70503	mgi_symbol|Ddo|Ddo
entrezgene|74463|74463	mgi_symbol|Exoc3l2|Exoc3l2
entrezgene|212448|212448	mgi_symbol|9330159F19Rik|9330159F19Rik
entrezgene|108682|108682	mgi_symbol|Gpt2|Gpt2
entrezgene|26399|26399	mgi_symbol|Map2k6|Map2k6
entrezgene|69576|69576	mgi_symbol|2310010M20Rik|2310010M20Rik
entrezgene|56506|56506	mgi_symbol|Cib2|Cib2
entrezgene|11829|11829	mgi_symbol|Aqp4|Aqp4
entrezgene|19218|19218	mgi_symbol|Ptger3|Ptger3
entrezgene|235599|235599	mgi_symbol|6430571L13Rik|6430571L13Rik
entrezgene|14385|14385	mgi_symbol|Slc37a4|Slc37a4
entrezgene|53857|53857	mgi_symbol|Tuba8|Tuba8
entrezgene|12322|12322	mgi_symbol|Camk2a|Camk2a
entrezgene|268780|268780	mgi_symbol|Egflam|Egflam
entrezgene|235135|235135	mgi_symbol|Tmem45b|Tmem45b
entrezgene|231872|231872	mgi_symbol|Jtv1|Jtv1
entrezgene|70260|70260	mgi_symbol|2010110I21Rik|2010110I21Rik
entrezgene|14545|14545	mgi_symbol|Gdap1|Gdap1
entrezgene|27281|27281	mgi_symbol|Hrasls|Hrasls
entrezgene|108097|108097	mgi_symbol|Prkab2|Prkab2
entrezgene|15370|15370	mgi_symbol|Nr4a1|Nr4a1
entrezgene|56298|56298	mgi_symbol|Arl6ip2|Arl6ip2
entrezgene|242735|242735	mgi_symbol|Lrrc38|Lrrc38
entrezgene|16773|16773	mgi_symbol|Lama2|Lama2
entrezgene|26874|26874	mgi_symbol|Abcd2|Abcd2
entrezgene|227721|227721	mgi_symbol|Ppapdc3|Ppapdc3
entrezgene|71699|71699	mgi_symbol|Slc41a3|Slc41a3
entrezgene|102103|102103	mgi_symbol|Mtus1|Mtus1
entrezgene|16716|16716	mgi_symbol|Ky|Ky
entrezgene|14571|14571	mgi_symbol|Gpd2|Gpd2
entrezgene|208718|208718	mgi_symbol|Dis3l2|Dis3l2
entrezgene|381045|381045	mgi_symbol|Ccdc58|Ccdc58
entrezgene|20646|20646	mgi_symbol|Snrpn|Snrpn
entrezgene|67283|67283	mgi_symbol|Slc25a19|Slc25a19
entrezgene|68469|68469	mgi_symbol|1110006G14Rik|1110006G14Rik
entrezgene|319801|319801	mgi_symbol|9630033F20Rik|9630033F20Rik
entrezgene|18682|18682	mgi_symbol|Phkg1|Phkg1
