Gene Name	Symbol	Accesion No.	Log (base 2)	FDR
2,3-cyclic nucleotide 3 phosphodiesterase	Cnp	NM_012809	-0.943	0.038
5-3 exoribonuclease 1	Xrn1	XM_217233	-1.069	0.037
5-oxoprolinase (ATP-hydrolysing)	Oplah	NM_053904	-0.649	0.037
A kinase (PRKA) anchor protein (yotiao) 9	Akap9	XM_347223	-0.676	0.046
A kinase (PRKA) anchor protein 8	Akap8	XM_343176	-0.724	0.044
achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)	Aaas	XM_217063	-0.613	0.043
acidic ribosomal phosphoprotein P0	Arbp	NM_022402	-0.922	0.037
actin related protein 2/3 complex, subunit 5	Arpc5	NM_001025717	-0.704	0.038
actin related protein 2/3 complex, subunit 5-like	Arpc5l	XM_216047	-0.651	0.042
activating transcription factor 7 interacting protein	Atf7ip	XM_232488	-1.661	0.036
acyl-CoA synthetase bubblegum family member 1	Acsbg1	NM_134389	-0.668	0.042
acyl-Coenzyme A binding domain containing 6	Acbd6	NM_001011906	-0.725	0.049
adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	Appl2	XM_343190	-0.706	0.043
adaptor-related protein complex 3, delta 1 subunit	Ap3d1	XM_234908	-1.038	0.048
ADP-ribosylation factor GTPase activating protein 1	Arfgap1	NM_145090	-0.661	0.047
ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	Arfgef1	XM_232614	-0.755	0.037
advillin	Avil	NM_024401	-1.196	0.043
AF4/FMR2 family, member 3	Aff3	XM_343559	-1.14	0.038
alkylglycerone phosphate synthase	Agps	NM_053350	-0.613	0.038
alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	Atrx	BF562870	-1.012	0.037
alpha-2-macroglobulin	A2m	NM_012488	-1.758	0.037
amyloid beta (A4) precursor protein-binding, family B, member 3	Apbb3	NM_053957	-0.732	0.038
ankyrin repeat and sterile alpha motif domain containing 3	Anks3	NM_001009676	-0.979	0.044
apolipoprotein C-I	Apoc1	NM_012824	-1.605	0.044
apolipoprotein E	Apoe	NM_138828	-1.663	0.036
apolipoprotein M	Apom	NM_019373	-0.64	0.044
arrestin, beta 2	Arrb2	NM_012911	-1.329	0.036
artemin	Artn	NM_053397	-1.379	0.037
AT rich interactive domain 1A (SWI-like)	Arid1a	XM_216340	-0.688	0.041
AT rich interactive domain 5B (Mrf1 like)	Arid5b	XM_228114	-1.18	0.036
ataxin 3	Atxn3	NM_021702	-1.152	0.037
ATG16 autophagy related 16-like 1 (S. cerevisiae)	Atg16l1	BF557691	-0.722	0.037
ATP-binding cassette, sub-family B (MDR/TAP), member 8	Abcb8	NM_001007796	-0.689	0.038
baculoviral IAP repeat-containing 3	Birc3	NM_023987	-1.565	0.036
basic leucine zipper transcription factor, ATF-like	Batf	XM_216745	-1.385	0.044
BAT2 domain containing 1	Bat2d1	XM_341141	-0.984	0.036
B-box and SPRY domain containing	Bspry	NM_022261	-0.753	0.047
B-cell CLL/lymphoma 7C	Bcl7c	XM_215076	-0.74	0.047
B-cell leukemia/lymphoma 2 related protein A1d	Bcl2a1d	NM_133416	-1.36	0.044
B-cell linker	Blnk	NM_001025767	-1.4	0.036
beaded filament structural protein 1	Bfsp1	XM_342529	-0.915	0.041
BMS1 homolog, ribosome assembly protein (yeast)	Bms1	XM_342746	-0.599	0.044
bone marrow stromal cell antigen 2	Bst2	NM_198134	-0.914	0.039
branched chain aminotransferase 1, cytosolic	Bcat1	NM_017253	-1.242	0.037
bridging integrator 2	Bin2	NM_001012223	-2.15	0.04
brix domain containing 1	Bxdc1	XM_215404	-0.762	0.042
bromodomain and WD repeat domain containing 1	Brwd1	XM_221627	-0.805	0.047
bromodomain containing 2	Brd2	NM_212495	-1.374	0.036
bromodomain containing 8	Brd8	NM_001008509	-0.763	0.047
BUD31 homolog (yeast)	Bud31	NM_053556	-0.59	0.048
C1q and tumor necrosis factor related protein 3	C1qtnf3	XM_226833	-1.698	0.045
calcium homeostasis modulator 2	Calhm2	NM_001008306	-0.7	0.037
calpain 1	Capn1	U53858	-1.164	0.046
calponin 1, basic, smooth muscle	Cnn1	NM_031747	-1.558	0.046
carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	Chst1	NM_001011955	-1.155	0.036
carboxypeptidase X (M14 family), member 1	Cpxm1	XM_215840	-1.376	0.037
carcinoembryonic antigen-related cell adhesion molecule 16	Ceacam16	XM_214856	-0.905	0.041
casein alpha s2-like A	Csn1s2a	XM_341197	-4.336	0.05
catenin, beta like 1	Ctnnbl1	NM_001024870	-0.862	0.037
cathepsin E	Ctse	NM_012938	-1.999	0.036
CD164 sialomucin-like 2	Cd164l2	XM_342935	-1.39	0.036
Cd200 molecule	Cd200	NM_031518	-0.948	0.044
CD3 molecule, gamma polypeptide	Cd3g	XM_217136	-3.994	0.042
Cd5 molecule	Cd5	NM_019295	-4.154	0.039
Cd53 molecule	Cd53	NM_012523	-2.305	0.049
Cd7 molecule	Cd7	XM_221216	-0.737	0.047
