Gene symbol	Gene title	PTC versus NG SLR	Probe set ID	Chromosomal location
IGFBP6	Insulin-like growth factor-binding protein 6	5.80E+00	203851_at	chr12q13
PTGER4	Prostaglandin E receptor 4 (subtype EP4)	6.50E+00	204897_at	chr5p13.1
PLAU	Plasminogen activator, urokinase	5.10E+00	205479_s_at	chr10q24
ECM1	Extracellular matrix protein 1	6.90E+00	209365_s_at	chr1q21
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)	5.50E+00	209395_at	chr1q32.1
CHI3L1	Chitinase 3-like 1 (cartilage glycoprotein-39)	5.40E+00	209396_s_at	chr1q32.1
LRP4	Low-density lipoprotein receptor-related protein 4	5.00E+00	212850_s_at	chr11p11.2-p12
SLIT1	Slit homolog 1 (Drosophila)	5.60E+00	213601_at	chr10q23.3-q24
FLRT3	Fibronectin leucine-rich transmembrane protein 3	5.00E+00	219250_s_at	chr20p11
	CDNA clone IMAGE:4800096	5.40E+00	228640_at
ZCCHC12	Zinc finger, CCHC domain containing 12	8.80E+00	228715_at	chrXq24
C20orf133	Chromosome 20 open reading frame 133	5.80E+00	235278_at	chr20p12.1
