Curated Gene Symbol	Order	Parametric p-value	FDR	Geom mean of intensities in Females	Geom mean of intensities in Males	Fold-change	Unique id	Description	GB acc	Gene symbol
KDM5D	1	< 1e-07	< 1e-07	30.8176381	609.7704057	0.0505397	A_23_P137238	Homo sapiens jumonji, AT rich interactive domain 1D (JARID1D), mRNA [NM_004653]	NM_004653	JARID1D
EIF1AY	2	< 1e-07	< 1e-07	1358.144952	4163.024347	0.32624	A_23_P148629	Homo sapiens eukaryotic translation initiation factor 1A, Y-linked (EIF1AY), mRNA [NM_004681]	NM_004681	EIF1AY
DDX3Y	3	< 1e-07	< 1e-07	65.6004191	309.0567319	0.2122601	A_24_P130936	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked (DDX3Y), mRNA [NM_004660]	NM_004660	DDX3Y
PRKY	4	< 1e-07	< 1e-07	157.6748236	435.6104933	0.3619629	A_24_P186030	Homo sapiens protein kinase, Y-linked (PRKY), mRNA [NM_002760]	NM_002760	PRKY
	5	< 1e-07	< 1e-07	384.1416007	33.3496056	11.518625	A_32_P216715	nk67d10.s1 NCI_CGAP_Sch1 Homo sapiens cDNA clone IMAGE:1018579 3, mRNA sequence [AA601031]	AA601031	AA601031
PRKY	6	< 1e-07	< 1e-07	741.2769643	1393.436576	0.5319775	A_23_P137248	Homo sapiens protein kinase, Y-linked (PRKY), mRNA [NM_002760]	NM_002760	PRKY
DDX3X	7	< 1e-07	< 1e-07	1012.697326	1930.35219	0.5246179	A_23_P317657	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked (DDX3X), mRNA [NM_001356]	NM_001356	DDX3X
TTTY14	8	< 1e-07	< 1e-07	30.2259152	73.5966365	0.410697	A_24_P66233	Homo sapiens testis-specific transcript, Y-linked 14 (TTTY14) on chromosome Y [NR_001543]	NR_001543	TTTY14
ZFX	9	< 1e-07	< 1e-07	302.8053961	175.8049376	1.7223941	A_24_P940524	Homo sapiens zinc finger protein, X-linked (ZFX), mRNA [NM_003410]	NM_003410	ZFX
	10	0.0000008	0.0009189	553.1945281	206.6476449	2.6769941	A_32_P23731	Q6NVT1_XENTR (Q6NVT1) RNA binding motif protein 25, partial (7%) [THC2585656]	THC2585656	THC2585656
HDHD1	11	0.0000058	0.0060563	244.0524794	148.0709889	1.6482127	A_23_P254842	Homo sapiens haloacid dehalogenase-like hydrolase domain containing 1A (HDHD1A), mRNA [NM_012080]	NM_012080	HDHD1A
	12	0.0000158	0.0151232	149.8388231	85.0582935	1.7616016	A_32_P40375	Q6PJD4_HUMAN (Q6PJD4) LOC389906 protein (Fragment), partial (10%) [THC2518594]	THC2518594	THC2518594
SH2D1B	13	0.0000193	0.0170523	751.6545655	1516.63706	0.4956061	A_23_P351148	Homo sapiens SH2 domain containing 1B (SH2D1B), mRNA [NM_053282]	NM_053282	SH2D1B
ZFX	14	0.0000212	0.0173931	52.3529583	30.8181593	1.6987698	A_23_P125639	Homo sapiens zinc finger protein, X-linked (ZFX), mRNA [NM_003410]	NM_003410	ZFX
	15	0.0000618	0.0473223	31.4279281	19.8263253	1.5851615	A_24_P381379	Homo sapiens cDNA FLJ13769 fis, clone PLACE4000222. [AK023831]	AK023831	FLJ13769
ZBTB12	16	0.0000697	0.0500359	18.3756372	7.116633	2.582069	A_23_P111155	Homo sapiens zinc finger and BTB domain containing 12 (ZBTB12), mRNA [NM_181842]	NM_181842	ZBTB12
PLXNA4	17	0.0000786	0.0531059	17.980777	42.8266211	0.4198505	A_24_P265051	Homo sapiens mRNA for KIAA1550 protein, partial cds. [AB046770]	AB046770	PLXNA4A
ANK3	18	0.0000889	0.0567281	171.1657182	92.5049369	1.8503414	A_32_P33304	Homo sapiens cDNA FLJ44903 fis, clone BRAMY3005184, highly similar to Mus musculus ankyrin 3, epithelial (Ank3). [AK126851]	AK126851	ANK3
CD160	19	0.000109	0.0635176	17.6565492	38.5738945	0.4577331	A_23_P354341	Homo sapiens CD160 molecule (CD160), mRNA [NM_007053]	NM_007053	CD160
MLANA	20	0.0001106	0.0635176	12.9218376	7.948878	1.6256178	A_23_P43350	Homo sapiens melan-A (MLANA), mRNA [NM_005511]	NM_005511	MLANA
	21	0.00014	0.0716127	26.7915757	12.134732	2.2078424	A_24_P923854	Homo sapiens clone FLB1727 PRO0398 mRNA, complete cds. [AF113674]	AF113674	AF113674
CELSR1	22	0.0001408	0.0716127	36.0556874	22.0688363	1.6337829	A_23_P132378	Homo sapiens cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila) (CELSR1), mRNA [NM_014246]	NM_014246	CELSR1
COPZ2	23	0.0001434	0.0716127	40.0056294	71.3908542	0.5603747	A_23_P101093	Homo sapiens coatomer protein complex, subunit zeta 2 (COPZ2), mRNA [NM_016429]	NM_016429	COPZ2
AKR1C3	24	0.0001511	0.0723139	397.4281284	676.3610978	0.5875976	A_23_P138541	Homo sapiens aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II) (AKR1C3), mRNA [NM_003739]	NM_003739	AKR1C3
ZFY	25	0.0001637	0.073908	156.0359807	102.8968706	1.5164308	A_23_P62465	Homo sapiens zinc finger protein, Y-linked (ZFY), mRNA [NM_003411]	NM_003411	ZFY
C1orf177	26	0.0001673	0.073908	68.2578207	114.9256936	0.59393	A_24_P94319	Homo sapiens chromosome 1 open reading frame 177 (C1orf177), mRNA [NM_152607]	NM_152607	C1orf177
KIR2DL4	27	0.0001858	0.0780228	49.4818472	105.5675373	0.4687222	A_24_P288298	Homo sapiens killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4 (KIR2DL4), mRNA [NM_002255]	NM_002255	KIR2DL4
KLRF1	28	0.0001902	0.0780228	606.293641	1084.632841	0.5589851	A_32_P158966	Homo sapiens killer cell lectin-like receptor subfamily F, member 1 (KLRF1), mRNA [NM_016523]	NM_016523	KLRF1
P2RX7	29	0.0002107	0.0807083	30.9537621	54.6797384	0.566092	A_24_P319113	Homo sapiens purinergic receptor P2X, ligand-gated ion channel, 7 (P2RX7), mRNA [NM_002562]	NM_002562	P2RX7
	30	0.0002108	0.0807083	23.2179914	13.0787223	1.7752492	A_24_P933059	Unknown	A_24_P933059	A_24_P933059
TTC38	31	0.0002435	0.0902207	363.015679	675.3661025	0.5375095	A_24_P156388	Homo sapiens hypothetical protein FLJ20699 (FLJ20699), mRNA [NM_017931]	NM_017931	FLJ20699
FGFBP2	32	0.0002701	0.0957863	1084.595559	2259.702402	0.4799727	A_24_P226069	Homo sapiens fibroblast growth factor binding protein 2 (FGFBP2), mRNA [NM_031950]	NM_031950	FGFBP2
ADAMTS4	33	0.0002752	0.0957863	58.0382765	37.9445495	1.529555	A_23_P360754	Homo sapiens ADAM metallopeptidase with thrombospondin type 1 motif, 4 (ADAMTS4), mRNA [NM_005099]	NM_005099	ADAMTS4
S1PR5	34	0.0003186	0.1057697	82.6106918	177.1799893	0.4662529	A_23_P107750	Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 8 (EDG8), mRNA [NM_030760]	NM_030760	EDG8
SGOL1	35	0.0003223	0.1057697	17.7139909	10.8848955	1.6273919	A_24_P225970	Homo sapiens shugoshin-like 1 (S. pombe) (SGOL1), transcript variant A1, mRNA [NM_001012409]	NM_001012409	SGOL1
LGR6	36	0.0003676	0.1172848	364.918284	583.117212	0.6258061	A_23_P23839	Homo sapiens leucine-rich repeat-containing G protein-coupled receptor 6 (LGR6), transcript variant 1, mRNA [NM_001017403]	NM_001017403	LGR6
	37	0.0004115	0.125433	32.338323	22.7737084	1.4199849	A_32_P71585	Unknown	THC2695815	THC2695815
SPON2	38	0.0004256	0.125433	6613.060685	12832.25278	0.5153468	A_23_P121533	Homo sapiens spondin 2, extracellular matrix protein (SPON2), mRNA [NM_012445]	NM_012445	SPON2
	39	0.0004259	0.125433	119.916368	188.2199012	0.6371078	A_32_P190036	PREDICTED: Homo sapiens similar to sperm protein SSP411 (LOC441964), mRNA [XM_497783]	XM_497783	LOC441964
DDX43	40	0.0004777	0.1364313	57.629164	136.0817728	0.4234892	A_23_P156445	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 43 (DDX43), mRNA [NM_018665]	NM_018665	DDX43
	41	0.000487	0.1364313	143.1393043	95.8220967	1.4938027	A_32_P226700	Q6STG2_HUMAN (Q6STG2) DNA polymerase-transactivated protein 3, partial (13%) [THC2638360]	THC2638360	THC2638360
FKBP10	42	0.0005144	0.1365159	9.678749	19.6543577	0.492448	A_23_P15727	Homo sapiens FK506 binding protein 10, 65 kDa (FKBP10), mRNA [NM_021939]	NM_021939	FKBP10
PCDH1	43	0.0005265	0.1365159	17.8145186	27.8435333	0.6398081	A_23_P213359	Homo sapiens protocadherin 1 (cadherin-like 1) (PCDH1), transcript variant 1, mRNA [NM_002587]	NM_002587	PCDH1
LAMP3	44	0.000541	0.1365159	512.1389811	299.6710925	1.7090036	A_23_P29773	Homo sapiens lysosomal-associated membrane protein 3 (LAMP3), mRNA [NM_014398]	NM_014398	LAMP3
KIR2DS2	45	0.0005437	0.1365159	269.177394	625.8957071	0.4300675	A_23_P130815	Homo sapiens killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2 (KIR2DS2), mRNA [NM_012312]	NM_012312	KIR2DS2
CDH1	46	0.0005655	0.1365159	25.3907817	14.4316994	1.7593757	A_23_P206359	Homo sapiens cadherin 1, type 1, E-cadherin (epithelial) (CDH1), mRNA [NM_004360]	NM_004360	CDH1
SH2D1B	47	0.0005671	0.1365159	100.9127114	209.0249536	0.4827783	A_32_P324533	Homo sapiens SH2 domain containing 1B (SH2D1B), mRNA [NM_053282]	NM_053282	SH2D1B
	48	0.0005705	0.1365159	84.4364362	137.6516704	0.6134066	A_24_P597190	PREDICTED: Homo sapiens hypothetical protein LOC728104 (LOC728104), mRNA [XM_001126539]	XM_001126539	LOC728104
CDC6	49	0.0005962	0.1397541	27.7441475	16.6301426	1.6683048	A_23_P49972	Homo sapiens cell division cycle 6 homolog (S. cerevisiae) (CDC6), mRNA [NM_001254]	NM_001254	CDC6
	50	0.000645	0.1481694	42.9449179	28.8451488	1.488809	A_32_P93459	Unknown	THC2737559	THC2737559
GLT25D2	51	0.0006876	0.1544867	68.3835681	141.0767188	0.4847261	A_24_P62505	Homo sapiens glycosyltransferase 25 domain containing 2 (GLT25D2), mRNA [NM_015101]	NM_015101	GLT25D2
SMC4	52	0.0006994	0.1544867	35.5749257	21.9939121	1.6174897	A_23_P327643	Homo sapiens cDNA FLJ11338 fis, clone PLACE1010720, highly similar to Homo sapiens mRNA for chromosome-associated polypeptide-C. [AK002200]	AK002200	SMC4
TP53I3	53	0.0007164	0.155256	251.4562932	370.7977905	0.6781494	A_23_P5392	Homo sapiens tumor protein p53 inducible protein 3 (TP53I3), transcript variant 1, mRNA [NM_004881]	NM_004881	TP53I3
	54	0.0007791	0.1657175	60.7832453	39.6529379	1.5328813	A_23_P427103	Homo sapiens PRO1728 mRNA, complete cds. [AF119852]	AF119852	AF119852
FAM110C	55	0.000817	0.1706193	49.8041413	83.5837045	0.5958595	A_32_P47643	full-length cDNA clone CS0DJ001YJ05 of T cells (Jurkat cell line) Cot 10-normalized of Homo sapiens (human). [CR601458]	CR601458	FAM110C
TK2	56	0.0008493	0.1717628	84.2830875	125.7063354	0.6704761	A_24_P219324	Homo sapiens thymidine kinase 2, mitochondrial (TK2), mRNA [NM_004614]	NM_004614	TK2
EIF3F	57	0.0008555	0.1717628	18.7597087	13.1340619	1.428325	A_24_P940944	Eukaryotic translation initiation factor 3 subunit 5 (eIF-3 epsilon) (eIF3 p47 subunit) (eIF3f). [Source:Uniprot/SWISSPROT;Acc:O00303] [ENST00000309828]	ENST00000309828	EIF3S5
CPM	58	0.0008861	0.1717628	77.8423682	121.1818884	0.6423598	A_24_P938352	Homo sapiens carboxypeptidase M (CPM), transcript variant 1, mRNA [NM_001874]	NM_001874	CPM
KIR2DS4	59	0.0008866	0.1717628	179.5309401	408.7208462	0.4392508	A_23_P78840	Homo sapiens killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4 (KIR2DS4), mRNA [NM_012314]	NM_012314	KIR2DS4
	60	0.0009045	0.1717628	21.3444824	14.1909078	1.5040956	A_32_P23308	Homo sapiens cDNA FLJ36406 fis, clone THYMU2010059. [AK093725]	ENST00000377361	ENST00000377361
KIR3DL2	61	0.0009122	0.1717628	42.2667899	98.3501918	0.4297581	A_23_P101636	Homo sapiens killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2 (KIR3DL2), mRNA [NM_006737]	NM_006737	KIR3DL2
S1PR5	62	0.0009611	0.1780515	711.8194511	1236.910016	0.575482	A_23_P107744	Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 8 (EDG8), mRNA [NM_030760]	NM_030760	EDG8
