Name	U133 Probe Set	Location	CGH loss %	MedianTumor Expression vs Nevi	Aza Treatment Fold Upregulation	CpG
Ankyrin 3, Node Of Ranvier (Ankyrin G)	206385_s_at	10q21	-26.4	0.03	1.8	N
Aquaporin 3	39248_at	9p13	-20.8	0.01	1.55	Y
Gap Junction Protein, Alpha 1, 43Kda (Connexin 43)	201667_at	6q21	-21.7	0.05	1.5	N
Interleukin 18 (Interferon-Gamma-Inducing Factor)	206295_at	11q22	-17	0.15	1.92	N
Chordin-Like 1	209763_at	Xq23	-13.2	0.15	1.7	Y
Secreted Frizzled-Related Protein 1	202036_s_at	8p12	-12.3	0.17	1.72	Y
Cystatin A (Stefin A)	204971_at	3q21	-17.9	0.01	1.31	N
Caspase Recruitment Domain Family, Member 15	220066_at	16p12	-6.6	0.11	1.32	N
Transmembrane Protein 47	209656_s_at	Xp11	-13.5	0.08	1.29	Y
Swi/Snf Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 1	215294_s_at	Xq25	-14.2	0.26	1.51	Y
Collagen, Type Vii, Alpha 1 (Epidermolysis Bullosa, Dystrophic, Dominant And Recessive)	204136_at	3p21	-18.9	0.21	1.38	Y
Transcription Factor 8 (Represses Interleukin 2 Expression)	210875_s_at	10p11	-20.8	0.33	1.85	Y
Keratin 17	205157_s_at	17q12	-7.5	0.02	1.24	N
Chloride Intracellular Channel 2	213415_at	Xq28	-14.2	0.18	1.27	N
Mitogen-Activated Protein Kinase Kinase Kinase 5	203836_s_at	6q22	-23.2	0.36	1.55	Y
Mannosidase, Alpha, Class 1A, Member 1	221760_at	6q22	-23.2	0.29	1.34	Y
Pleckstrin And Sec7 Domain Containing 3	203355_s_at	8p12	-12.3	0.17	1.26	N
Trophoblast-Derived Noncoding Rna	214657_s_at	11q13	-15.1	0.36	1.54	NC
Cd44 Antigen (Homing Function And Indian Blood Group System)	217523_at	11p13	-13.2	0.4	1.92	Y
Serine (Or Cysteine) Proteinase Inhibitor, Clade F (Alpha-2 Antiplasmin, Pigment Epithelium Derived Factor), Member 1	202283_at	17p13	-12.3	0.38	1.57	N
Mcp-1 Treatment-Induced Protein	218810_at	1p34	-12.6	0.22	1.28	Y
Golgin-67	208798_x_at	15q11	-11.3	0.18	1.24	N
Phosphatase And Actin Regulator 2	204048_s_at	6q24	-26.4	0.38	1.48	Y
Cancer Susceptibility Candidate 5	220247_at	15q14	-11.3	0.26	1.24	Y
Squamous Cell Carcinoma Antigen Recognized By T Cells 2	218854_at	6q22	-23.2	0.44	1.58	Y
Lipoprotein Lipase	203548_s_at	8p22	-13.2	0.32	1.28	Y
Retinoic Acid Receptor Responder (Tazarotene Induced) 1	206392_s_at	3q25	-19.8	0.46	1.74	Y
Supervillin	202565_s_at	10p11	-20.8	0.34	1.29	Y
B-Cell Cll/Lymphoma 6 (Zinc Finger Protein 51)	215990_s_at	3q27	-17.9	0.4	1.34	N
Interleukin 6 Signal Transducer (Gp130, Oncostatin M Receptor)	212196_at	5q11	-5.7	0.48	1.88	Y
Mitogen-Activated Protein Kinase 6	207121_s_at	15q21	-11.3	0.45	1.42	Y
Phosphatidylinositol-Specific Phospholipase C, X Domain Containing 1	218951_s_at	Xp22	-16	0.41	1.32	Y
Dead (Asp-Glu-Ala-Asp) Box Polypeptide 3, X-Linked	201211_s_at	Xp11	-13.5	0.31	1.24	Y
Cd52 Antigen (Campath-1 Antigen) /// Cd52 Antigen (Campath-1 Antigen)	204661_at	1p36	-11.3	0.36	1.26	N
Neuroepithelial Cell Transforming Gene 1	201829_at	10p15	-19.8	0.31	1.23	Y
Chondroitin Beta1,4 N-Acetylgalactosaminyltransferase	219049_at	8p21	-13.2	0.41	1.28	N
Natural Killer-Tumor Recognition Sequence	202379_s_at	3p23	-17.9	0.49	1.44	Y
Ptpl1-Associated Rhogap 1	203910_at	1p22	-11.3	0.44	1.3	Y
Zinc Finger Protein 22 (Kox 15)	218005_at	10q11	-24.5	0.43	1.29	Y
Homeodomain Interacting Protein Kinase 3	210148_at	11p13	-13.2	0.37	1.24	Y
Pbx/Knotted 1 Homeobox 2	63305_at		-19.8	0.37	1.24	N
Egf-Containing Fibulin-Like Extracellular Matrix Protein 2	206580_s_at	11q13	-15.1	0.5	1.39	Y
Headcase Homolog (Drosophila)	218603_at	6q23	-24.5	0.48	1.33	Y
Tbc1 Domain Family, Member 4	203386_at	13q22	-18.9	0.5	1.37	Y
Tcdd-Inducible Poly(Adp-Ribose) Polymerase	212665_at	3q25	-19.8	0.49	1.35	Y
Periostin, Osteoblast Specific Factor	210809_s_at	13q13	-16	0.55	1.93	N
Dedicator Of Cytokinesis 9	212538_at	13q32	-15.1	0.51	1.37	Y
