Regulated	Gene	Gene	Function	Fold change
 Up	SEC22 vesicle trafficking protein-like 2	SEC22L2	Early stages of the secretory pathway	2.3
 Up	Prostaglandin-endoperoxide synthase 2	PTGS2	Major mediator of inflammation and/or a role for prostanoid signaling	2.3
 Up	Beta-2-microglobulin	B2M	Associated with the MHC class I heavy chain	2.2
 Up	Protocadherin alpha 5	PCDHA5	Establishment and function of specific cell–cell connections	2.2
 Up	Sialyltransferase 7D (alpha-N-acetylneuraminyl-2,3-Beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase)	SIAT7D	Catalyzes the transfer of sialic acid to galactose-containing substrates	2.2
 Up	IL-13		Regulates inflammatory and immune responses	2
 Up	5-azacytidine induced 2	AZI2	Activation of NF-?B–dependent gene expression	2
 Down	Adenosine triphosphate (ATP)-binding cassette, subfamily G (WHITE), member 1	ABCG1	Macrophage cholesterol and phospholipids transport	0.5
 Down	Heat shock 70-kilodalton protein 4	HSPA4	Phosphorylated on DNA damage	0.5
 Down	G-protein–coupled receptor kinase interactor 1	GIT1	Increases the speed of cell migration and rate of formation of protrusions	0.4
 Down	Activin A receptor, type IB	ACVR1B	Growth and differentiation factors in the TGF-? superfamily	0.4
 Down	Pregnancy-specific Beta-1-glycoprotein 3	PSG3	Belongs to the immunoglobulin superfamily, CEA family	0.4
 Down	Putative neuronal cell adhesion molecule	PUNC	Cell adhesion	0.4
