GeneSymbol	EntrezID	P.Value	adj.P.Val	FC
AREG	374	4.14E-05	2.89E-02	2.52
BNC2	54796	2.14E-05	2.32E-02	2.06
C18orf23	147341	6.04E-05	3.23E-02	1.59
C1orf21	81563	9.21E-05	3.85E-02	1.65
C2orf46	339789	4.88E-05	3.00E-02	1.84
CCL4	6351	7.96E-06	1.85E-02	2.06
CCL4L1	9560	3.84E-05	2.89E-02	1.65
CMKLR1	1240	3.89E-05	2.89E-02	1.71
CTSW	1521	3.70E-05	2.89E-02	1.58
DNAJB1	3337	2.91E-05	2.47E-02	1.81
DUSP1	1843	8.47E-05	3.70E-02	1.49
EPB41L4A	64097	6.88E-05	3.45E-02	1.66
EREG	2069	1.48E-05	2.03E-02	1.78
F2R	2149	8.50E-06	1.85E-02	1.84
FCRL6	343413	1.96E-05	2.32E-02	1.73
FGFBP2	83888	7.09E-05	3.45E-02	1.84
FLJ14213	79899	5.45E-05	3.11E-02	1.59
FLJ16686	401124	1.05E-04	4.16E-02	2.21
FOS	2353	1.26E-08	3.65E-04	2.66
FOSB	2354	4.63E-05	3.00E-02	1.96
FUT11	170384	9.46E-05	3.90E-02	1.35
GNLY	10578	5.50E-05	3.11E-02	1.53
GOLGA9P	283796	1.17E-04	4.55E-02	1.44
GPR56	9289	1.03E-05	1.86E-02	1.88
GZMB	3002	4.11E-05	2.89E-02	1.73
IL2RB	3560	1.03E-05	1.86E-02	1.64
KIR2DL1	3802	6.91E-06	1.85E-02	2.07
KIR2DL2	3803	7.32E-06	1.85E-02	2.06
KIR2DL3	3804	4.22E-06	1.85E-02	2.05
KIR2DL4	3805	8.38E-06	1.85E-02	1.74
KIR2DS1	3806	6.12E-06	1.85E-02	2.07
KIR2DS2	100132285	5.50E-05	3.11E-02	1.95
KIR2DS4	3809	1.41E-05	2.03E-02	1.97
KIR3DL1	3811	4.08E-06	1.85E-02	2.05
KIR3DL2	3812	8.96E-06	1.85E-02	1.96
KIR3DL3	115653	4.27E-05	2.89E-02	1.82
KIR3DS1	3813	1.13E-05	1.86E-02	2.03
LDLR	3949	7.67E-05	3.57E-02	1.35
LGR6	59352	2.90E-05	2.47E-02	1.62
LINGO2	158038	5.93E-05	3.23E-02	1.63
LOC85389	85389	1.97E-05	2.32E-02	1.72
LOC85391	85391	7.38E-05	3.49E-02	2.45
MOP-1	643616	5.22E-05	3.11E-02	2.27
NCAM1	4684	3.97E-06	1.85E-02	1.86
NCR1	9437	4.73E-05	3.00E-02	1.68
NCR3	259197	7.16E-05	3.45E-02	1.47
NKG7	4818	1.33E-04	4.82E-02	1.4
NMUR1	10316	7.97E-05	3.65E-02	1.59
NR4A2	4929	8.23E-07	1.19E-02	3.62
PDGFD	80310	1.33E-04	4.82E-02	1.87
PPP1R15A	23645	1.84E-05	2.32E-02	1.47
PRF1	5551	2.38E-05	2.32E-02	1.92
PTCH1	5727	1.20E-04	4.61E-02	1.44
PTGDR	5729	4.11E-05	2.89E-02	1.86
RASGEF1B	153020	6.99E-05	3.45E-02	1.51
RGS9	8787	8.24E-05	3.67E-02	1.6
SH2D1B	117157	2.24E-05	2.32E-02	2.11
SH2D2A	9047	1.41E-05	2.03E-02	1.53
SIGLECP3	284367	2.49E-05	2.32E-02	1.63
SLA2	84174	9.18E-05	3.85E-02	1.35
SLAMF7	57823	1.33E-04	4.82E-02	1.61
SLC4A4	8671	4.79E-05	3.00E-02	1.62
SNORA4	619568	8.93E-05	3.85E-02	2.06
SPON2	10417	2.29E-05	2.32E-02	1.85
ST8SIA6	338596	5.65E-05	3.13E-02	1.98
TGFBR3	7049	2.05E-05	2.32E-02	1.8
TKTL1	8277	1.05E-04	4.16E-02	1.42
TOX	9760	8.26E-05	3.67E-02	1.46
YPEL1	29799	1.23E-04	4.68E-02	1.45
