Gene Name	Gene ID	Biological Function	Domain
Janus kinase 1	JAK1	Is involved in the interferon-alpha/beta and -gamma signal transduction pathways. The reciprocal interdependence between JAK1 and TYK2 activities in the interferon- alpha pathway, and between JAK1 and JAK2 in the interferon- gamma pathway. Couples cytokine ligand binding to tyrosine phosphorylation of various known signaling proteins and of STAT family of transcription factors.	JAK-Stat Signaling Pathway
Janus kinase 2	JAK2	A protein tyrosine kinase involved in a specific subset of cytokine receptor signaling pathways. It has been found to be Is required for responses to gamma interferon.	JAK-Stat Signaling Pathway
Signal transducer and activator of transcription 1, 91kDa	STAT1	In response to cytokines and growth factors, STAT family members are phosphorylated by the receptor associated kinases, and then form homo- or heterodimers that translocate to the cell nucleus where they act as transcription activators. This protein can be activated by various ligands including interferon-alpha, interferon-gamma, EGF, PDGF and IL6.	JAK-Stat Signaling Pathway
Signal transducer and activator of transcription 2	STAT2	Forms a complex with STAT1 and IRF9. Interacts with EP300 and plays role in IFN-? response.	JAK-Stat Signaling Pathway
Signal transducer and activator of transcription 3	STAT3	Activated in response to IFNs, EGF, IL5, IL6, HGF, LIF and BMP2. Plays a key role in many cellular processes such as cell growth and apoptosis.	JAK-Stat Signaling Pathway
Signal transducer and activator of transcription 4	STAT4	Mediates responses to IL12 in lymphocytes. Regulates the differentiation of T helper cells.	JAK-Stat Signaling Pathway
Signal transducer and activator of transcription 5A	STAT5A	Mediates the responses of IL2, IL3, IL7, GM-CSF, erythropoietin, thrombopoietin, and growth hormones. Induce the expression of anti-apoptotic BCL2L1/BCL-X(L).	JAK-Stat Signaling Pathway
Signal transducer and activator of transcription 5B	STAT5B	Mediates the signal transduction triggered by various cell ligands, such as IL2, IL4, CSF1, and different growth hormones. It has been shown to be involved in diverse biological processes, such as TCR signaling, apoptosis, adult mammary gland development, and sexual dimorphism of liver gene expression.	JAK-Stat Signaling Pathway
Signal transducer and activator of transcription 6	STAT6	Exerts IL4 mediated biological responses. Induce the expression of anti-apoptotic BCL2L1/BCL-X(L). Plays role in differentiation of Th2 cells, expression of cell surface markers, and class switch of immunoglobulins.	JAK-Stat Signaling Pathway
Protein inhibitor of activated STAT	PIAS1	It inhibits STAT1-mediated gene activation and the DNA binding activity, binds to Gu protein/RNA helicase II/DEAD box polypeptide 21, and interacts with androgen receptor (AR). It functions in testis as a nuclear receptor transcriptional coregulator and may have a role in AR initiation.	JAK-Stat Signaling Pathway
N-myc (and STAT) interactor	NMI	Interacts with NMYC, CMYC and all STATs except STAT2. Augments STAT-mediated transcription in response to cytokines IL2 and IFN-gamma.	JAK-Stat Signaling Pathway
