Function and gene name	Accession no.	Change (fold) at 2 h postinfection:	Change (fold) at 6h postinfection	Change (fold) at 16h postinfection
WAS protein family member, WASF1	N59851	2.35	2.43	2.99
KIAA0136 protein	N73634	3.92	4.23	3.81
Diacylglycerol kinase delta (130 kDa), DGKD	AA280692	1.68	2.41	2.55
KIAA0671 gene product	R33011	1.39	1.87	2.2
Claudin 3, CLDN3	AA039323	1.78	2.13	2.3
Neurotrophic tyrosine kinase receptor type 2, NTRK2	N63949	2.04	2.17	1.83
Thymosin beta 4 X chromosome, TMSB4X	AA634103	3.81	5.7	2.91
Adenosine A2a receptor, ADORA2A	N57553	3.89	4.14	4.11
PRO2047 protein	N66208	2.28	2.75	1.77
Glutamate decarboxylase 2 (pancreatic islets and brain, 65 kDa), GAD2	R44005	3.56	2.38	3.14
Golgi resident protein GCP60	AA255954	1.41	2	1.79
CD80 antigen (CD28 antigen ligand 1, B7-1 antigen), CD80	AA983817	1.75	2.58	2.06
KIAA0888 protein	AI376113	4.69	16.22	22.78
Homo sapiens normal mucosa of esophagus specific 1 (NMES1) mRNA, complete coding sequence	AA620995	1.64	2.53	1.28
Selenophosphate synthetase, SPS	AA488081	3.73	7.11	2.17
Prostaglandin-endoperoxide synthase 1, PTGS1	AA454668	1.51	2.38	1.21
Pericentrin, PCNT	N45326	3.2	7.11	1.58
Attractin, ATRN	AA683500	2.16	2.6	1.41
Melanoma antigen family C 1, MAGEC	AI126114	1.4	2.04	1.26
ATPase aminophospholipid transporter (APLT) class I type 8A member 1, ATP8A1	AI218581	1.46	2.69	1.57
ESTs	T86959	3.63	19.84	9.45
	N34895	3.18	5.35	2.85
	N47089	5.78	9.06	7.16
	N62132	5.74	13.55	3.71
	H78999	2.64	11.79	8.28
	N40165	3.84	6.87	4.63
	N47431	3.2	5.24	3.18
	N63062	3.78	5.5	3.05
	N64688	8.17	10.34	8.69
	N64662	2.35	2.58	2.16
	AA884618	1.74	1.64	2
	AA005135	1.67	5.28	2.23
	N62516	2.57	11.08	1.72
	N52149	4.5	12.3	1.46
	N59137	3.27	5.28	1.73
	N59214	3.76	8.88	1.8
	N51223	2.81	4.92	1.83
