Function	Gene name	Signal intensity F344	Signal intensity ACI	Fold difference	Chromosome
Cytokines, Inflammatory mediators	Interleukin 6 receptor ligand binding chain	28.24	304.97	10.8	2
Stress proteins	Hsp70.2 mRNA for heat shock protein 70	766	3572.83	4.66	6q24
Detoxification enzymes	Cathechol-O-methyltransferase mRNA, 3’-flank	505.68	8190.53	16.2	11
Detoxification enzymes	Glutathione S-transferase mu1	1432.54	4684.89	3.27	2
Metabolic enzymes	Cytochrome b[subscript 5]	471.31	3682.5	7.81	18
Metabolic enzymes	Pyruvate dehydrogenase phosphatase isoenzyme 2	78.96	405.74	5.14	19
Metabolic enzymes	AMP deaminase isoform C	93.56	430.68	4.6	1
Metabolic enzymes	Isopentenyl diphosphate-dimethylallyl diphosphate isomerase	455.23	1493.87	3.28	17
Metabolic enzymes	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase	310.86	996.05	3.2	8
Metabolic enzymes	Soluble cytochrome b[subscript 5] mRNA	750.39	2333.16	3.11	18
Protease	Elastase I	512.08	1626.03	3.18	7
Lipid metabolic enzymes, transporters	Apolipoprotein AI (Apo-AI)	176.3	3167.59	17.96	8q23-24
Lipid metabolic enzymes, transporters	Long-chain acyl-CoA synthetase	1072.48	5056.12	4.71	16
Lipid metabolic enzymes, transporters	Stearoyl-CoA desaturase	739.53	3148.88	4.26	1
Blood proteins	Decay accelerating factor GPI-form precursor	432.48	2909.7	6.73	13
Blood proteins	beta-Globin gene, exons 1–3	1653.66	5054.73	3.06	1q22
Growth factors and hormons	Bone morphogenetic protein 3	96.09	511.48	5.32	14
Growth factors and hormons	Epidermal growth factor-like protein, T16	215.16	703.32	3.27	14
Ion transporters and carriers	Peroxisomal membrane anchor protein 14	787.43	3636.13	4.62	5
Ion transporters and carriers	Monocarboxylate transporter	696.09	2957.27	4.25	2
Ion transporters and carriers	Water channel aquaporin 3	588.3	2313.3	3.93	5
Ion transporters and carriers	Low molecular weight guanosine-3-phosphate binding protein	234.74	791.85	3.37	8
Ion transporters and carriers	Sodium-hydrogen exchange protein-isoform 3	1824.9	5508.74	3.02	1p11
Receptors	Hyaluronan mediated motility receptor	152.45	780.07	5.12	10
Receptors	SKR6 gene, alpha CB1 cannabinoid receptor	89.79	379	4.22	5q13-q24
Receptors	Toll protein	701.31	2223.1	3.17	5
Signal transduction molecules, transcription factors	SOX13	269.71	1188.43	4.41	13
Signal transduction molecules, transcription factors	Hemopoietic cell tyrosine kinase	566.75	2258.48	3.98	3
Signal transduction molecules, transcription factors	Transcription factor E2F-5	132.26	515.07	3.89	2
Signal transduction molecules, transcription factors	TPCR06 protein	125.05	485.39	3.88	3
Signal transduction molecules, transcription factors	Transcription factor IIIC alpha-subunit	144.78	494.64	3.42	1
Signal transduction molecules, transcription factors	RAB11a, member RAS oncogene family	234.74	791.85	3.37	8
Signal transduction molecules, transcription factors	Krox20	278.12	880.2	3.16	20
Nuclear protein and nucleotide enzymes	Mismatch repair protein, MSH2	15.3	290.06	18.96	6q11-6q14
Neuronal peptide and proteins	Poly(A) polymerase VI	484.98	1458	3.01	6q11-6q14
Neuronal peptide and proteins	Cerebroglycan	101.98	581.78	5.7	12
Neuronal peptide and proteins	Synaptosomal-associated protein, 23 kD	498.51	1801.83	3.61	3
Neuronal peptide and proteins	APP-binding protein 1	578.26	1739.64	3.01	19
Structural proteins	Epidermal keratin type I intermediate filament	96.38	534.96	5.55	10
Function unknown	AA893662	71.42	1362.09	19.07	2
Function unknown	AA894054	83.42	418.23	5.01	7
Function unknown	AI104567	63.76	286.63	4.5	1
Function unknown	AA893172	154.04	644.26	4.18	7
Function unknown	AA800731	86.22	334.34	3.88	10
Function unknown	AA891207	3391.54	12,506.49	3.69	14
Function unknown	AA893871	513.12	1679.08	3.27	2
Function unknown	AI639265	318.52	978.65	3.07	9
