Symbol	probe set	Description	CP1	CP3	CP3 vs CP1
Acaca	1427595_at	acetyl-Coenzyme A carboxylase alpha	216.4	4550.1	21.02634011
Acacb	1427052_at	acetyl-Coenzyme A carboxylase beta	50.4	614.9	12.20039683
Acot11	1429267_at	acyl-CoA thioesterase 11	150.1	1413.4	9.416389074
Acta1	1427735_a_at	actin, alpha 1, skeletal muscle	196.6	1817.3	9.243641913
Actn2	1448327_at	actinin alpha 2	33.3	307.6	9.237237237
Actn3	1418677_at	actinin alpha 3	123.8	1040	8.400646204
Adssl1	1449383_at	adenylosuccinate synthetase like 1	158.7	1307.4	8.238185255
Amdhd2	1434855_at	amidohydrolase domain containing 2	151.2	1114.1	7.368386243
Ampd1	1434722_at	adenosine monophosphate deaminase 1 (isoform M)	60.2	443.2	7.362126246
Apobec2	1417889_at	apolipoprotein B editing complex 2	60.6	430.7	7.107260726
Areg	1421134_at	amphiregulin	70.2	386.3	5.502849003
Art1	1422375_a_at	ADP-ribosyltransferase 1	325.6	1775.2	5.452088452
Asb11	1422153_a_at	ankyrin repeat and SOCS box-containing protein 11	870	4405.2	5.063448276
Asb5	1449356_at	ankyrin repeat and SOCs box-containing protein 5	79.3	396.5	5
Atp2a1	1419312_at	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	618.6	3048.9	4.92870999
Atp6v1e1	1449711_at	VATPase, H+ transporting, lysosomal V1 subunit E1	361.7	1781.5	4.925352502
Bcl11b	1450339_a_at	B-cell leukemia/lymphoma 11B	217.8	1036.4	4.758494031
Car3	1453588_at	carbonic anhydrase 3	117.5	544.3	4.632340426
Car6	1421001_a_at	carbonic anhydrase 6	143.6	659	4.58913649
Casq1	1422598_at	calsequestrin 1	101.8	465.6	4.57367387
Cck	1419473_a_at	cholecystokinin	1826.9	8328.4	4.558760742
Ccr7	1423466_at	chemokine (C-C motif) receptor 7	292.4	1290.7	4.414158687
Cd37	1419206_at	CD37 antigen	175.4	757	4.315849487
Cd4	1419696_at	CD4 antigen	173.1	733.5	4.237435009
Cd6	1451910_a_at	CD6 antigen	30.3	127.4	4.204620462
Cd69	1428735_at	CD69 antigen	327.4	1372.2	4.191203421
Centb1	1434873_a_at	centaurin, beta 1	285.1	1170.7	4.106278499
Ces3	1435371_x_at	carboxylesterase 3	356	1461	4.103932584
Ckm	1417614_at	creatine kinase, muscle	536.7	2196.3	4.092230296
Ckmt2	1428722_at	creatine kinase, mitochondrial 2	309.7	1258	4.061995479
Clec14a	1419468_at	C-type lectin domain family 14, member a	1863.6	7403.2	3.972526293
Clic5	1458381_at	chloride intracellular channel 5	252	987.6	3.919047619
Cmya5	1427312_at	cardiomyopathy associated 5	86.3	332.5	3.852838934
Cntnap2	1422798_at	contactin associated protein-like 2	229.1	874.7	3.817983413
Cox6a2	1417607_at	cytochrome c oxidase, subunit VI a, polypeptide 2	374.2	1409.1	3.765633351
Cox7a1	1418709_at	cytochrome c oxidase, subunit VIIa 1	939.9	3511.4	3.735929354
Cpt1b	1418328_at	carnitine palmitoyltransferase 1b, muscle	508.5	1899.2	3.734906588
Cspg3	1434679_at	chondroitin sulfate proteoglycan 3	220.3	817.5	3.710848842
Csrp2bp	1452775_at	cysteine and glycine-rich protein 2 binding protein	865.4	3202.4	3.700485325
Csrp3	1460318_at	cysteine and glycine-rich protein 3	729.4	2654.1	3.638744173
Ctsw	1422632_at	cathepsin W	157.2	569.6	3.623409669
Cyfip2	1449273_at	cytoplasmic FMR1 interacting protein 2	250.7	896.5	3.575987236
D1Ertd471e	1436221_at	DNA segment, Chr 1, ERATO Doi 471, expressed	420.6	1491.6	3.54636234
Ddit4l	1451751_at	DNA-damage-inducible transcript 4-like	847.1	2970.7	3.506905914
Des	1426731_at	desmin	149.5	519.8	3.476923077
Dhrs7c	1444504_at	dehydrogenase/reductase (SDR family) member 7C	534.5	1841.4	3.445088868
Dio2	1418937_at	deiodinase, iodothyronine, type II	545	1826.5	3.351376147
Dnm3os	1452382_at	dynamin 3, opposite strand	2515.4	8299.1	3.299316212
Dock6	1427422_at	dedicator of cytokinesis 6	102.1	335.9	3.289911851
Dtx1	1425822_a_at	deltex 1 homolog (Drosophila)	110.4	361.3	3.272644928
Dtx3	1420752_at	deltex 3 homolog (Drosophila)	333.9	1050.9	3.147349506
E2f5	1447625_at	E2F transcription factor 5	102	319	3.12745098
Edg6	1451024_at	endothelial differentiation, G-protein-coupled receptor 6	2160.2	6745.5	3.122627534
Eef1a2	1418062_at	eukaryotic translation elongation factor 1 alpha 2	4564	14203.3	3.112028922
Egr2	1427682_a_at	early growth response 2	667.7	2043.7	3.060805751
Elovl3	1420722_at	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	803.2	2444.9	3.043949203
Elovl7	1441891_x_at	ELOVL family member 7, elongation of long chain fatty acids (yeast)	120.3	364	3.025768911
Eno3	1417951_at	enolase 3, beta muscle	143	427.8	2.991608392
Eraf	1449077_at	erythroid associated factor	3502.3	10232.8	2.921737144
Fabp3	1416023_at	fatty acid binding protein 3, muscle and heart	374.4	1066.4	2.848290598
Fcrl1	1425062_at	Fc receptor-like 1	116.1	329.4	2.837209302
Fkbp5	1416125_at	FK506 binding protein 5	1608.5	4533	2.818153559
Gdap10	1420342_at	ganglioside-induced differentiation-associated-protein 10	2040.1	5748.5	2.817754032
Ggtla1	1439420_x_at	gamma-glutamyltransferase-like activity 1	215.4	595.8	2.766016713
Gpd1	1439396_x_at	glycerol-3-phosphate dehydrogenase 1 (soluble)	322	882.4	2.740372671
Gpd2	1452741_s_at	glycerol phosphate dehydrogenase 2, mitochondrial	203.8	548.3	2.690382728
Gpr23	1434186_at	G protein-coupled receptor 23	4457.8	11921	2.674189062
Gyk	1422703_at	glycerol kinase	244.2	640.8	2.624078624
Hfe2	1454137_s_at	hemochromatosis type 2 (juvenile) (human homolog)	3856.3	10115.7	2.623162098
Hrc	1419109_at	histidine rich calcium binding protein	326.4	854.3	2.617340686
Hsp110	1423566_a_at	heat shock protein 110	488	1261.9	2.585860656
Hspa9a	1447728_x_at	heat shock protein 9A	667.4	1718.8	2.575367096
Hspb6	1436332_at	heat shock protein, alpha-crystallin-related, B6	1116.5	2845.8	2.548858039
Igh-1a	1451632_a_at	immunoglobulin heavy chain 1a (serum IgG2a)	296	750.4	2.535135135
Igh-4	1425324_x_at	immunoglobulin heavy chain 4 (serum IgG1)	156.7	394.2	2.515634971
Igh-6	1427351_s_at	immunoglobulin heavy chain 6 (heavy chain of IgM)	416.4	1043	2.504803074
Ighg	1424631_a_at	Immunoglobulin heavy chain (gamma polypeptide)	253	626	2.4743083
Jakmip1	1441317_x_at	janus kinase and microtubule interacting protein 1	130.5	320.2	2.453639847
Kng1	1416676_at	kininogen 1	474.8	1164.2	2.451979781
Lat	1460651_at	linker for activation of T cells	139.6	340.7	2.440544413
Lbh	1429088_at	limb-bud and heart	140.7	338.3	2.404406539
Ldb3	1416752_at	LIM domain binding 3	320.5	763.6	2.382527301
Ltb	1419135_at	lymphotoxin B	240.7	567.4	2.357291234
Marco	1458297_s_at	macrophage receptor with collagenous structure	639.4	1483.9	2.320769471
Mb	1451203_at	myoglobin	139.8	320.8	2.294706724
Mbd5	1441987_at	methyl-CpG binding domain protein 5	695.1	1578.7	2.271184002
Med18	1460462_at	mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)	353.3	801.7	2.269176337
Meox2	1424233_at	mesenchyme homeobox 2	148.5	328.7	2.213468013
Mlf1	1418589_a_at	myeloid leukemia factor 1	226.7	499.1	2.201588002
Mmd2	1438654_x_at	monocyte to macrophage differentiation-associated 2	635.3	1394.2	2.194553754
Mrps14	1420488_at	mitochondrial ribosomal protein S14	1096.3	2399.7	2.188908146
Mtch2	1438843_x_at	mitochondrial carrier homolog 2 (C. elegans)	796.6	1740.2	2.184534271
Mybpc2	1455736_at	myosin binding protein C, fast-type	177.8	388.4	2.18447694
Myh1	1427520_a_at	myosin, heavy polypeptide 1, skeletal muscle, adult	373.5	804.8	2.154752343
Myh2	1425153_at	myosin, heavy polypeptide 2, skeletal muscle, adult	164	353.3	2.154268293
Myh4	1427026_at	myosin, heavy polypeptide 4, skeletal muscle	116.2	250.2	2.153184165
Myh8	1458368_at	myosin, heavy polypeptide 8, skeletal muscle, perinatal	172.2	370.1	2.149245064
Mylpf	1448371_at	myosin light chain, phosphorylatable, fast skeletal muscle	6222.6	13339.1	2.143653778
Myom1	1420693_at	myomesin 1	568.9	1211.6	2.129724029
Myom2	1457435_x_at	myomesin 2	229.8	487.4	2.120974761
Myoz1	1460202_at	myozenin 1	205.2	435.1	2.12037037
Neb	1435355_at	nebulin	2491.5	5267.4	2.114148104
Nelf	1439398_x_at	nasal embryonic LHRH factor	229.9	486	2.113962592
Net1	1421321_a_at	neuroepithelial cell transforming gene 1	1115.8	2327.8	2.086216168
Npm3	1423522_at	nucleoplasmin 3	161.1	335.8	2.084419615
Nrap	1421253_at	nebulin-related anchoring protein	456.7	936.1	2.049704401
Nsg2	1416107_at	neuron specific gene family member 2	1363.3	2779.7	2.038949608
Otop1	1438448_at	otopetrin 1	175.1	356.9	2.038263849
Palm	1423967_at	paralemmin	361.1	735.1	2.035724176
Pank1	1418715_at	pantothenate kinase 1	8012.4	16168.3	2.01790974
Pde4dip	1417626_at	phosphodiesterase 4D interacting protein	444.5	896.1	2.015973003
Pdhb	1448214_at	pyruvate dehydrogenase (lipoamide) beta	2524.6	5039.2	1.996038976
Pdk4	1417273_at	pyruvate dehydrogenase kinase, isoenzyme 4	494.2	976.8	1.976527722
Pdlim5	1421413_a_at	PDZ and LIM domain 5	80.6	159.1	1.973945409
Pgam2	1418373_at	phosphoglycerate mutase 2	154.4	304.2	1.970207254
Pik3r1	1451737_at	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	509.4	49.3	-10.3326572
Ppib	1440275_at	peptidylprolyl isomerase B	1346.5	278.5	-4.834829443
Ppp1r3c	1425631_at	protein phosphatase 1, regulatory (inhibitor) subunit 3C	304.6	83.6	-3.64354067
Prom2	1417047_at	prominin 2	728	214.7	-3.39077783
Prtn3	1419669_at	proteinase 3	333.7	108.3	-3.081255771
Pvalb	1417653_at	parvalbumin	1058.1	344.8	-3.068735499
Pygm	1448602_at	muscle glycogen phosphorylase	365.9	126.7	-2.88792423
Ramp2	1418188_a_at	receptor (calcitonin) activity modifying protein 2	754.2	270.4	-2.789201183
Rhbdd3	1438548_x_at	rhomboid domain containing 3	590	227.9	-2.588854761
Rpl3l	1449398_at	ribosomal protein L3-like	477.5	187	-2.553475936
Rragd	1434909_at	Ras-related GTP binding D	612.4	242.6	-2.524319868
Rspo1	1449319_at	R-spondin homolog (Xenopus laevis)	349.3	138.8	-2.516570605
Ryr1	1427306_at	ryanodine receptor 1, skeletal muscle	254.4	101.6	-2.503937008
S100a8	1419394_s_at	S100 calcium binding protein A8 (calgranulin A)	710.7	284.3	-2.499824129
Scrn3	1426916_at	secernin 3	146.8	59.4	-2.471380471
Serpina1b	1451513_x_at	serine (or cysteine) preptidase inhibitor, clade A, member 1b	5406.6	2266.1	-2.385861171
Sh3bgr	1422644_at	SH3-binding domain glutamic acid-rich protein	1183.9	496.4	-2.384971797
Sit1	1418751_at	suppression inducing transmembrane adaptor 1	346.4	146.7	-2.361281527
Slc27a2	1416316_at	solute carrier family 27 (fatty acid transporter), member 2	514.2	220.5	-2.331972789
Slc2a5	1416639_at	solute carrier family 2 (facilitated glucose transporter), member 5	686	295.6	-2.320703654
Slc4a4	1421225_a_at	solute carrier family 4 (anion exchanger), member 4	403.7	176.7	-2.284663271
Slc5a5	1436239_at	solute carrier family 5 (sodium iodide symporter), member 5	315.8	139.9	-2.257326662
Smpx	1418095_at	small muscle protein, X-linked	259.4	117.3	-2.2114237
