miRNA	Baseline expression (Delta CT)  Control subjects	Fold change from control (%) Control subjects	Fold change from control (%) Asthmatic patient	Fold change from control (%) P value
hsa-miR-16	21.2 (0.5)	106.2 (32.3)	84.3 (43.7)	0.302
hsa-miR-17-5p	4.1 (0.5)	107.0 (40.0)	105.5 (32.1)	0.98
hsa-miR-21	20.8 (0.5)	108.0 (39.8)	125.3 (42.7)	0.428
hsa-miR-26a	0.1 (0.5)	105.7 (33.4)	84.8 (30.7)	0.242
hsa-miR-28-5p	5.1 (0.3)	97.4 (11.9)	106.8 (23.6)	0.637
hsa-miR-29a	20.2 (0.5)	104.5 (29.7)	105.0 (38.7)	0.926
hsa-miR-106a	3.9 (0.5)	104.3 (33.9)	109.4 (43.7)	0.982
hsa-miR-126	6.1 (2.1)	276.9 (351.9)	59.4 (57.0)	0.784
hsa-miR-142-3p	24.0 (0.3)	101.2 (17.0)	103.3 (30.5)	0.949
hsa-miR-142-5p	0.0 (0.3)	100.9 (13.5)	104.8 (22.3)	0.952
hsa-miR-146a	3.2 (0.3)	109.2 (35.8)	59.4 (29.7)	0.021
hsa-miR-146b	2.1 (0.3)	111.3 (38.4)	53.0 (32.9)	0.01
hsa-miR-150	24.8 (0.3)	100.3 (8.0)	102.9 (23.9)	0.641
hsa-miR-155	2.8 (0.5)	104.7 (31.0)	129.0 (23.1)	0.105
hsa-miR-155	13.0 (1.1)	120.4 (66.8)	148.7 (82.7)	0.601
hsa-miR-181a	3.1 (0.3)	101.1 (15.1)	86.9 (22.3)	0.159
hsa-miR-196a	11.6 (1.1)	120.8 (71.6)	136.5 (41.9)	0.351
hsa-miR-223	2.4 (1.3)	150.3 (130.4)	170.8 (93.8)	0.364
