Gene Symbol	Gene Description	Category
TNF	TNF – Tumor necrosis Factor	Tumor Necrosis Facto 2
CD79B	CD79B – CD79B	Tumor Necrosis Facto 3
F3	F3 – Coagulation factor III	Tumor Necrosis Facto 4
CCRL2	CCRL2 – Chemokine receptor 2	Tumor Necrosis Facto 5
PALM2	PALM2-AKAP2 – Paralemmin 2	Tumor Necrosis Facto 6
IL23A	IL23A – Interleukin 23a	Tumor Necrosis Facto 7
ARPC2	ARPC2 – Actin related protein 2	Tumor Necrosis Facto 8
BCL2A1	BCL2A1 – Bcl-2 related protein	Tumor Necrosis Facto 9
BCL2A1	BCL2A1 – BCL2-related protein A1	Tumor Necrosis Facto 10
NFKBIZ	NFKBIZ – Nuclear factor	Tumor Necrosis Facto 11
RASGRP1	RASGRP1- RAS guanyl releasing protein 1	Tumor Necrosis Facto 12
WTAP	WTAP – Wilms tumor 1 associate protein	Tumor Necrosis Facto 13
ARHGAP4	ARHGAP4 – Rho GTPase activating protein 4	Tumor Necrosis Facto 14
CSF1	CSF1 – colony stimulating factor 1 (macrophage)	Tumor Necrosis Facto 15
EHD1	EHD1 – EH-domain containing 1	Tumor Necrosis Facto 16
EHD1	EHD1 - EH-domain contaning 1	Tumor Necrosis Facto 17
TNIP2	TNIP2 – TNFAIP3 interacting protein 2	Tumor Necrosis Facto 18
NINJ1	NINJ1 – Ninjurin 1	Tumor Necrosis Facto 19
CCL5	CCL5 – Chemokine ligand 5	Tumor Necrosis Facto 20
CSF1	CSF1 – Colony stimulating factor 1 (macrophage)	Tumor Necrosis Facto 21
HSGT1	HSGT1 – Suppressor of S. Cerevisiae	Tumor Necrosis Facto 22
ASCL1	ASCL1 – Acyl-CoA synthetase long-chain family member 1	Tumor Necrosis Facto 23
PLEK	PLEK – Pleckstrin	Tumor Necrosis Facto 24
KLRC3	KLRC3 – Killer cell lectin-like receptor subfamily C, member 2	Tumor Necrosis Facto 25
PDE5A	PDE5A – Phosphodiesterase 5A	Tumor Necrosis Facto 26
SDC4	SDC4 – Syndecan-4	Tumor Necrosis Facto 27
ITGAV	ITGAV – integrin, alpha V	Tumor Necrosis Facto 28
ICAM1	ICAM1 – CD54	Tumor Necrosis Facto 29
ICAM1	ICAM1 – CD54	Tumor Necrosis Facto 30
DUSP5	DUSP5 – dual specificity phosphatase 5	Tumor Necrosis Facto 31
CCL3	CCL3 – LD78 beta	Putative lymphocyte G0/G1 switch gene
CCL3	CCL3 – Chemokine ligand 3	Putative lymphocyte G0/G1 switch gene
CCL2	CCL2 – MCP-1	Putative lymphocyte G0/G1 switch gene
CCL4	CCL4 – MIP-1 beta	Putative lymphocyte G0/G1 switch gene
CCL20	CCL20 – Chemokine ligand 20	Putative lymphocyte G0/G1 switch gene
TNFAIP3	TNFAIP3 – Tumor necrosis factor, alpha-induced protein 3	Putative lymphocyte G0/G1 switch gene
SOD2	SOD2 – Superoxidase dismutase 2	Putative lymphocyte G0/G1 switch gene
SOD2	SOD2 – Superoxidase dismutase 2	Putative lymphocyte G0/G1 switch gene
CREM	CREM – cAMP responsive element modulator	Putative lymphocyte G0/G1 switch gene
UNG	UNG – uracil DNA-glycosylase	Putative lymphocyte G0/G1 switch gene
CD44	CD44 – Pgp-1 extracellular matrix receptor	Putative lymphocyte G0/G1 switch gene
SGPP2	SGPP2 – Sphingosine-1-phosphatase	Putative lymphocyte G0/G1 switch gene
TNFAIP3	TNFAIP3 – Tumor necrosis factor, alpha-induced protein 3	Putative lymphocyte G0/G1 switch gene
ITGA6	ITGA6 – integrin alpha 6	Putative lymphocyte G0/G1 switch gene
DEAF1	DEAF1 – Deformed epidermal autoregulatory factor 1	Putative lymphocyte G0/G1 switch gene
BIRC3	BIRC3 – Baculovirus IAP repeat-containing 3	Putative lymphocyte G0/G1 switch gene
SEMA5A	SEMA5A – Sema domain, seven thromspondin repeats	Putative lymphocyte G0/G1 switch gene
PTPLB	PTPLB – Protein tyrosine phosphatase-like	Putative lymphocyte G0/G1 switch gene
IBRDC2	IBRDC2 – IBR domain containing 2	Putative lymphocyte G0/G1 switch gene
KYNU	KYNU – Kynureninase	Putative lymphocyte G0/G1 switch gene
KYNU	KYNU - Kynureninase	Putative lymphocyte G0/G1 switch gene
