Gene	EntrezID	Description	FC
RPL26	6154	Ribosomal protein L26	-10
EEF1B2	1933	Eukaryotic translation elongation factor 1 beta 2	-8.2
RP11	442454	Ubiquinol–cytochrome c reductase binding protein pseudogene	-8.1
CLEC2D	29121	C-type lectin domain family 2, member D	-7.4
LOC127295	127295	Similar to 60S ribosomal protein L36	-6.6
C14orf156	81892	Chromosome 14 open reading frame 156	-6.6
SSBP1	6742	Single-stranded DNA binding protein 1	-5.5
LOC391370	391370	Similar to hCG1818387	-5.4
CAMK2N1	55450	Calcium/calmodulin-dependent protein kinase II inhibitor 1	-5.4
COX7B	1349	Cytochrome c oxidase subunit VIIb	-5.4
RPL36	25873	Ribosomal protein L36	-5.4
NDUFB3	4709	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12 kDa	-5.2
HCFC1R1	54985	Host cell factor C1 regulator 1 (XPO1 dependent)	-5.2
COX5A	9377	Cytochrome c oxidase subunit Va	-5.2
COX7C	1350	Cytochrome c oxidase subunit VIIc	-5.1
NDUFB3	4709	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12 kDa	-5.1
SELM	140606	Selenoprotein M	-5
FXYD5	53827	FXYD domain–containing ion transport regulator 5	-4.9
PFDN5	5204	Prefoldin subunit 5	-4.9
C5orf26	114915	Chromosome 5 open reading frame 26	-4.8
RPS17	6218	Ribosomal protein S17	-4.8
LY96	23643	Lymphocyte antigen 96	-4.8
LOC441377	441377	Similar to ribosomal protein S26	-4.8
LSM3	27258	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)	-4.7
UQCRB	7381	Ubiquinol–cytochrome  c reductase binding protein	-4.7
ATP5H	10476	ATP synthase, H+ transporting	-4.7
 MT1A	4489	Metallothionein 1A	-4.7
HINT1	3094	Histidine triad nucleotide binding protein 1	-4.7
GSTO1	9446	Glutathione S–transferase omega 1	-4.6
EIF3K	27335	Eukaryotic translation initiation factor 3, subunit K	-4.5
ATP5H	10476	ATP synthase, H+ transporting	-4.5
RPS26L1	441502	Ribosomal protein S26-like 1	-4.5
DRAP1	10589	DR1-associated  protein 1 (negative cofactor 2 alpha)	-4.5
C20orf52	140823	Chromosome 20 open reading frame 52	-4.5
HCG2P7	80867	HLA complex group 2 pseudogene 7	-4.4
CISD1	55847	CDGSH iron sulfur domain 1	-4.4
NDUFA3	4696	NADH dehydrogenase  (ubiquinone) 1 alpha  subcomplex, 3, 9 kDa	-4.4
UXT	8409	Ubiquitously expressed transcript	-4.4
LOC440737	440737	Similar to ribosomal protein L35	-4.3
NDUFS4	4724	NADH dehydrogenase (ubiquinone)	-4.3
