Probe sets	Gene names	Regr.coef. CEBPAwt	Regr.coef. CEBPAdm
204039_at	CEBPA	-0.57251	0.57251
210762_s_at	DLC1	-0.27537	0.27537
223095_at	MARVELD1	0.19285	-0.19285
1553183_at	UMODL1	-0.16304	0.16304
214651_s_at	HOXA9	0.13178	-0.13178
1555630a_at	RAB34	0.13111	-0.13111
222423_at	NDFIP1	0.12159	-0.12159
203305_at	F13A1	0.11138	-0.11138
202252_at	RAB13	0.10715	-0.10715
209686_at	S100B	-0.09809	0.09809
211709_s_at	CLEC11A	0.08409	-0.08409
34210_at	CD52	0.07837	-0.07837
206698_at	XK	-0.07267	0.07267
205624_at	CPA3	0.06188	-0.06188
201161_s_at	CSDA	0.05761	-0.05761
219463_at	C20orf103	-0.04653	0.04653
201427_s_at	SEPP1	0.03573	-0.03573
223708_at	C1QTNF4	-0.03452	0.03452
238021_s_at	hCG-1815491	0.02297	-0.02297
220010_at	KCNE1L	-0.02197	0.02197
210387_at	HIST1H2BG	-0.0125	0.0125
210116_at	SH2D1A	0.01169	-0.01169
202242_at	TSPAN7	-0.00961	0.00961
212775_at	OBSL1	0.0094	-0.0094
201841_s_at	HSPB1 // MEIS3	0.00725	-0.00725
