Gene Name	Symbol	Biological Process/Function/Pathway	Fold Change	Affymetrix Identification No.	Function
CD28 molecule	CD28	T cell costimulation	2.91	206545_at	costimulation
CD27 molecule	CD27	T cell costimulation	2.84	206150_at	costimulation
Cytotoxic T lymphocyte- associated protein 4	CTLA-4	Inhibitory receptor	2.54	236341_at	costimulation
Regulator of G-protein signaling 1	RGS1	Signal transduction	2.55	205645_at	Signaling and transcription factors
Signal-regulatory protein g	SIRPG	Signal transduction	2.47	220485_s_at	Signaling and transcription factors
Multiple EGF-like domains 6	MEGF6	Cellgrowth, proliferation and differentiation	2.44	226869_at	Signaling and transcription factors
PAS domain containing serine/threonine kinase	PASK	Intracellular signaling	2.11	213534_s_at	Signaling and transcription factors
Zinc finger protein 512B	ZNF512B	Transcriptional regulation	1.77	55872_at	Signaling and transcription factors
Chemokine (C-X-C motif) receptor 6	CXCR6	Homing	2.42	206974_at	Homing and cell adhesion
Chemokine (C-X-C motif) receptor 4	CXCR4	Homing	1.74	211919_at	Homing and cell adhesion
Granzyme K (granzyme 3; tryptase II)	GZMK	Granulocyte-mediated immunity; apoptosis	2.16	206666_at	Effector function
Integral membrane protein 2A	ITM2A	Cell differentiation	1.79	202746_at	Cell proliferation
phingosine 1-phosphate phosphatase 2	SGPP2	Phosphohydrolase activity	1.86	244780_at	Miscellaneous
Tetratricopeptide repeat domain 9	TTC9	Tumor cell metastasis	1.8	213172_at	Miscellaneous
Membrane-bound O-acyltransferase domain containing 1	MBOAT1	Phospholipid remodeling	1.76	227379_at	Miscellaneous
