Probe set	Symbol	Title	p value	Fold
209291_at	ID4	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	0	0.24
205270_s_at	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	0.000001	0.45
217763_s_at	RAB31	RAB31, member RAS oncogene family	0.000001	0.35
201497_x_at	MYH11	myosin, heavy chain 11, smooth muscle	0.000001	0.34
228396_at	PRKG1	protein kinase, cGMP-dependent, type I	0.000001	0.5
230134_s_at	RC3H2	ring finger and CCCH-type zinc finger domains 2	0.000001	1.57
205453_at	HOXB2	homeobox B2	0.000002	0.53
206920_s_at	GLE1L	GLE1 RNA export mediator-like (yeast)	0.000003	1.58
222146_s_at	TCF4	transcription factor 4	0.000003	0.44
205547_s_at	TAGLN	transgelin	0.000005	0.25
213905_x_at	BGN	biglycan	0.000005	0.22
219478_at	WFDC1	WAP four-disulfide core domain 1	0.000005	0.51
226734_at	EIF4E2	eukaryotic translation initiation factor 4E family member 2	0.000005	1.62
227006_at	PPP1R14A	protein phosphatase 1, regulatory (inhibitor) subunit 14A	0.000005	0.4
227099_s_at	LOC387763	hypothetical LOC387763	0.000005	0.29
227548_at	ORMDL1	ORM1-like 1 (S. cerevisiae)	0.000005	2.39
235653_s_at	THAP6	THAP domain containing 6	0.000007	1.77
201058_s_at	MYL9	myosin, light chain 9, regulatory	0.000007	0.3
201261_x_at	BGN	biglycan	0.000007	0.27
212915_at	PDZRN3	PDZ domain containing RING finger 3	0.000007	0.64
213910_at	IGFBP7	insulin-like growth factor binding protein 7	0.000007	0.53
217762_s_at	RAB31	RAB31, member RAS oncogene family	0.000007	0.35
221541_at	CRISPLD2	cysteine-rich secretory protein LCCL domain containing 2	0.000007	0.25
217987_at	ASNSD1	asparagine synthetase domain containing 1	0.000009	1.69
1555499_a_at	IL28RA	interleukin 28 receptor, alpha (interferon, lambda receptor)	0.00001	0.83
1557954_at	CXorf15	chromosome X open reading frame 15	0.00001	2.02
209156_s_at	COL6A2	collagen, type VI, alpha 2	0.00001	0.25
212157_at	SDC2	syndecan 2	0.00001	2.76
223490_s_at	EXOSC3	exosome component 3	0.00001	2.68
223502_s_at	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	0.00001	0.32
225052_at	MGC14327	hypothetical protein MGC14327	0.00001	1.66
227419_x_at	PLAC9	placenta-specific 9	0.00001	0.56
229846_s_at	MAPKAP1	mitogen-activated protein kinase associated protein 1	0.00001	2.64
1557918_s_at	SLC16A1	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)	0.000015	2.9
202578_s_at	DDX19A	DEAD (Asp-Glu-Ala-As) box polypeptide 19A	0.000015	1.7
208828_at	POLE3	polymerase (DNA directed), epsilon 3 (p17 subunit)	0.000015	2.18
212670_at	ELN	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)	0.000015	0.43
228974_at	228974_at	CDNA FLJ42233 fis, clone THYMU3000420	0.000015	0.57
234603_at	234603_at	MRNA; cDNA DKFZp566E213 (from clone DKFZp566E213)	0.000015	0.83
238481_at	MGP	matrix Gla protein	0.000015	0.56
221565_s_at	FAM26B	family with sequence similarity 26, member B	0.000016	0.57
209948_at	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	0.000021	0.65
1555724_s_at	TAGLN	transgelin	0.000021	0.34
202957_at	HCLS1	hematopoietic cell-specific Lyn substrate 1	0.000021	0.38
203887_s_at	THBD	thrombomodulin	0.000021	0.39
209732_at	CLEC2B	C-type lectin domain family 2, member B	0.000021	0.41
212404_s_at	UBE3B	ubiquitin protein ligase E3B	0.000021	1.75
225664_at	COL12A1	collagen, type XII, alpha 1	0.000021	0.28
243735_at	243735_at	CDNA FLJ38461 fis, clone FEBRA2020977	0.000021	1.72
336_at	TBXA2R	thromboxane A2 receptor	0.000021	0.54
209606_at	PSCDBP	pleckstrin homology, Sec7 and coiled-coil domains, binding protein	0.000022	0.33
1566926_at	C21orf104	chromosome 21 open reading frame 104	0.000023	0.8
225999_at	FAM80B	family with sequence similarity 80, member B	0.000027	0.74
203591_s_at	CSF3R	colony stimulating factor 3 receptor (granulocyte)	0.000028	0.71
1552310_at	C15orf40	chromosome 15 open reading frame 40	0.00003	2.5
201633_s_at	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	0.00003	2.08
201798_s_at	FER1L3	fer-1-like 3, myoferlin (C. elegans)	0.00003	0.42
202947_s_at	GYPC	glycophorin C (Gerbich blood group)	0.00003	0.53
203753_at	TCF4	transcription factor 4	0.00003	0.46
203761_at	SLA	Src-like-adaptor	0.00003	0.43
205081_at	CRIP1	cysteine-rich protein 1 (intestinal)	0.00003	0.4
207961_x_at	MYH11	myosin, heavy chain 11, smooth muscle	0.00003	0.6
208666_s_at	ST13	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	0.00003	2.25
209292_at	ID4	Inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	0.00003	0.49
210184_at	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	0.00003	0.59
216333_x_at	TNXB	tenascin XB	0.00003	0.49
218564_at	RFWD3	ring finger and WD repeat domain 3	0.00003	1.68
