Affymetrix Probe Set ID	Gene Titles	Gene Symbol	Mean Expression† Drug-Resistant (SD)	Drug-Sensitive	Fold change‡	P§
211719_x_at¦	Fibronectin 1	FN1	3376 (1740)	132 (91)	25.6	0.019
218802_at	Hypothetical protein FLJ20647	FLJ20647	638 (181)	43 (33)	14.8	0.018
210474_s_at	Cell division cycle 2-like 1 (PITSLRE proteins)	CDC2L1	237 (90)	19 (2)	12.5	0.006
218415_at	Vacuolar protein sorting 33B (yeast)	VPS33B	509 (183)	51 (3)	10	0.008
209310_s_at	Caspase 4, apoptosis-related cysteine protease	CASP4	223 (119)	26 (6)	8.6	0.018
217977_at	Selenoprotein X, 1	SEPX1	1000 (359)	118 (18)	8.5	0.006
213696_s_at	Mediator of RNA polymerase II transcription, subunit 8 homolog (yeast)	MED8	588 (188)	71 (19)	8.3	0.009
209463_s_at	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	TAF12	504 (150)	63 (4)	8	0.006
210355_at	Parathyroid hormone-like hormone	PTHLH	119 (17)	15 (8)	7.9	0.016
219208_at	F-box protein 11	FBXO11	241 (25)	32 (2)	7.5	> .001
215814_at	Dystonin	DST	253 (80)	36 (5)	7	0.009
206352_s_at	Peroxisome biogenesis factor 10	PEX10	281 (93)	42 (16)	6.7	0.017
217751_at	Glutathione S-transferase kappa 1	GSTK1	1580 (304)	239 (125)	6.6	0.02
218894_s_at	Mago-nashi homolog	FLJ10292	449 (112)	68 (10)	6.6	0.006
214744_s_at	Similar to Zgc:73149 protein	---	333 (78)	51 (26)	6.5	0.021
204949_at	Intercellular adhesion molecule 3	ICAM3	227 (73)	35 (7)	6.5	0.012
217007_s_at	A disintegrin and metalloproteinase domain 15 (metargidin)	ADAM15	315 (86)	50 (2)	6.3	0.006
202201_at	Biliverdin reductase B (flavin reductase (NADPH))	BLVRB	482 (156)	84 (24)	5.7	0.015
214296_x_at	Chromosome 19 open reading frame 36	C19orf36	400 (132)	70 (6)	5.7	0.009
201841_s_at	Heat shock 27kDa protein 1	HSPB1	3736 (957)	656 (128)	5.7	0.008
207662_at	T-box 1	TBX1	236 (41)	42 (8)	5.6	0.004
222314_x_at	Homo sapiens, clone IMAGE:5759947, mRNA	---	140 (33)	25 (6)	5.6	0.008
212464_s_at¦	Fibronectin 1	FN1	2516 (979)	454 (13)	5.5	0.022
38157_at	Dom-3 homolog Z (C. elegans)	DOM3Z	828 (114)	152 (17)	5.4	0.002
211329_x_at	Hemochromatosis	HFE	174 (36)	33 (3)	5.3	0.003
209917_s_at¦	TP53 activated protein 1	TP53AP1	466 (85)	93 (30)	5	0.012
218436_at	Endoplasmic reticulum chaperone SIL1, homolog of yeast	SIL1	167 (39)	35 (1)	4.8	0.006
203824_at	Tetraspanin 8	TSPAN8	1217 (407)	264 (15)	4.6	0.018
217577_at	Exportin 1 (CRM1 homolog, yeast)	XPO1	148 (34)	33 (10)	4.5	0.014
215760_s_at	KIAA0963	KIAA0963	170 (56)	38 (0)	4.5	0.013
207370_at	Integrin-binding sialoprotein (bone sialoprotein, bone sialoprotein II)	IBSP	125 (15)	28 (0)	4.5	0.001
204306_s_at	CD151 antigen	CD151	649 (89)	146 (65)	4.4	0.022
214190_x_at	Golgi associated, gamma adaptin ear containing, ARF binding protein 2	GGA2	322 (125)	76 (12)	4.2	0.022
218676_s_at	Phosphatidylcholine transfer protein	PCTP	310 (50)	74 (7)	4.2	0.003
203522_at	Copper chaperone for superoxide dismutase	CCS	366 (67)	89 (3)	4.1	0.004
205186_at	Dynein, axonemal, light intermediate polypeptide 1	DNALI1	353 (7)	87 (21)	4.1	0.004
219309_at	Hypothetical protein FLJ23584	FLJ23584	323 (36)	80 (20)	4	0.007
208816_x_at	Annexin A2 pseudogene 2	ANXA2P2	2243 (501)	556 (154)	4	0.018
200791_s_at	IQ motif containing GTPase activating protein 1	IQGAP1	1087 (151)	271 (71)	4	0.01
213733_at	Myosin IF	MYO1F	186 (11)	47 (20)	4	0.022
218417_s_at	Hypothetical protein FLJ20489	FLJ20489	166 (38)	42 (5)	4	0.01
65438_at	KIAA1609 protein	KIAA1609	121 (12)	31 (7)	3.9	0.006
209629_s_at	Nuclear transport factor 2-like export factor 2	NXT2	769 (39)	198 (46)	3.9	0.005
215238_s_at	Dedicator of cytokinesis 9	DOCK9	132 (17)	34 (13)	3.9	0.02
219556_at	Hypothetical protein FLJ13909	FLJ13909	291 (63)	77 (16)	3.8	0.014
209698_at	Coiled-coil alpha-helical rod protein 1	CCHCR1	355 (120)	97 (1)	3.7	0.019
201341_at	Ectodermal-neural cortex (with BTB-like domain)	ENC1	5938 (1710)	1648 (187)	3.6	0.023
219047_s_at	Zinc finger protein 668	ZNF668	287 (65)	80 (10)	3.6	0.011
217134_at	Methylthioadenosine phosphorylase	MTAP	241 (60)	68 (15)	3.5	0.023
210415_s_at	Outer dense fiber of sperm tails 2	ODF2	209 (20)	59 (23)	3.5	0.023
214867_at	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	NDST2	401 (60)	116 (22)	3.5	0.008
202518_at	B-cell CLL/lymphoma 7B	BCL7B	922 (101)	268 (80)	3.4	0.014
208978_at	Cysteine-rich protein 2	CRIP2	3344 (1117)	987 (67)	3.4	0.024
201340_s_at	Ectodermal-neural cortex (with BTB-like domain)	ENC1	1761 (230)	526 (26)	3.3	0.002
207287_at	Hypothetical protein FLJ14107	FLJ14107	228 (9)	69 (10)	3.3	0.002
220097_s_at	Hypothetical protein FLJ20255	FLJ20255	406 (66)	123 (30)	3.3	0.013
222054_at	Similar to Peptidyl-prolyl cis-trans isomerase E (PPIase E) (Rotamase E) (Cyclophilin E) (Cyclophilin 33)	---	110 (9)	34 (7)	3.2	0.006
202869_at	2,5-oligoadenylate synthetase 1, 40/46kDa	OAS1	436 (70)	135 (25)	3.2	0.01
202928_s_at	PHD finger protein 1	PHF1	235 (48)	76 (17)	3.1	0.021
203495_at	Leucine rich repeat containing 14	LRRC14	260 (67)	85 (6)	3.1	0.018
