Location	Fold Change	ProbeSet ID	UniGene ID	Gene Symbol	Gene Name
Extracellular Space	-2.1	219439_at	Hs.592180	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1
Extracellular Space	-2.1	49679_s_at	Hs.567417	MMP24	matrix metallopeptidase 24 (membrane-inserted)
Extracellular Space	-2.2	227401_at	Hs.655142	IL17D	interleukin 17D
Extracellular Space	-2.2	226534_at	Hs.1048	KITLG	KIT ligand
Extracellular Space	-2.2	239909_at	Hs.522019	ADAMTSL1	ADAMTS-like 1
Extracellular Space	-2.3	200696_s_at	Hs.522373	GSN	gelsolin (amyloidosis, Finnish type)
Extracellular Space	-2.3	228312_at	Hs.25391	PI16	peptidase inhibitor 16
Extracellular Space	-2.4	217511_at	Hs.632079	KAZALD1	Kazal-type serine peptidase inhibitor domain 1
Extracellular Space	-2.4	219500_at	Hs.502977	CLCF1	cardiotrophin-like cytokine factor 1
Extracellular Space	-2.4	228520_s_at	Hs.709184	APLP2	amyloid beta (A4) precursor-like protein 2
Extracellular Space	-2.5	35666_at	Hs.32981	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F
Extracellular Space	-2.5	229442_at	Hs.208701	C18ORF54	chromosome 18 open reading frame 54
Extracellular Space	-2.6	226722_at	Hs.134742	FAM20C	family with sequence similarity 20, member C
Extracellular Space	-2.6	221953_s_at	Hs.567417	MMP24	matrix metallopeptidase 24 (membrane-inserted)
Extracellular Space	-3	209652_s_at	Hs.252820	PGF	placental growth factor
Extracellular Space	-3.3	221029_s_at	Hs.306051	WNT5B	wingless-type MMTV integration site family, member 5B
Extracellular Space	-3.3	239336_at	Hs.164226	THBS1	thrombospondin 1
Extracellular Space	-3.4	202912_at	Hs.441047	ADM	adrenomedullin
Extracellular Space	-3.5	201508_at	Hs.462998	IGFBP4	insulin-like growth factor binding protein 4
Extracellular Space	-3.6	212573_at	Hs.167115	ENDOD1	endonuclease domain containing 1
Extracellular Space	-4	228253_at	Hs.591563	LOXL3	lysyl oxidase-like 3
Extracellular Space	-4.7	225975_at	Hs.591691	PCDH18	protocadherin 18
Extracellular Space	-8.3	213661_at	Hs.55044	DKFZP586H2123	regeneration associated muscle protease
Extracellular Space	-8.8	201860_s_at	Hs.491582	PLAT	plasminogen activator, tissue
Extracellular Space	-16.3	1556316_s_at	Hs.707281	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
Extracellular Space	-22.1	206614_at	Hs.1573	GDF5	growth differentiation factor 5
Extracellular Space	-39.5	235504_at	Hs.98206	GREM2	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)
Extracellular Space	-89.8	240509_s_at	Hs.98206	GREM2	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)
