Curated Gene Symbol	Well ID	UG cluster	Gene Symbol	GeneBank	Fold-difference (eHCC/HGDN)	Parametric p-value
ATF5	1175340	Hs.9754	ATF5	22809	0.34	4.00E-07
CIDEB	1182963	Hs.130685	CIDEB	27141	0.54	1.80E-06
CYFIP2	1190115	Hs.519702	CYFIP2	26999	0.52	2.20E-06
ASS1	1181074	Hs.160786	ASS1	445	0.39	5.30E-06
CYP51A1	1188994	Hs.417077	CYP51A1	1595	1.97	6.80E-06
FDPS	1179947	Hs.335918	FDPS	2224	2.19	7.60E-06
TBX18	1189613	Hs.251830	TBX18	9096	0.61	2.33E-05
ASGR2	1173816	Hs.16247	ASGR2	433	0.52	2.63E-05
SARDH	1188422	Hs.198003	SARDH	1757	0.65	3.62E-05
CNPY2	1175188	Hs.8752	TMEM4	10330	1.68	4.00E-05
LRP11	1193372	Hs.408355	LRP11	84918	1.63	4.51E-05
DAP3	1181048	Hs.516746	DAP3	7818	1.71	4.53E-05
ENAH	1175930	Hs.497893	ENAH	55740	2.18	4.87E-05
PMPCA	1179635	Hs.495471	PMPCA	23203	0.65	5.57E-05
NUP37	1174503	Hs.444276	NUP37	79023	2	5.81E-05
LCAT	1193949	Hs.387239	LCAT	3931	0.63	6.16E-05
PIGF	1193948	Hs.468415	PIGF	5281	1.47	6.27E-05
IGFBP4	1173888	Hs.462998	IGFBP4	3487	0.57	6.30E-05
LSR	1184312	Hs.466507	LSR	51599	0.56	6.61E-05
KPNA2	1181035	Hs.594238	KPNA2	3838	1.77	7.05E-05
GUCD1	1175351	Hs.9850	C22orf13	83606	0.64	7.63E-05
NDRG4	1192687	Hs.322430	NDRG4	65009	0.63	7.93E-05
GGT2	1183073	Hs.595809	GGT2	2679	0.49	8.25E-05
F11	1173864	Hs.1430	F11	2160	0.46	8.37E-05
FXYD1	1181063	Hs.442498	FXYD1	5348	0.45	8.46E-05
LYN	1180361	Hs.491767	LYN	4067	1.53	9.19E-05
GFI1B	1189833	Hs.553160	GFI1B	8328	0.65	9.28E-05
POR	1181289	Hs.354056	POR	5447	0.73	1.07E-04
FCN3	1193088	Hs.333383	FCN3	8547	0.51	1.08E-04
ALDH4A1	1179954	Hs.77448	ALDH4A1	8659	0.52	1.09E-04
ZNF280B	1178188	Hs.43834	SUHW2	140883	1.53	1.13E-04
ANAPC11	1182231	Hs.534456	ANAPC11	51529	1.73	1.13E-04
PTBP2	1177818	Hs.591430	PTBP2	58155	1.53	1.20E-04
IGFALS	1173713	Hs.839	IGFALS	3483	0.37	1.28E-04
CYP2C8	1181786	Hs.282871	CYP2C8	1558	0.39	1.30E-04
LRTM1	1177875	Hs.591668	LRTM1	57408	0.73	1.30E-04
PGLYRP2	1191281	Hs.282244	PGLYRP2	114770	0.34	1.31E-04
	1192230	Hs.612895			0.7	1.34E-04
ANAPC5	1183684	Hs.7101	ANAPC5	51433	1.42	1.38E-04
DLEU2	1178177		DLEU2	8847	1.47	1.38E-04
HN1	1185273	Hs.532803	HN1	51155	1.86	1.42E-04
SNRPB	1180620	Hs.83753	SNRPB	6628	1.76	1.42E-04
LY6E	1179989	Hs.521903	LY6E	4061	0.71	1.45E-04
RTN3	1189999	Hs.473761	RTN3	10313	1.51	1.45E-04
LHFPL2	1180217	Hs.79299	LHFPL2	10184	1.71	1.46E-04
RHEB	1191212	Hs.438823	RHEB	6009	1.51	1.49E-04
SLC35E3	1186204	Hs.506011	SLC35E3	55508	1.63	1.52E-04
ADH4	1173808	Hs.1219	ADH4	127	0.25	1.52E-04
PCSK6	1181511	Hs.498494	PCSK6	5046	0.68	1.52E-04
MCM6	1187710	Hs.444118	MCM6	4175	1.49	1.62E-04
LAMTOR5	1180325	Hs.439815	HBXIP	10542	1.79	1.64E-04
TMEM69	1187924	Hs.643561	TMEM69	51249	1.56	1.70E-04
F9	1173840	Hs.522798	F9	2158	0.31	1.72E-04
	1186439	Hs.561421			0.46	1.72E-04
PMF1	1184247	Hs.530479	PMF1	11243	1.69	1.73E-04
MMP24	1174320	Hs.567417	MMP24	10893	0.68	1.74E-04
METTL5	1190638	Hs.470553	METTL5	29081	1.59	1.80E-04
CD19	1184324	Hs.632193	CD19	930	0.63	1.80E-04
YBEY	1178887	Hs.474066	C21orf57	54059	1.62	1.88E-04
ANXA2P1	1193865		ANXA2P1	303	1.9	1.94E-04
ASPH	1191443	Hs.332422	ASPH	444	2.3	2.01E-04
H2AFZ	1185807	Hs.119192	H2AFZ	3015	2.4	2.02E-04
ATOH8	1186805	Hs.135569	ATOH8	84913	0.77	2.04E-04
MTHFD1	1181637	Hs.632340	MTHFD1	4522	0.5	2.06E-04
GRM4	1181881	Hs.429018	GRM4	2914	1.46	2.06E-04
LYZ	1189166	Hs.524579	LYZ	4069	2.59	2.09E-04
UGT3A1	1193595	Hs.254699	UGT3A1	133688	0.4	2.13E-04
HBD	1177886	Hs.591988	HBD	3045	0.69	2.16E-04
CYP4A11	1173925	Hs.1645	CYP4A11	1579	0.44	2.16E-04
ADA	1173807	Hs.255479	ADA	100	1.36	2.19E-04
DLGAP1	1179760	Hs.627200	DLGAP1	9229	0.73	2.19E-04
DPPA2	1194701	Hs.351113	DPPA2	151871	0.73	2.19E-04
TMSB10	1179832	Hs.446574	TMSB10	9168	2.05	2.26E-04
CSAD	1191172	Hs.279815	CSAD	51380	0.8	2.37E-04
PRKCA	1194160	Hs.531704	PRKCA	5578	1.71	2.42E-04
APOF	1174101	Hs.534302	APOF	319	0.36	2.47E-04
ANGPTL4	1175309	Hs.9613	ANGPTL4	51129	0.54	2.50E-04
SKA2	1179228	Hs.463607	FAM33A	348235	1.43	2.50E-04
GPATCH2	1178610	Hs.420757	GPATC2	55105	1.48	2.51E-04
DAB2	1173827	Hs.481980	DAB2	1601	0.34	2.53E-04
NT5C3	1178702	Hs.487933	NT5C3	51251	1.67	2.57E-04
MIA	1191134	Hs.631539	MIA	8190	0.78	2.61E-04
OR5G1P	1189563		OR5G1P		0.76	2.66E-04
	1190708		FLJ10232		0.56	2.67E-04
GPR25	1189728	Hs.534316	GPR25	2848	0.75	2.70E-04
KRT6C	1193187	Hs.433845	KRT6C	140446	0.75	2.75E-04
FBP1	1173635	Hs.494496	FBP1	2203	0.43	2.81E-04
JTB	1174720	Hs.6396	JTB	10899	1.6	2.87E-04
CXCL9	1179945	Hs.77367	CXCL9	4283	1.79	2.89E-04
DLX4	1181634	Hs.591167	DLX4	1748	0.76	2.90E-04
PTGES3	1190918	Hs.50425	PTGES3	10728	1.98	2.90E-04
SH3GL2	1179568	Hs.75149	SH3GL2	6456	0.59	2.92E-04
CCT3	1173941	Hs.491494	CCT3	7203	1.91	2.92E-04
SERPINB12	1193996	Hs.348541	SERPINB12	89777	0.59	2.94E-04
PARVB	1175197	Hs.475074	PARVB	29780	0.78	2.98E-04
MSI1	1180893	Hs.158311	MSI1	4440	0.73	3.02E-04
ATP5E	1181840	Hs.177530	ATP5E	514	1.58	3.08E-04
UCHL5	1181549	Hs.591458	UCHL5	51377	1.77	3.14E-04
ORMDL2	1175745	Hs.534450	ORMDL2	29095	1.3	3.14E-04
ZNF175	1185795	Hs.119014	ZNF175	7728	0.78	3.22E-04
	1188671	Hs.612479			0.79	3.23E-04
	1182677	Hs.635480			0.76	3.24E-04
MAMDC2	1186609	Hs.547172	MAMDC2	256691	0.66	3.24E-04
APOA5	1182284	Hs.283923	APOA5	116519	0.31	3.34E-04
LILRA1	1181233	Hs.67846	LILRA1	11024	0.61	3.37E-04
FTCD	1177856	Hs.415846	FTCD	10841	0.57	3.37E-04
PIP5K1A	1193330	Hs.546316	PIP5K1A	8394	0.71	3.39E-04
	1181989	Hs.505141			0.69	3.57E-04
NOC4L	1184288	Hs.558536	NOC4L	79050	0.67	3.64E-04
	1188601	Hs.573373			0.74	3.66E-04
SMN1	1183053		SMA3		1.32	3.67E-04
SAA4	1173993	Hs.1955	SAA4	6291	0.4	3.67E-04
PANK2	1182466	Hs.516859	PANK2	80025	1.49	3.68E-04
TOR1AIP1	1189149	Hs.496459	TOR1AIP1	26092	1.6	3.70E-04
THNSL1	1182230	Hs.534486	THNSL1	79896	1.54	3.72E-04
	1194333				0.65	3.77E-04
IGFBP2	1173536	Hs.438102	IGFBP2	3485	0.56	3.85E-04
GSTA4	1181448	Hs.485557	GSTA4	2941	1.89	3.89E-04
ANXA2P3	1193866		ANXA2P3	305	1.98	3.91E-04
