Accession number	Gene symbol	Gene Description	Fold change	P value
NM_007847	Defa-rs2	defensin, alpha, related sequence 2	29.88	1.93E-04
NM_009114	S100a9	S100 calcium binding protein A9	29.58	4.25E-05
NM_019471	Mmp10	matrix metallopeptidase 10	29.47	7.67E-07
NM_008607	Mmp13	matrix metallopeptidase 13	29.1	1.48E-04
NM_183268	Defa20	defensin, alpha, 20	28.16	1.20E-04
NM_010810	Mmp7	matrix metallopeptidase 7	27.07	0.00411071
EU817850	Gm5222	monoclonal antibody 1D6 immunoglobulin light chain variable region	26.98	1.99E-05
NM_008764	Tnfrsf11b	tumor necrosis factor receptor superfamily, member 11b	25.98	0.01292794
NM_011915	Wif1	Wnt inhibitory factor 1	25.79	0.00447852
NM_001174099	Krt36	keratin 36	25.79	2.75E-04
NM_009263	Spp1	secreted phosphoprotein 1	25.4	1.31E-04
NM_175391	Apol7c	apolipoprotein L 7c	24.93	5.03E-07
NM_007969	Expi	extracellular proteinase inhibitor	24.78	3.00E-02
NM_008256	Hmgcs2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	24.62	9.86E-06
NM_010743	Il1rl1	interleukin 1 receptor-like 1	24.38	1.28E-05
NM_026414	Asprv1	aspartic peptidase, retroviral-like 1	24.38	2.82E-05
NM_007449	Ang2	angiogenin, ribonuclease A family, member 2	24.34	0.04452419
NM_053080	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3	24.11	0.01939012
NM_007440	Alox12	arachidonate 12-lipoxygenase	24.03	0.02319294
NM_001142959	Bcl2l15	BCLl2-like 15,transcript variant 1	23.95	5.27E-04
NM_016958	Krt14	keratin 14	23.81	0.00713059
NM_007753	Cpa3	carboxypeptidase A3	23.74	3.03E-05
NM_008939	Prss12	protease, serine, 12 neurotrypsin	23.65	0.04354441
NM_011280	Trim10	tripartite motif-containing 10	23.58	3.46E-06
NM_001082531	Pla2g2a	phospholipase A2, group IIA	23.5	8.61E-04
NM_021285	Myl1	myosin, light polypeptide 1	23.31	9.72E-04
NM_011067	Per3	period homolog 3	3.16	2.08E-05
NM_153484	Tef	thyrotroph embryonic factor	2.98	1.26E-05
NM_011198	Ptgs2	prostaglandin-endoperoxide synthase 2	22.87	1.53E-04
AK081980	Prdx6	16 days embryo head cDNA, product:peroxiredoxin 5	2.87	0.01674954
NM_178779	Rnf152	ring finger protein 152	2.63	0.0028878
