Curated Gene Symbol	GeneSymbol	Gene Description	FoldChangeinExpression	NumberofPathwaysGeneInvolvedin	ChromosomeLocation
MAPK1	MAPK1	Mitogen-activated protein kinase 1	-2.01	17 (4–8,10,17,21,22,24,26,37,39–42,44)	22q11.21
PIK3CB	PIK3CB	Phosphoinositide-3-kinase, catalytic, beta polypeptide	-2.05	16 (3,4,6,9,14,16–18,24,26,33,39–42,45)	3q22.3
PIK3R1	PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	-2.13	16 (3,4,6,9,14,16–18,24,26,33,39–42,45)	5q13.1
PRKCB	PRKCB1	Protein kinase C, beta 1	-11.24	15 (3–5,7,8,10,16–19,22,28,36,39,41)	16p11.2
AKT3	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	-2.54	14 (4,5,9,14,18,24,26,33,35,36,39,41,42,45)	1q43–q44
MAP2K1	MAP2K1	Mitogen-activated protein kinase kinase 1	-4.17	12 (4–8,10,17,22,24,26,39,41)	15q22.1–q22.33
MAPK9	MAPK9	Mitogen-activated protein kinase 9	-3.48	11 (4,5,8,14,15,24,26,28,35,40,41)	5q35
MAPK10	MAPK10	Mitogen-activated protein kinase 10	-2.28	11 (4,5,8,14,15,24,26,28,35,40,41)	4q22.1–q23
PRKACB	PRKACB	Protein kinase, cAMP-dependent, catalytic, beta	-2.55	11 (5,7–10,19,20,24,28,46,48)	1p36.1
PPP3CA	PPP3CA	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha)	-4.13	11 (5,7,9,17–19,21,28,31,33,39)	4q21–q24
PPP3CB	PPP3CB	Protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform (calcineurin A beta)	-3.65	10 (5,7,9,17–19,21,28,31,33,39)	10q21–q22
PRKX	PRKX	Protein kinase, X-linked	2.08	10 (5,7,8,10,19,20,24,28,46,48)	Xp22.3
PPP3R1	PPP3R1	Protein phosphatase 3 (formerly 2B), regulatory subunit B, 19 kDa, alpha isoform (calcineurin B, type I)	-3.05	10 (5,7,9,17–19,21,28,33,39)	2p15
IKBKB	IKBKB	Inhibitor of kappa light polypeptide gene enhancer in B cells, kinase beta	2.75	9 (5,9,14,15,18,24,33,35,40)	8p11.2
JUN	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	2.49	9 (4,5,8,14,15,18,26,28,33)	1p32–p31
PAK1	PAK1	p21/Cdc42/Rac1–activated kinase 1 (STE20 homolog, yeast)	-7.87	7 (4–6,15,17,21,33)	11q13–q14
TP53	TP53	Tumor protein p53 (Li-Fraumeni syndrome)	3.14	7 (5,9,26,28,29,31,38)	17p13.1
PLCB1	PLCB1	Phospholipase C, beta 1 (phosphoinositide-specific)	-2.73	7 (3,7,8,,10,19,22,28)	20p12
CALM1	CALM1	Calmodulin 1 (phosphorylase kinase, delta)	-2.22	7 (3,7,8,19,20,24,29)	14q24–q31
PDGFRA	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	5.76	7 (4–6,10,19,26,47)	4q11–q13
