Affymetrix Probe ID	Gene symbol	Gene name	p-value	PPDE (<p)	Fold Difference
205242_at	CXCL13	chemokine (C-X-C motif) ligand 13	0.000000227	0.9999498	200.7462423
214468_at	MYH6	myosin, heavy chain 6, cardiac muscle, alpha	0.0000528	0.9983955	73.83898305
222288_at	N/A	N/A	0.0000746	0.9980018	58.92147239
214063_s_at	TF	transferrin	0.00046	0.9936725	58.57477853
206030_at	ASPA	aspartoacylase (Canavan disease)	0.00000502	0.9996403	53.54282035
210140_at	CST7	cystatin F (leukocystatin)	0.000513	0.993221	47.15286624
206991_s_at	CCR5	chemokine (C-C motif) receptor 5	0.000656	0.9920822	37.04690117
213831_at	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	0.0000185	0.9991758	37.0438343
202508_s_at	SNAP25	synaptosomal-associated protein, 25kDa	0.000344	0.9947347	32.3296146
219937_at	TRHDE	thyrotropin-releasing hormone degrading enzyme	0.000187	0.9964208	30.03750998
206666_at	GZMK	granzyme K (granzyme 3; tryptase II)	0.0000411	0.9986314	29.68760064
203638_s_at	FGFR2	fibroblast growth factor receptor 2	0.000184	0.9964573	27.50748752
205303_at	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	0.0000442	0.9985668	27.01430801
205132_at	ACTC1	actin, alpha, cardiac muscle 1	0.00000168	0.9998206	26.13119718
205488_at	GZMA	granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)	0.0000556	0.998342	25.53499079
204655_at	CCL5	chemokine (C-C motif) ligand 5	0.00000203	0.9997977	24.7651241
209841_s_at	LRRN3	leucine rich repeat neuronal 3	0.00000358	0.9997098	24.48510577
209283_at	CRYAB	crystallin, alpha B	0.000619	0.9923672	24.47278912
204557_s_at	DZIP1	DAZ interacting protein 1	0.000285	0.9953259	24.17723077
203915_at	CXCL9	chemokine (C-X-C motif) ligand 9	0.000289	0.9952844	24.05738881
202555_s_at	MYLK	myosin light chain kinase	0.00000655	0.999574	23.60218412
220115_s_at	CDH10	cadherin 10, type 2 (T2-cadherin)	0.0000278	0.9989324	23.09429429
209480_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	0.0000059	0.9996014	22.80060751
204220_at	GMFG	glia maturation factor, gamma	0.000264	0.995547	22.21578947
214044_at	RYR2	ryanodine receptor 2 (cardiac)	0.0000136	0.9993222	22.009113
1405_i_at	CCL5	chemokine (C-C motif) ligand 5	0.00000232	0.9997798	21.76548248
204938_s_at	PLN	phospholamban	0.000934	0.990106	21.72636263
213068_at	DPT	dermatopontin	0.00000369	0.9997042	20.98804704
209541_at	IGF1	insulin-like growth factor 1 (somatomedin C)	0.00000735	0.9995416	20.94990172
213547_at	CAND2	cullin-associated and neddylation-dissociated 2 (putative)	0.0000447	0.9985565	20.90989327
204041_at	MAOB	monoamine oxidase B	0.0000226	0.999064	20.4737123
203413_at	NELL2	NEL-like 2 (chicken)	0.00000207	0.9997952	20.11140958
204260_at	CHGB	chromogranin B (secretogranin 1)	0.0000286	0.998913	19.96485549
204424_s_at	LMO3	LIM domain only 3 (rhombotin-like 2)	0.0000031	0.9997352	19.89377612
