Affymetrix ID	Gene Code	Fold Change
213953_at	KRT20	132.07
206149_at	CHP2	27.23
206430_at	CDX1	19.21
210390_s_at	CCL14 /// 15	17.91
232428_at	MOGAT2	16.57
240509_s_at	GREM2	13.6
232321_at	MUC17	13.38
217238_s_at	ALDOB	12.16
205929_at	GPA33	12.06
206312_at	GUCY2C	11.65
211916_s_at	MYO1A	10.7
225667_s_at	FAM84A	10.69
229215_at	ASCL2	10.61
231734_at	RBP2	10.57
238103_at		10.14
204705 x_at	ALDOB	10.07
210159_s_at	TRIM31	9.49
1552870_s_at	C1orf125	9.39
231632_at		9.11
208383_s_at	PCK1	8.87
243669_s_at	PRAP1	8.59
217207_s_at	BTNL3	8.39
1552281_at	SLC39A5	7.65
230914_at	HNF4A	7.61
219545_at	KCTD14	7.48
233604_at	FLJ22763	7.1
207202_s_at	NR1I2	7.07
222257_s_at	ACE2	6.93
1554436 a_at	REG4	6.92
233059_at		6.83
41469_at	PI3	6.79
236496_at	DEGS2	6.74
205506_at	VIL1	6.73
205311_at	DDC	6.7
218756_s_at	MGC4172	6.62
229158_at	WNK4	6.61
203953_s_at	CLDN3	6.57
211357_s_at	ALDOB	6.47
203691_at	PI3	6.39
229889_at	C17orf76	6.36
228912_at	VIL1	6.35
207158_at	APOBEC1	6.28
219962_at	ACE2	6.1
217073 x_at	APOA1	6.08
215444_s_at	TRIM31	6.06
223597_at	ITLN1	5.89
211603_s_at	ETV4	5.85
58916_at	KCTD14	5.78
1553559_at	TMEM171	5.66
205517_at	GATA4	5.57
236055_at	DQX1	5.52
