Gene	Symbol	Fold change T2DM/Contr.	Function
Interferon regulatory factor 1	IRF1	2.06 (1.38–3.10)	Adipogenesis
Interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST	1.42 (1.02–1.97)	Adipogenesis
CCAAT/enhancer-binding protein (C/EBP), delta	CEBPd	1.39 (1.15–1.68)	Adipogenesis
Endothelial PAS domain protein 1	EPAS1	1.30 (1.20–1.41)	Adipogenesis
Kruppel-like factor 5	KLF5	1.29 (1.06–1.58)	Adipogenesis
Early-b-factor	EBF	1.21 (1.05–1.40)	Adipogenesis
Myocyte enhancer factor 2D	MEF2d	0.90 (0.83–0.97)	Adipogenesis
Insulin receptor substrate 1	IRS1	0.80 (0.65–0.98)	Adipogenesis
Insulin growth factor 1	IGF1	0.77 (0.62–0.96)	Adipogenesis
Transforming growth factor, beta 1	TGFB1	0.75 (0.57–0.99)	Adipogenesis
Adiponutrin	ADPN	0.72 (0.61–0.86)	Adipogenesis
Nuclear receptor interacting protein 1	NRIP	0.71 (0.56–0.91)	Adipogenesis
Hypoxia-induced factor 1alpha	HIF1a	0.70 (0.50–0.98)	Adipogenesis
Nuclear receptor co-repressor 2	NCOR2	0.69 (0.56–0.84)	Adipogenesis
Kruppel-like factor 6	KLF6	0.63 (0.49–0.94)	Adipogenesis
Tenascin XB	TNXB	1.96 (1.12–3.43)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
ADAM metallopeptidase with thrombospondin type 1 motif 5	ADAMTS5	1.61 (1.08–2.38)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Mitogen-activated protein kinase kinase 2	MAP2K2	1.25 (1.03–1.51)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Von Willebrand factor	VWF	1.15 (1.03–1.28)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Matrix metallopeptidase 2	MMP2	0.90 (0.86–0.95)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Actin, gamma 1	ACTG1	0.88 (0.81–0.96)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Growth factor receptor-bound protein 2	GRB2	0.86 (0.76–0.97)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Platelet-derived growth factor D	PDGFD	0.85 (0.75–0.96)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
SHC (Src homology 2 domain containing) transforming protein 1	SHC1	0.85 (0.73–0.98)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Rho-associated, coiled-coil containing protein kinase 1	ROCK1	0.80 (0.66–0.96)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Insulin-like growth factor 1 (somatomedin C)	IGF1	0.77 (0.62–0.96)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Integrin, alpha 11	ITGA11	0.76 (0.63–0.92)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Actin, beta	ACTB	0.72 (0.58–0.90)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Integrin, alpha V	ITGAV	0.71 (0.59–0.86)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Protein phosphatase 1, regulatory (inhibitor) subunit 12a	PPP1R12a	0.68 (0.58–0.81)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Vascular endothelial growth factor A	VEGF	0.68 (0.48–0.95)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
A desintegrin and metallopeptidase domain 12	ADAM12	0.66 (0.49–0.89)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
3-phosphoinositide-dependent protein kinase-1	PDPK1	0.65 (0.47–0.89)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	ITGA5	0.65 (0.48–0.86)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Cyclin D1	CCND1	0.63 (0.42–0.93)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Collagen, type V, alpha 1	COL5A1	0.58 (0.44–0.75)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Actinin, alpha 1	ACTN1	0.57 (0.45–0.73)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Tenascin C (hexabrachion)	TNC	0.50 (0.29–0.86)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Collagen, type IV, alpha 1	COL4A1	0.47 (0.33–0.66)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Collagen, type XI, alpha 1	COL11A1	0.41 (0.23–0.71)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Matrix metallopeptidase 1	MMP1	0.33 (0.15–0.73)	Focal adhesion/extracellular matrix (ECM)/cytoskeleton
Caspase 1, apoptosis-related cysteine peptidase	CASP1	1.34 (1.01–1.77)	MAPK signaling pathway
Protein phosphatase 1B (formerly 2C)	PPM1B	1.32 (1.09–1.59)	MAPK signaling pathway
Mitogen-activated protein kinase kinase 2	MAP2K2	1.25 (1.03–1.51)	MAPK signaling pathway
Heat shock 70kDa protein 1A	HSPA1A	1.21 (1.01–1.45)	MAPK signaling pathway
Nerve growth factor, beta polypeptide	NGFB	1.20 (1.01–1.43)	MAPK signaling pathway
Growth factor receptor-bound protein 2	GRB2	0.86 (0.76–0.97)	MAPK signaling pathway
Mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3	0.79 (0.65–0.96)	MAPK signaling pathway
Transforming growth factor, beta 1	TGFB1	0.75 (0.57–0.99)	MAPK signaling pathway
Mitogen-activated protein kinase kinase kinase 4	MAP3K4	0.68 (0.47–0.97)	MAPK signaling pathway
Mitogen-activated protein kinase 8 interacting protein 3	MAPK8IP3	0.67 (0.53–0.84)	MAPK signaling pathway
Ras oncogene homolog	MRAS	0.71 (0.56–0.91)	MAPK signaling pathway
Interleukin 1, beta	IL1B	0.58 (0.36–0.94)	MAPK signaling pathway
Dual specificity protein phosphatase 10	DUSP10	0.58 (0.43–0.78)	MAPK signaling pathway
ADP-ribosylation factor 1	ARF1	1.35 (1.02–1.77)	Insulin signaling
Phosphoinositide-3-kinase, regulatory subunit 3 (p55, gamma)	PIK3A3	1.32 (1.21–1.44)	Insulin signaling
Mitogen-activated protein kinase kinase 2	MAP2K2	1.25 (1.03–1.51)	Insulin signaling
Flotillin 1	FLOT1	1.23 (1.02–1.49)	Insulin signaling
RAB4A, member RAS oncogene family	RAB4A	1.14 (1.02–1.25)	Insulin signaling
Phosphoinositide-3-kinase, class 2, alpha polypeptide	PIK3C2A	0.89 (0.79–0.99)	Insulin signaling
Inositol polyphosphate phosphatase-like 1	INPPL1	0.88 (0.80–0.97)	Insulin signaling
Growth factor receptor-bound protein 2	GRB2	0.86 (0.76–0.97)	Insulin signaling
Mitogen-activated protein kinase kinase kinase 3	MAP3K3	0.86 (0.75–0.99)	Insulin signaling
SHC (Src homology 2 domain containing) transforming protein 1	SHC1	0.85 (0.73–0.98)	Insulin signaling
Syntaxin binding protein 1	STXBP1	0.85 (0.73–0.99)	Insulin signaling
TBC1 domain family, member 4	TBC1D4	0.84 (0.79–0.89)	Insulin signaling
Insulin receptor substrate 1	IRS1	0.80 (0.65–0.98)	Insulin signaling
Mitogen-activated protein kinase kinase kinase kinase 3	MAP4K3	0.79 (0.65–0.96)	Insulin signaling
Protein tyrosine phosphatase, non-receptor type 1	PTPN1	0.78 (0.63–0.96)	Insulin signaling
Solute carrier family 2 (facilitated glucose transporter),member 1	SLC2A1	0.76 (0.61–0.96)	Insulin signaling
Mitogen-activated protein kinase kinase kinase kinase 2	MAP4K2	0.74 (0.60–0.93)	Insulin signaling
3-phosphoinositide-dependent protein kinase-1	PDPK1	0.65 (0.74–0.89)	Insulin signaling
Insulin-induced gene 11	INSIG1	0.37 (0.29–0.48)	Insulin signaling
