Gene symbol	Mean fold change	Name
SPP1	6.9	secreted phosphoprotein 1
RARRES1	6.5	retinoic acid receptor responder (tazarotene-induced) 1
IL1RN	5.6	interleukin 1 receptor antagonist
ABCG2	5.5	ATP-binding cassette, sub-family G (WHITE), member 2
MMP7	5.3	matrix metallopeptidase 7 (matrilysin, uterine)
CHIT1	5.3	chitinase 1 (chitotriosidase)
PLA2G7	5.2	phospholipase A2, group VII
AADACL1	5.2	arylacetamide deacetylase-like 1
APOC1	5.1	apolipoprotein C-I
EBI2	5	G protein-coupled receptor 183
EGR2	4.4	early growth response 2
ATP1B1	4.3	ATPase, Na+/K+ transporting, beta 1 polypeptide
MMP9	4.2	matrix metallopeptidase 9
PRG4	4.1	proteoglycan 4
RAB11FIP4	4	RAB11 family interacting protein 4 (class II)
ACP5	4	acid phosphatase 5, tartrate resistant
CCL18	3.9	chemokine (C-C motif) ligand 18
DHRS9	3.9	dehydrogenase/reductase (SDR family) member 9
TREM2	3.7	triggering receptor expressed on myeloid cells 2
NLRC4	3.7	NLR family, CARD domain containing 4
