Affymetrix probe set ID	Gene name	Gene symbol	Biological function	Fold changes in microarray
1421946_at	C-reactive protein, petaxin related	Crp	Acute-phase response	48
1418897_at	Coagulation factor II	F2	Acute-phase response, blood coagulation, proteolysis and peptidolysis	128
1426642_at	Fibronectin 1	Fn1	Acute-phase response, cell adhesion Metabolism, heparin binding	6
1448881_at	Haptoglobin	Hp	Acute-phase response, proteolysis and peptidolysis, chymotrypsin activity	52
1423944_at	Hemopexin	Hpxn	Acute-phase response, transport	676
1451054_at	Orosomucoid 1	Orm1	Acute-phase response, transporter activity	104
1419075_s_at	Serum amyloid A 1	Saa1	Acute-phase response	60
1419075_s_at	Serum amyloid A 2	Saa2	Lipid transporter activity	15
1449326_x_at	Serum amyloid A 2	Saa2	Acute-phase response lipid transporter activity	3
1450826_a_at	Serum amyloid A 3	Saa3	Acute-phase response lipid transporter activity	42
1419318_at	Serum amyloid A 4	Saa4	Acute-phase response lipid transporter activity	20
1420553_x_at	Serine (or cysteine) proteinase inhibitor, clade A, member 1a	Serpina1a	Acute-phase response serine-type endopeptidase inhibitor activity	104
1448680_at	Serine (or cysteine) proteinase inhibitor, clade A, member 1a	Serpina1a	Acute-phase response serine-type endopeptidase inhibitor activity	79
1451513_x_at	Serine (or cysteine) proteinase inhibitor, clade A, member 1b	Serpina1b	Acute-phase response endopeptidase inhibitor activity Serine-type endopeptidase inhibitor activity	56
1449321_x_at	Serine (or cysteine) proteinase inhibitor, clade A, member 1b	Serpina1b	Acute-phase response endopeptidase inhibitor activity	56
1449321_x_at	Serine (or cysteine) proteinase inhibitor, clade A, member 1d	Serpina1d	Serine-type endopeptidase inhibitor activity	56
1449321_x_at	Serine (or cysteine) proteinase inhibitor, clade A, member 1a	Serpina1a	Serine-type endopeptidase inhibitor activity	56
1449321_x_at	Serine (or cysteine) proteinase inhibitor, clade A, member 1e	Serpina1e	Serine-type endopeptidase inhibitor activity	56
