Gene Name	GenBank ID	MC-Infected	DES	Hemin
Transferrin Receptor- 1	NM_003234	-8.53	1.7	-5.5
Lactoferrin	NM_002343	-1.82	-2.2	NC
Hsp70D	M11717	-2.64	-2.98	NC
Hsp105a	AB003334	-1.69	-1.45	NC
Hsp70BG	X51758	-1.66	-1.53	NC
Sk/Dkk-1	AF127563	-3.06	NC	-1.89
Myoinositol monophosphatase	AFO4272	-1.83	NC	NC
c-Jun	J04111	1.7	NC	NC
H-ferritin	M11146	1.45	NC	NC
Eph-rel-rtk-ligand	M57730	1.71	NC	NC
Isg-1	AS188519	1.83	1.45	NC
Lactate dehydrogenase-A	X02152	1.97	2.07	NC
CL100 prot tyr pt-ase	X68277	1.99	7.07	NC
TGFB	X02812	2.21	1.97	NC
Heme Oxygenase-1	X06985	2.53	NC	12.34
Prolyl-4-hyrdox a subunit	M24487	2.89	3.36	NC
Nix	AF067396	3.04	3.73	NC
PLOD-2	U84573	3.17	3.72	NC
VEGF	NM_003376	3.57	3.36	NC
A20 (TNFAIP3)	NM_006290	3.9	4.84	NC
