Curated Gene Symbol	Gene name	Accession number	Description	P-value	FCA	GO_BP	Expression
CDH6	CDH6	NM_004932	Cadherin-6	4.20E-04	5	Homophilic cell adhesion	Upregulated genes
NRGN	NRGN	NM_006176	Neurogranin	2.90E-03	4.1	Nervous system development	Upregulated genes
RAB20	RAB20	NM_017817	Ras-related protein Rab-20	3.20E-03	3.3	Small GTPase mediated signal transduction	Upregulated genes
HIST1H4D	HIST1H4D	NM_003539	Histone H4	4.10E-03	2.8	Nucleosome assembly	Upregulated genes
SPDL1	CCDC99	NM_017785	Coiled-coil domain-containing protein 99	8.50E-04	2.8	Cell division	Upregulated genes
MYH11	MYH11	NM_002474	Myosin-11	3.60E-04	137.3	Smooth muscle contraction	Upregulated genes
MYH11	MYH11	NM_022844	Myosin-11	4.30E-04	134.3	Smooth muscle contraction	Upregulated genes
TLE3	TLE3	NM_005078	Transducin-like enhancer protein 3	2.90E-03	2.5	Regulation of transcription, DNA dependent	Upregulated genes
AKAP12	AKAP12	NM_144497	A-kinase anchor protein 12 (gravin)	3.30E-03	2.1	Positive regulation of protein kinase A signaling cascade	Upregulated genes
DHFR	DHFR	NM_000791	Dihydrofolate reductase	4.40E-03	2	Tetrahydrofolate metabolic process	Upregulated genes
	A_24_P333077	A_24_P333077	NA	5.00E-03	2.5	ND	Upregulated genes
	BX6448831	BX6448831	NA	5.00E-03	2.6	ND	Upregulated genes
IDI2-AS1	C10orf110	BC050694	Uncharacterized protein C10orf110	2.40E-05	3.4	ND	Downregulated genes
APOL6	APOL6	NM_030641	Apolipoprotein L6	3.30E-03	3.6	Lipoprotein metabolic process	Downregulated genes
GCNT3	GCNT3	ENST00000267857	b-1,3-Galactosyl-O-glycosyl-glycoprotein b-1,6-N-acetylglucosaminyltransferase 3	1.50E-03	2.6	Protein amino O-linked glycosylation	Downregulated genes
HIST1H2AC	HIST1H2AC	ENST00000314088	Histone H2A type 1-C	5.40E-04	2	Nucleosome assembly	Downregulated genes
LYPLAL1	LYPLAL1	NM_138794	Lysophospholipase-like protein 1	8.00E-04	2.5	ND	Downregulated genes
PDE4DIP	PDE4DIP	NM_001002811	Phosphodiesterase 4D interacting protein isoform 3 (myomegalin)	1.60E-03	2.4	ND	Downregulated genes
SLC39A11	SLC39A11	NM_139177	Zinc transporter ZIP11	2.20E-03	2.2	Zinc ion transport	Downregulated genes
RCAN2	DSCR1L1	NM_005822	Calcipressin-2 (RCAN2)	3.40E-03	2.2	Calcium-mediated signaling	Downregulated genes
	AK095564	AK095564	NA	2.90E-03	2.7	ND	Downregulated genes
	THC2740111	THC2740111	NA	4.20E-03	2.1	ND	Downregulated genes
	THC2688736	THC2688736	NA	1.50E-03	2.9	ND	Downregulated genes
