Probeset name 	P-value 	q-value  (FDR) 	Fold change SCC/control 
hsa-miR-375_st 	1.35E-16	3.49E-14	-20
hsa-miR-1224-5p_st 	4.48E-18	3.47E-15	-11.1
hsa-miR-617_st 	8.22E-17	3.19E-14	-8.3
hsa-miR-99a_st 	1.13E-12	2.18E-10	-5.3
hsa-miR-125b_st 	4.80E-07	0.0000233	-2.3
hsa-miR-378_st 	2.09E-06	0.0000676	-2.1
hsa-miR-27b_st 	1.14E-06	0.0000422	-2
hsa-miR-125b-2-star_st 	4.14E-06	0.000107	-2
hsa-miR-21-star_st 	3.14E-07	0.0000162	2
hsa-miR-345_st 	6.68E-06	0.000157	2.1
hsa-miR-106b-star_st 	2.58E-06	0.0000768	2.2
hsa-miR-132_st 	6.91E-07	0.0000297	2.3
hsa-miR-27a-star_st 	5.35E-10	5.93E-08	2.4
hsa-miR-181b_st 	8.05E-08	0.00000567	2.4
hsa-miR-181a_st 	1.54E-07	0.00000918	2.4
hsa-miR-424-star_st 	7.77E-10	7.53E-08	2.9
hsa-miR-155_st 	8.41E-07	0.0000326	2.9
hsa-miR-146a_st 	7.57E-07	0.0000309	3
hsa-miR-146b-5p_st 	1.26E-07	0.00000816	3.1
hsa-miR-1246_st 	4.53E-08	0.00000351	3.6
hsa-miR-187_st 	2.02E-09	0.000000174	3.8
hsa-miR-503_st 	1.81E-12	2.81E-10	4.2
hsa-miR-223_st 	2.25E-06	0.0000698	4.26
hsa-miR-21_st 	9.20E-11	1.19E-08	5.6
hsa-miR-31_st 	1.79E-06	0.000063	6.85
