Curated Gene Symbol	Gene name	Gene symbol	SLR	Fold repression
MBD4	Methyl-CpG binding domain protein 4	MBD4	3.1	8.2
WNT6	Wingless-type MMTV integration site family, member 6	WNT6	1.52	2.74
CYP2A6	Cytochrome P450, Family 2, subfamily A, polypeptide 6	CYP2A6	1.4	2.6
CD40	Tumor necrosis factor receptor superfamily, member 5	TNFRSF5	1.12	2.15
MT-ND5	NADH dehydrogenase, subunit 5	ND5	1	2
LMO3	LIM domain only 3 (rhombotin-like 2)	LMO3	1	2
ERGIC1	KIAA1181 protein	KIAA1181	0.98	1.97
PTPRO	Protein tyrosine phosphatase, receptor type, O	PTPRO	0.93	1.9
EFHC1	EF-hand domain (C-terminal) containing 1	EFHC1	0.78	1.72
MCC	Mutated in colorectal cancers	MCC	0.72	1.65
MALAT1	Metastasis associated lung adenocarcinoma transcript 1	MALAT1	0.7	1.62
GPAM	Glycerol-3-phosphate acyltransferase, mitochondrial	GPAM	0.7	1.62
CENPE	Centromere protein E, 312 kDa	CENPE	0.6	1.6
