Gene name	Fold change	Accession number	Cluster
Ectodermal-neural cortex (with BTB-like domain)	0.31	AF059611	8
Coagulation factor III (thromboplastin)	0.32	J02931	8
Deleted in liver cancer 1	0.32	AF035119	8
Paternally expressed 10	0.33	AB028974	9
Transcription factor RTEF-1	0.38	U63824	8
Myristoylated alanine-rich protein kinase C substrate	0.45	D10522	9
Transducer of ERBB2	0.45	D64109	9
Glutamate–cysteine ligase	0.47	L35546	8
Inhibitor of DNA binding 1	0.47	X77956	9
Cathepsin D	0.47	M63138	10
Sjogren syndrome antigen A2	0.47	M25077	10
Dynein	0.47	AB002323	10
Heme oxygenase (decycling) 2	0.47	AI086057	10
RNA-binding protein gene with multiple splicing	0.5	D84111	8
Solute carrier family 12 (sodium/chloride transporters), member 3	0.5	X91220	8
Ras association (RalGDS/AF-6) domain family 2	0.5	D79990	8
Hypothetical protein DKFZp564K0822	0.52	W25986	8
Very low density lipoprotein receptor	0.52	D16532	9
EST	0.52	W28612	9
Cyclophilin E	0.52	AF042386	10
Phosphogluconate dehydrogenase	0.52	U30255	10
Ubiquitin-conjugating enzyme E2A	0.52	M74524	10
TAF6 RNA polymerase II	0.55	L25444	8
Plastin 1 (I isoform)	0.55	L20826	8
Adenylate cyclase 9	0.55	AF036927	9
Latrophilin	0.55	AJ131581	9
RalGDS-like gene	0.55	AB023176	9
Mitogen-activated protein kinase kinase kinase kinase 4	0.55	AB014587	10
Myotubularin related protein 4	0.55	AB014547	10
Histone H2B	0.58	X00088	10
