Gene Symbol	Gene Description	logFC	Adjusted P-value
NELL2	NEL-like 2 (chicken)	24.6	6.20E-02
BMP5	Bone morphogenetic protein 5	24.5	2.90E-02
PENK	Proenkephalin	24.2	5.40E-02
GPM6A	Glycoprotein M6A	24.1	1.20E-02
DKK1	Dickkopf homolog 1 (Xenopus laevis)	23.4	9.80E-02
PTGS1	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	23.1	9.40E-02
SEMA3E	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	22.8	3.00E-02
FOXQ1	Forkhead box Q1	22.8	5.30E-02
DPT	Dermatopontin	22.7	9.40E-02
ARHGAP28	Rho GTPase activating protein 28	22.7	8.80E-02
HOXD13	homeobox D13	22.7	6.60E-02
TSLP	Thymic stromal lymphopoietin	22.4	2.40E-02
PRKCB1	Protein kinase C, beta 1	22.4	2.90E-02
PTGDS	Prostaglandin D2 synthase 21 kDa (brain)	22.3	9.80E-02
HAPLN1	Hyaluronan and proteoglycan link protein 1	22.3	8.60E-02
GPR133	G protein-coupled receptor 133	22.1	8.00E-02
PGF	Placental growth factor	22	8.80E-02
HOXD11	Homeobox D11	22	8.80E-02
