Affy_ID	GeneSymbol	Numerator(r)	Score(d)	Denominator(s+s0)	q-value(%)	264probe_Signature_FDR_25%	26probe_Signature_FDR_3.5%	Kruskal-Wallis rank sum statistics	Max. correlation to metagene	Assigned to metagene (corr. cutoff 0.2)
209591_s_at	BMP7	-0.154473745	-3.405266417	0.045363189	21.08925271	included	no	41.1	0.172564107	unclassified
221671_x_at	IGKC	-0.144453768	-3.118414736	0.046322821	21.08925271	included	no	27	0.79009914	B.Cell
211333_s_at	FASLG	-0.074393577	-3.106683585	0.0239463	21.08925271	included	no	54.1	0.328360618	MHC1
221651_x_at	IGKC	-0.136455722	-3.097396657	0.044054972	21.08925271	included	no	28.2	0.79460845	B.Cell
211259_s_at	BMP7	-0.134775378	-3.041008811	0.044319299	21.08925271	included	no	131.4	0.239619356	Prolif
218872_at	TSC	-0.141528943	-3.019280364	0.046875058	21.08925271	included	no	75.1	0.370692406	T.Cell
209460_at	ABAT	-0.121964115	-3.010076694	0.040518607	21.08925271	included	no	40.5	0.325884247	Apocrine
217455_s_at	SSTR2	-0.081858478	-2.890321458	0.028321583	21.08925271	included	no	56.3	0.167644747	unclassified
208479_at	KCNA1	-0.099857123	-2.882795981	0.034638984	21.08925271	included	no	94.3	0.135884568	unclassified
205890_s_at	UBD	-0.187530552	-2.859660876	0.065577899	21.08925271	included	no	34.4	0.634043778	MHC1
221087_s_at	APOL3	-0.076226667	-2.842944494	0.026812577	21.08925271	included	no	41.7	0.635949422	MHC2
210321_at	GZMH	-0.149809394	-2.819678409	0.053129958	21.08925271	included	no	44.6	0.584246388	T.Cell
214510_at	GPR20	-0.124448211	-2.776589392	0.044820531	26.36727309	included	no	115	-0.177747154	unclassified
211430_s_at	IGH@	-0.155406178	-2.761307599	0.056279923	26.36727309	included	no	21.9	0.827990279	B.Cell
214567_s_at	XCL1	-0.171349442	-2.759034486	0.062104857	26.36727309	included	no	75.9	0.705229129	T.Cell
217143_s_at	TRA@	-0.129485361	-2.721921873	0.0475713	26.36727309	included	no	61.8	0.654613204	T.Cell
207796_x_at	KLRD1	-0.085955618	-2.689604457	0.031958461	26.36727309	included	no	49.4	0.37780547	T.Cell
214677_x_at	IGL@	-0.145732932	-2.688304145	0.054209987	26.36727309	included	no	18.1	0.831836627	B.Cell
203915_at	CXCL9	-0.152195858	-2.680538707	0.056778086	26.36727309	included	no	44.3	0.693828263	T.Cell
208498_s_at	AMY2A	-0.140567351	-2.678822433	0.05247356	26.36727309	included	no	32.4	-0.198327333	unclassified
219605_at	ZNF3	-0.086108426	-2.677416416	0.032161014	26.36727309	included	no	56.6	-0.127593545	unclassified
209138_x_at	IGLC2	-0.148955917	-2.660983585	0.055977766	26.36727309	included	no	18.1	0.869095872	B.Cell
209590_at	BMP7	-0.100674345	-2.653547038	0.037939537	26.36727309	included	no	29.8	0.168212286	unclassified
204781_s_at	FAS	-0.077410692	-2.652629943	0.02918262	26.36727309	included	no	36.2	0.462735574	T.Cell
217378_x_at	LOC391427	-0.212063949	-2.640711642	0.080305606	26.36727309	included	no	35.1	0.95470648	B.Cell
218062_x_at	CDC42EP4	-0.083189145	-2.631401439	0.031614007	26.36727309	included	no	28.3	0.266052539	IFN
212272_at	LPIN1	-0.100673455	-2.624409307	0.038360425	26.36727309	included	no	82.4	-0.336647314	Stroma
203608_at	ALDH5A1	-0.107959315	-2.621410137	0.04118368	26.36727309	included	no	33.1	-0.226740793	Hemoglobin
207747_s_at	DOK4	-0.086094249	-2.618694313	0.032876785	26.36727309	included	no	19	-0.113561138	unclassified
