Pathway	Gene	Gene Description	Entrez gene ID	Rank in GSEA
Cytokine  pathway	CCL5	chemokine (C-C motif) ligand 5	6352	20591
Cytokine  pathway	CXCL10	chemokine (C-X-C motif) ligand 10	3627	20582
Cytokine  pathway	IL9	Interleukin 9	3578	20580
Cytokine  pathway	IL6	Interleukin 6	3569	20395
Cytokine  pathway	IFNG	Interferon gamma	3458	19998
Cytokine  pathway	IL15	Interleukin 15	3600	19284
Cytokine  pathway	LTB	lymphotoxin beta receptor (TNFR superfamily, member 3)	4055	20573
NF-kB pathway	NFKBIA	p65, nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792	20573
NF-kB pathway	NFKB1	p105, nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4790	20166
NF-kB pathway	LMNB2	lamin B2	84823	20017
NF-kB pathway	TRADD	TNFRSF1A-associated via death domain	8717	19867
NF-kB pathway	TNFRSF1B	tumor necrosis factor receptor superfamily, member 1B	7133	19287
Cell death pathway	CCL5	chemokine (C-C motif) ligand 5	6352	20591
Cell death pathway	BIRC3	baculoviral IAP repeat-containing 3	330	20583
Cell death pathway	NFKBIA	p65, nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792	20573
Cell death pathway	NFKB1	p105, nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4790	20166
Cell death pathway	TRADD	TNFRSF1A-associated via death domain	8717	19867
Cell death pathway	TNFRSF25	tumor necrosis factor receptor superfamily, member 25	8718	19453
Cell death pathway	GAS2	growth arrest-specific 2	2620	19272
Cell death pathway	BID	BH3 interacting domain death agonist	637	19052
Cell Adhesion	VCAM1	vascular cell adhesion molecule 1	7412	20595
Cell Adhesion	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	20567
Cell Adhesion	HLA-DMB	major histocompatibility complex, class II, DM beta	3109	20549
Cell Adhesion	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	20508
Cell Adhesion	SELE	selectin E (endothelial adhesion molecule 1)	6401	20464
Cell Adhesion	ALCAM	activated leukocyte cell adhesion molecule	214	19756
Antigen Processing	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3117	20567
Antigen Processing	CIITA	class II, major histocompatibility complex, transactivator	4261	20557
Antigen Processing	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	972	20553
Antigen Processing	HLA-DMB	major histocompatibility complex, class II, DM beta	3109	20549
Antigen Processing	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	3119	20508
Antigen Processing	CTSS	cathepsin S	1520	20215
