Gene Name	Probe	ANOVA p-value	ANOVA p-value Bonferroni-corrected	SAM Rank	SAM Score	PAM CV [%]	Mean F	Mean UF
PRKACB	A_24_P62708	0.00000000	0.00000000	1	-11.604	100	0.252353	-0.447942
NTRK1	A_23_P34804	0.00000000	0.00000000	2	-11.296	100	0.143101	-1.365459
PSMA6	A_23_P25735	0.00000000	0.00000000	3	10.7167	100	-0.162730	0.268314
AHCY	A_23_P17575	0.00000000	0.00000000	4	10.6465	100	-0.400549	0.299358
SCG2	A_24_P88696	0.00000000	0.00000000	5	-10.628	100	0.082409	-1.151019
PRPS1	A_23_P95764	0.00000000	0.00000000	6	10.4038	26	-0.156531	0.126182
NXPH1	A_23_P111604	0.00000000	0.00000000	7	-10.2989	100	0.313538	-0.950264
CAMK2B	A_23_P42882	0.00000000	0.00000000	8	-10.0499	100	0.060006	-0.802297
WSB1	A_23_P4353	0.00000000	0.00000000	9	-10.0375	100	0.225204	-0.477850
PRKCZ	A_23_P51187	0.00000000	0.00000000	10	-10.0087	100	0.137481	-0.524651
CCNB1	A_23_P122197	0.00000000	0.00000000	11	9.7043	100	-0.342551	0.340573
ATIC	A_23_P68087	0.00000000	0.00000000	12	9.4656	100	-0.268535	0.204270
PAFAH1B1	A_24_P356406	0.00000000	0.00000000	13	-9.2969	100	0.325428	-0.208300
PCNA	A_23_P28886	0.00000000	0.00000000	14	9.2746	100	-0.285819	0.411843
CLSTN1	A_24_P191067	0.00000000	0.00000000	15	-9.0365	100	0.164453	-0.357872
PHF1	A_23_P156732	0.00000000	0.00000000	16	-8.9286	12	0.004231	-0.161323
hfl-B5	A_23_P150446	0.00000000	0.00000000	17	8.7931	100	-0.191316	0.347535
UBE4B	A_23_P201279	0.00000000	0.00000000	18	-8.7631	21	0.128296	-0.139880
NME1	A_23_P152804	0.00000000	0.00000000	19	8.6937	100	-0.251017	0.313161
ECEL1	A_32_P155666	0.00000000	0.00000000	20	-8.6725	100	-0.113487	-0.987765
STAT3	A_23_P107206	0.00000000	0.00000000	21	-8.668	33	0.068743	-0.156549
TNFRSF25	A_23_P126844	0.00000000	0.00000000	22	-8.6568	100	0.189544	-0.574663
cDNA DKFZp564N1116	A_32_P134764	0.00000000	0.00000000	23	-8.3065	100	0.073753	-0.984215
E2F1	A_23_P80032	0.00000000	0.00000000	24	8.2162	96	-0.262577	0.188554
DPYSL3	A_24_P149036	0.00000000	0.00000000	25	-8.1148	100	0.179827	-0.366900
NME2	A_23_P141405	0.00000000	0.00000000	26	8.0184	100	-0.203687	0.348858
ATP6V0A1	A_24_P333733	0.00000000	0.00000000	27	-8.0041	58	-0.017303	-0.373037
NDUFAB1	A_23_P140960	0.00000000	0.00000000	28	7.9796	73	-0.028642	0.333258
TPX2	A_23_P68610	0.00000000	0.00000000	29	7.907	85	-0.280404	0.173767
COX8	A_23_P52639	0.00000000	0.00000000	30	7.8903	90	-0.045377	0.348458
cDNA FLJ11723 fis, clone HEMBA1005314	A_24_P912021	0.00000000	0.00000000	31	-7.8555	99	0.170128	-0.693355
HSPD1	A_32_P25273	0.00000000	0.00000000	32	7.8056	80	-0.296462	0.215354
ST3GAL3	A_23_P200999	0.00000000	0.00000000	33	-7.7724	15	0.100762	-0.115664
LDHA	A_23_P47565	0.00000000	0.00000000	34	7.735	89	-0.253407	0.315554
PGK1	A_23_P125829	0.00000000	0.00000000	35	7.6343	31	-0.163653	0.144137
CTNNBIP1	A_23_P23584	0.00000000	0.00000000	36	-7.563	56	0.103966	-0.288789
KIF1B	A_23_P331638	0.00000000	0.00000001	37	-7.2479	82	0.470729	-0.207839
EFNB2	A_24_P355944	0.00000000	0.00000001	38	-7.2368	100	0.216084	-0.307290
ABCC4	A_24_P16913	0.00000000	0.00000002	39	7.1388	16	-0.022037	0.180152
TKT	A_23_P92082	0.00000000	0.00000003	40	7.078	96	-0.333376	0.217926
MKI67	A_24_P346855	0.00000000	0.00000003	41	7.0725	83	-0.327411	0.148264
ARGBP2	A_23_P121795	0.00000000	0.00000008	42	-6.9008	100	0.018843	-0.641879
AHSA1	A_23_P117599	0.00000000	0.00000010	43	6.8558	47	-0.378796	-0.014167
ST3GAL1	A_23_P31893	0.00000000	0.00000010	44	-6.8497	75	0.091897	-0.277913
SMC2L1	A_23_P60271	0.00000000	0.00000012	45	6.8203	84	-0.213964	0.176923
FLJ11267	A_23_P168965	0.00000000	0.00000019	46	-6.7312	48	0.058781	-0.259098
ELAVL1	A_23_P388681	0.00000000	0.00000028	47	6.6513	33	-0.004482	0.208463
TOP2A	A_23_P118834	0.00000000	0.00000030	48	6.6415	99	-0.576736	0.235929
DCAMKL1	A_23_P369994	0.00000000	0.00000033	49	-6.6232	77	0.161770	-0.287730
GNB2L1	A_23_P41716	0.00000000	0.00000099	50	6.4001	34	-0.392937	0.044082
ENO1	A_23_P137391	0.00000000	0.00000126	51	6.3507	57	-0.421467	-0.064793
RPL18A	Hs.32217.1	0.00000000	0.00000129	52	6.347	67	-0.244540	0.236502
LAMA4	A_23_P133656	0.00000001	0.00000177	53	-6.2816	84	0.271097	-0.366968
EEF1G	A_24_P287198	0.00000001	0.00000218	54	6.2395	44	-0.287686	0.080413
S100B	A_23_P143526	0.00000001	0.00000244	55	-6.2158	100	-0.096978	-0.981950
ZFPM2	A_23_P168909	0.00000001	0.00000255	56	-6.2066	69	0.170332	-0.211270
GNB1	A_23_P22926	0.00000001	0.00000258	57	-6.2043	24	0.072629	-0.309956
RPLP0	Hs.36470.230	0.00000001	0.00000284	58	6.1851	34	-0.248073	0.114803
DIRAS3	A_23_P149121	0.00000001	0.00000346	59	-6.1438	99	0.017063	-0.922852
ELAVL4	A_24_P188447	0.00000002	0.00000755	60	-5.9815	27	0.076247	-0.363162
CDH6	A_23_P214011	0.00000003	0.00000975	61	-5.9278	12	0.125795	-0.136727
LDHB	A_23_P53476	0.00000003	0.00001095	62	5.9034	68	-0.249693	0.180840
BTBD3	A_24_P134356	0.00000003	0.00001128	63	-5.8971	99	0.204746	-0.279953
TRIM28	A_23_P89884	0.00000006	0.00002071	64	5.7682	18	-0.296229	0.000843
B3GALT6	A_23_P111171	0.00000006	0.00002154	65	-5.7598	18	0.088964	-0.231318
FUCA1	A_23_P11543	0.00000006	0.00002202	66	-5.7551	54	0.053445	-0.456258
RPL7A	Hs.9858.38	0.00000008	0.00002780	67	5.7051	23	-0.315704	0.045852
MLLT11	A_23_P23346	0.00000008	0.00002863	68	-5.6988	21	0.161811	-0.201369
GAP43	A_23_P253446	0.00000009	0.00003006	69	-5.6884	80	0.144578	-0.422767
ARHGEF7	A_23_P417891	0.00000009	0.00003087	70	-5.6826	97	0.185619	-0.313654
DDC	A_23_P145644	0.00000009	0.00003254	71	-5.6713	96	0.105987	-0.777518
DPYSL2	A_23_P350824	0.00000009	0.00003303	72	-5.6681	56	0.060979	-0.284896
NCYM	A_23_P67952	0.00000010	0.00003373	73	5.6635	96	-1.029291	-0.293533
