Probe sets	Gene names	Regr.coef. CEBPAwt	Regr.coef. CEBPAdm
202007_at	NID1	0.01636	-0.01636
202018_s_at	LTF	-0.00318	0.00318
202252_at	RAB13	0.06454	-0.06454
202382_s_at	GNPDA1	0.02519	-0.02519
203305_at	F13A1	0.12536	-0.12536
203860_at	PCCA	0.04591	-0.04591
204039_at	CEBPA	-0.08967	0.08967
206210_s_at	CETP	-0.0517	0.0517
209686_at	S100B	-0.02699	0.02699
209905_at	HOXA9	0.06141	-0.06141
210298x_at	FHL1	0.01507	-0.01507
210762_s_at	DLC1	-0.00626	0.00626
211209x_at	SH2D1A	0.05816	-0.05816
211341_at	LOC100131317//POU4F1	-0.00442	0.00442
211560_s_at	ALAS2	-0.02554	0.02554
211682x_at	UGT2B28	-0.07277	0.07277
211709_s_at	CLEC11A	0.06346	-0.06346
212062_at	ATP9A	0.00432	-0.00432
214146_s_at	PPBP	0.07145	-0.07145
214651_s_at	HOXA9	0.1766	-0.1766
214835_s_at	SUCLG2	0.10251	-0.10251
215772x_at	SUCLG2	0.0422	-0.0422
217800_s_at	NDFIP1	0.00914	-0.00914
219463_at	C20orf103	-0.09278	0.09278
220807_at	HBQ1	-0.03991	0.03991
222288_at	PPP4R2	0.0637	-0.0637
222463_s_at	BACE1	0.00838	-0.00838
223708_at	C1QTNF4	-0.10196	0.10196
224710_at	RAB34	0.34355	-0.34355
229638_at	IRX3	0.11367	-0.11367
235099_at	CMTM8	0.01472	-0.01472
235289_at	EIF5A2	-0.00758	0.00758
235438_at	CYP7B1	-0.23982	0.23982
235818_at	VSTM1	-0.05598	0.05598
239791_at	LOC100130740	0.08214	-0.08214
34210_at	CD52	0.13627	-0.13627
