parent	child	Parent OGS	Child OGS	corr across A375 data	corr across Bogonovic data	parent CoxPH p value	child CoxPH p value
222680_s_at	209421_at	DTL	MSH2	0.927	0.781	0.003493739	0.07342288
222680_s_at	204603_at	DTL	EXO1	0.924	0.654	0.003493739	0.000345381
222680_s_at	218585_s_at	DTL	DTL	0.91	0.684	0.003493739	0.000801852
222680_s_at	204026_s_at	DTL	ZWINT	0.907	0.238	0.003493739	0.11104941
222680_s_at	211814_s_at	DTL	CCNE2	0.905	0.74	0.003493739	0.003492063
222680_s_at	220651_s_at	DTL	MCM10	0.905	0.595	0.003493739	0.219719196
222680_s_at	204768_s_at	DTL	FEN1	0.904	0.214	0.003493739	0.004680571
222680_s_at	203968_s_at	DTL	CDC6	0.896	0.773	0.003493739	0.018331469
222680_s_at	212836_at	DTL	POLD3	0.893	0.415	0.003493739	0.73996304
222680_s_at	218350_s_at	DTL	GMNN	0.89	0.172	0.003493739	0.010327451
222680_s_at	203967_at	DTL	CDC6	0.889	0.631	0.003493739	0.038764656
222680_s_at	219000_s_at	DTL	DSCC1	0.871	0.67	0.003493739	0.032593552
222680_s_at	218719_s_at	DTL	GINS3	0.866	0.556	0.003493739	0.108256757
222680_s_at	1552921_a_at	DTL	FIGNL1	0.861	0.723	0.003493739	0.003503876
222680_s_at	201930_at	DTL	MCM6	0.86	0.184	0.003493739	0.084172095
222680_s_at	225655_at	DTL	UHRF1	0.859	0.317	0.003493739	0.125066234
222680_s_at	200783_s_at	DTL	STMN1	0.847	0.067	0.003493739	0.013113001
222680_s_at	204126_s_at	DTL	CDC45L	0.84	0.627	0.003493739	0.001407726
222680_s_at	204127_at	DTL	RFC3	0.829	0.308	0.003493739	0.046608049
222680_s_at	212142_at	DTL	MCM4	0.815	0.539	0.003493739	0.003070672
222680_s_at	221521_s_at	DTL	GINS2	0.813	0.613	0.003493739	0.000708945
222680_s_at	225439_at	DTL	NUDCD1	0.812	0.356	0.003493739	0.179360429
222680_s_at	203209_at	DTL	RFC5	0.811	0.668	0.003493739	0.020323431
222680_s_at	215034_s_at	DTL	TM4SF1	0.797	0.181	0.003493739	0.265731345
222680_s_at	205024_s_at	DTL	RAD51	0.781	0.668	0.003493739	0.000433311
222680_s_at	222036_s_at	DTL	MCM4	0.762	0.345	0.003493739	0.00186362
222680_s_at	212141_at	DTL	MCM4	0.761	0.618	0.003493739	0.002520985
222680_s_at	216237_s_at	DTL	MCM5	0.748	0	0.003493739	0.143979369
222680_s_at	208708_x_at	DTL	EIF5	0.742	0.361	0.003493739	0.965027777
222680_s_at	214426_x_at	DTL	CHAF1A	0.71	0.536	0.003493739	0.003536091
222680_s_at	204775_at	DTL	CHAF1B	0.709	0.727	0.003493739	0.00077593
222680_s_at	202338_at	DTL	TK1	0.685	0.418	0.003493739	0.001017789
222680_s_at	209386_at	DTL	TM4SF1	0.652	0.448	0.003493739	0.157492756
222680_s_at	208795_s_at	DTL	MCM7	0.639	0.21	0.003493739	0.049631566
222680_s_at	212282_at	DTL	TMEM97	0.608	0.292	0.003493739	0.013061511
222680_s_at	201042_at	DTL	TGM2	0.588	0.068	0.003493739	0.41891696
222680_s_at	220223_at	DTL	ATAD5	0.574	0.445	0.003493739	0.895344337
222680_s_at	222037_at	DTL	MCM4	0.529	0.771	0.003493739	0.002443616
222680_s_at	204252_at	DTL	CDK2	0.485	0.03	0.003493739	0.003691372
222680_s_at	201663_s_at	DTL	SMC4	0.404	0.24	0.003493739	0.938236157
222680_s_at	203696_s_at	DTL	RFC2	0.345	0.4	0.003493739	0.00366535
222680_s_at	225837_at	DTL	C12orf32	0.313	0.292	0.003493739	0.439404903
222680_s_at	1053_at	DTL	RFC2	0.277	0.367	0.003493739	0.000816055
222680_s_at	223417_at	DTL	RAD18	0.251	0.547	0.003493739	0.016775314
222680_s_at	204460_s_at	DTL	RAD1	0.197	0.347	0.003493739	0.006451053
222680_s_at	223165_s_at	DTL	IP6K2	0.183	0.315	0.003493739	0.192989634
222680_s_at	211685_s_at	DTL	NCALD	0.158	0.198	0.003493739	0.037759323
222680_s_at	227838_at	DTL	UNC5C	0.152	0.229	0.003493739	0.85746589
222680_s_at	200681_at	DTL	GLO1	0.121	0.398	0.003493739	0.014418874
222680_s_at	217732_s_at	DTL	ITM2B	0.1	0.243	0.003493739	0.028099542
222680_s_at	225578_at	DTL	C13orf37	0.086	0.198	0.003493739	0.177321349
222680_s_at	205061_s_at	DTL	EXOSC9	0.083	0.256	0.003493739	0.970599904
222680_s_at	208623_s_at	DTL	EZR	0.08	0.182	0.003493739	0.537917588
222680_s_at	218806_s_at	DTL	VAV3	0.055	0.11	0.003493739	0.017924822
222680_s_at	209753_s_at	DTL	TMPO	0.048	0.052	0.003493739	0.051098992
222680_s_at	232596_at	DTL	DIAPH3	0.035	0.041	0.003493739	0.031034123
222680_s_at	206173_x_at	DTL	GABPB1	0.011	0.034	0.003493739	0.133458587
