Gene ID	Name	Functional Class	Mean 635	Mean 532	Abundance class	SG enrichment (log2-fold)
AAEL009081	conserved hypothetical protein	UKN	401214	2637.9205	High	7.490288653
AAEL009524	alpha-amylase	DIG	397955.8625	4429.86725	High	7.044802136
AAEL006424	D7 protein, putative	TRP	326657.0125	1287.416625	High	8.325585631
AAEL007986	conserved hypothetical protein	UKN	317404.2875	1226.633088	High	8.182772741
AAEL017854	Small subunit ribosomal RNA, 5 domain	RTT	294559.3375	190290.3125	High	0.667943506
AAEL017810	Small subunit ribosomal RNA, 5 domain	RTT	292684.475	194833.95	High	0.63705127
AAEL010235	conserved hypothetical protein	DIV	288949.4	3766.4865	High	6.657279133
AAEL017780	Small subunit ribosomal RNA, 5 domain	RTT	288064.4875	191781.0125	High	0.616999628
AAEL017877	Small subunit ribosomal RNA, 5 domain	RTT	287612.6625	189403.1375	High	0.643291174
AAEL017600	Small subunit ribosomal RNA, 5 domain	RTT	287594.675	184107.1625	High	0.693329116
AAEL017880	Small subunit ribosomal RNA, 5 domain	RTT	285932.9875	191328.9	High	0.607613007
AAEL017671	Small subunit ribosomal RNA, 5 domain	RTT	285650.6	189066.25	High	0.651375304
AAEL017652	Small subunit ribosomal RNA, 5 domain	RTT	285291.1875	196980.6	High	0.585775214
AAEL017721	Small subunit ribosomal RNA, 5 domain	RTT	284327.275	176445.1875	High	0.722297759
AAEL017587	Small subunit ribosomal RNA, 5 domain	RTT	283970.9375	194147.775	High	0.602340067
AAEL017755	Small subunit ribosomal RNA, 5 domain	RTT	283633.7875	196563.5	High	0.567059828
AAEL017766	Small subunit ribosomal RNA, 5 domain	RTT	283589.575	189725.425	High	0.649439524
AAEL017644	Small subunit ribosomal RNA, 5 domain	RTT	283330.6375	182440.9875	High	0.680846447
AAEL017714	Small subunit ribosomal RNA, 5 domain	RTT	282627.4625	186580.3375	High	0.660476117
AAEL017686	Small subunit ribosomal RNA, 5 domain	RTT	281575.7	202213.6	High	0.532214036
AAEL017951	Small subunit ribosomal RNA, 5 domain	RTT	280237.6625	199458.375	High	0.540575297
AAEL017902	Small subunit ribosomal RNA, 5 domain	RTT	280138.15	189476.7875	High	0.60934106
AAEL017788	Small subunit ribosomal RNA, 5 domain	RTT	279757.0875	187827.35	High	0.622825842
AAEL017915	Small subunit ribosomal RNA, 5 domain	RTT	279309.025	192769.6625	High	0.589613815
AAEL017964	Small subunit ribosomal RNA, 5 domain	RTT	279096.2	198745.4	High	0.553686818
AAEL017614	Small subunit ribosomal RNA, 5 domain	RTT	276719.325	198698.1875	High	0.52450036
AAEL017944	Small subunit ribosomal RNA, 5 domain	RTT	276469.925	197712.025	High	0.525266848
AAEL017782	Small subunit ribosomal RNA, 5 domain	RTT	275438.8875	185146.0125	High	0.634821192
AAEL017858	Small subunit ribosomal RNA, 5 domain	RTT	275135.3	194719.9	High	0.524293751
AAEL017784	Small subunit ribosomal RNA, 5 domain	RTT	274649.975	193403.1875	High	0.554363995
AAEL017815	Small subunit ribosomal RNA, 5 domain	RTT	274551.25	201496.925	High	0.49083926
AAEL017893	Small subunit ribosomal RNA, 5 domain	RTT	273042	175049.9875	High	0.69568819
AAEL017845	Small subunit ribosomal RNA, 5 domain	RTT	272252.15	192596.5	High	0.531882952
AAEL017752	Small subunit ribosomal RNA, 5 domain	RTT	272178.5625	177820.9375	High	0.662297614
AAEL017907	Small subunit ribosomal RNA, 5 domain	RTT	272173.6125	192034.9	High	0.567575279
AAEL017953	Small subunit ribosomal RNA, 5 domain	RTT	271553.925	182487.1625	High	0.601615068
AAEL003600	conserved hypothetical protein	DIV	268513.8875	2830.72025	High	6.851273537
AAEL017706	Small subunit ribosomal RNA, 5 domain	RTT	268426.6	196177.3125	High	0.502046021
AAEL017592	Small subunit ribosomal RNA, 5 domain	RTT	268010.55	194748.2625	High	0.491946155
AAEL009670	lysozyme P, putative	IMM	265522.4	896.053125	High	8.624475594
AAEL017891	Small subunit ribosomal RNA, 5 domain	RTT	264252.2875	194180.2125	High	0.492242636
AAEL000392	alpha-amylase	DIG	261572.3712	1066.920081	High	5.150457908
AAEL006485	inosine-uridine preferring nucleoside hydrolase	MET	259952.325	1648.907517	High	7.735859398
AAEL017816	Small subunit ribosomal RNA, 5 domain	RTT	257570.1375	183127.375	High	0.541340071
AAEL017771	Small subunit ribosomal RNA, 5 domain	RTT	256804.275	189272.3875	High	0.486913735
AAEL017603	Small subunit ribosomal RNA, 5 domain	RTT	223454.525	166476.2875	High	0.454141576
AAEL006423	conserved hypothetical protein	DIV	167862.5188	816.9664063	High	7.993905797
AAEL017615	Small subunit ribosomal RNA, 5 domain	RTT	156947.3588	105343.585	High	0.707106666
AAEL008305	conserved hypothetical protein	UKN	143272.1975	341.7715125	High	9.081485095
AAEL004597	conserved hypothetical protein	DIV	143267.9325	2439.312333	High	5.227591978
AAEL017654	Small subunit ribosomal RNA, 5 domain	RTT	138605.1903	111732.1468	High	0.354992949
AAEL017733	Small subunit ribosomal RNA, 5 domain	RTT	133715.8705	89440.10205	High	0.367167586
AAEL000229	conserved hypothetical protein	DIV	128840.775	3049.558375	High	5.900636385
AAEL007064	gram-negative bacteria binding protein	IMM	126748.2388	820.816075	High	7.46722327
AAEL004522	gambicin	IMM	114300.1675	8893.2185	High	3.795444595
AAEL017777	5.8S ribosomal RNA	RTT	112145.2975	178113.7	High	-0.59838303
AAEL003053	allergen, putative	DIV	111590.175	785.8878063	High	7.297962595
AAEL017708	5.8S ribosomal RNA	RTT	110160.015	177067.025	High	-0.552339484
AAEL005722	60S ribosomal protein L7a	RTT	108917.0475	137988.4408	High	-0.368258974
AAEL000533	antifreeze protein, putative	IMM	108559.855	3449.73475	High	4.381352874
AAEL017735	5.8S ribosomal RNA	RTT	108137.1675	172334.2	High	-0.556395443
AAEL017657	5.8S ribosomal RNA	RTT	106842.235	182933.525	High	-0.674096268
AAEL002693	venom allergen	MET	106772.8763	1322.3322	High	6.817366802
AAEL017622	5.8S ribosomal RNA	RTT	106682.8525	166828.675	High	-0.535486469
AAEL017909	5.8S ribosomal RNA	RTT	105321.9675	168294.75	High	-0.551741592
AAEL017618	5.8S ribosomal RNA	RTT	104361.915	181496.65	High	-0.722162445
AAEL006719	alpha-amylase	DIG	102424.1819	1093.751925	High	6.955304883
AAEL017598	Small subunit ribosomal RNA, 5 domain	RTT	102252.8218	68769.853	High	0.533289315
AAEL017918	5.8S ribosomal RNA	RTT	102178.68	167113.05	High	-0.654033157
AAEL017597	5.8S ribosomal RNA	RTT	102072.0825	161166.45	High	-0.612214395
AAEL003601	conserved hypothetical protein	UKN	101864.4256	1507.935594	High	6.302888632
AAEL017881	5.8S ribosomal RNA	RTT	100657.2	151892.8	High	-0.629417172
AAEL017856	5.8S ribosomal RNA	RTT	100319.775	182497.425	High	-0.771296848
AAEL017759	5.8S ribosomal RNA	RTT	99526.1575	187490.5	High	-0.806889678
AAEL017802	5.8S ribosomal RNA	RTT	99397.7925	185431.6	High	-0.818804865
AAEL017585	5.8S ribosomal RNA	RTT	98731.41	180371.5	High	-0.752239489
AAEL017608	5.8S ribosomal RNA	RTT	98651.0825	188719.8	High	-0.815799249
AAEL017908	5.8S ribosomal RNA	RTT	98482.725	158315.35	High	-0.655585325
AAEL017745	5.8S ribosomal RNA	RTT	98281.555	180977.725	High	-0.763129568
AAEL017937	5.8S ribosomal RNA	RTT	98025.5425	174859.375	High	-0.757408466
AAEL017696	5.8S ribosomal RNA	RTT	97884.6425	178137.75	High	-0.764462778
AAEL017965	5.8S ribosomal RNA	RTT	96893.56	182447.325	High	-0.81039951
AAEL017834	5.8S ribosomal RNA	RTT	96307.1125	177238.05	High	-0.757939045
AAEL017758	5.8S ribosomal RNA	RTT	95895.3325	152169.725	High	-0.627581022
AAEL017647	5.8S ribosomal RNA	RTT	95720.8075	147165.625	High	-0.529743441
AAEL017683	5.8S ribosomal RNA	RTT	95467.6925	180287.75	High	-0.814993641
AAEL000556	galactose-specific C-type lectin, putative	IMM	95415.73875	526.3626625	High	7.442558205
AAEL017939	5.8S ribosomal RNA	RTT	95282.9275	144533.425	High	-0.713846864
AAEL017896	5.8S ribosomal RNA	RTT	94468.1425	157285	High	-0.583058743
AAEL017956	5.8S ribosomal RNA	RTT	94409.465	143236.2	High	-0.581693128
AAEL017819	5.8S ribosomal RNA	RTT	92036.035	134744.975	High	-0.585296591
AAEL017941	5.8S ribosomal RNA	RTT	88596.055	166135.175	High	-0.798246942
AAEL017838	5.8S ribosomal RNA	RTT	87868.445	174787.35	High	-0.926098693
AAEL017620	5.8S ribosomal RNA	RTT	85092.925	172715.45	High	-0.81183727
AAEL005629	ribosomal protein L35, putative	RTT	83681.4225	152806.8375	High	-0.598081644
AAEL017612	5.8S ribosomal RNA	RTT	78762.4475	153267.225	High	-0.944698745
AAEL017853	5.8S ribosomal RNA	RTT	78242.5175	153998.25	High	-0.95000971
AAEL006347	apyrase, putative	DIV	77950.00938	877.4245875	High	6.884427371
AAEL007776	conserved hypothetical protein	UKN	77599.85875	869.1798875	High	6.913176561
AAEL017803	5.8S ribosomal RNA	RTT	76426.245	159500.475	High	-0.967910281
AAEL017900	5.8S ribosomal RNA	RTT	73292	153193.425	High	-0.948072824
AAEL003530	acidic ribosomal protein P1, putative	RTT	72455.98875	141642.05	High	-0.84159557
AAEL017786	5.8S ribosomal RNA	RTT	71935.5125	140991.475	High	-0.82696276
AAEL000987	60S ribosomal protein L8	RTT	69327.03583	99945.525	High	-0.402823474
AAEL009993	conserved hypothetical protein	DIV	67846.575	1008.701875	High	6.371598252
AAEL008619	conserved hypothetical protein	PROT	66029.32375	792.5744125	High	6.670340992
AAEL000823	ribosomal protein L35A, putative	RTT	64799.74592	119904.7862	High	-0.857802414
AAEL006406	conserved hypothetical protein	DIV	64217.02544	317.0789369	High	7.506623729
AAEL005266	40S ribosomal protein S14	RTT	62159.9125	131039.3106	High	-0.887291799
AAEL011447	60S ribosomal protein L14	RTT	61481.76375	126575.7738	High	-0.938395836
AAEL011656	40S ribosomal protein S15	RTT	60353.3025	126442.2925	High	-1.003217401
AAEL004585	hypothetical protein	DIV	60351.3255	1583.981928	High	6.777446057
AAEL012585	60S ribosomal protein L7	RTT	59913.35792	114412.1217	High	-0.819735898
AAEL002704	serine protease inhibitor (serpin-4), putative	IMM	58141.07375	1614.084625	High	5.56255157
AAEL017413	Hypothetical protein	UKN	54035.30613	216238.5375	High	-2.049748398
AAEL013625	40S ribosomal protein S5	RTT	53875.54219	97762.12375	High	-0.740433738
AAEL002534	60S ribosomal protein L10	RTT	53084.31375	98144.22125	High	-0.553084412
AAEL003585	conserved hypothetical protein	UKN	52918.85375	1544.084988	High	5.460455893
AAEL000019	conserved hypothetical protein	UKN	52539.15625	3318.4875	High	4.269104981
AAEL003942	60S ribosomal protein L44 L41, putative	RTT	49913.30125	97406.7925	High	-0.700029252
AAEL000886	hypothetical protein	DIV	49675.47263	2802.6947	High	4.273932319
AAEL004175	40S ribosomal protein S17	RTT	47864.03	91110.0075	High	-0.721630978
AAEL005596	trypsin-epsilon, putative	DIG	47582.36125	633.16915	High	7.243163465
AAEL014583	60S acidic ribosomal protein P2	RTT	46885.52338	78752.33	High	-0.742119089
AAEL003182	SERPIN1 protein precursor, putative	IMM	46253.33125	723.91715	High	6.323877859
AAEL007699	60S ribosomal protein L9	RTT	45891.42156	70187.09063	High	-0.455684979
AAEL017536	Holotricin, Glycine Rich Repreat Protein (GRRP), Anti-Microbial Peptide.	IMM	45535.935	81147.6825	High	-0.828291476
AAEL007824	ribosomal protein S29, putative	RTT	45323.14125	114078.5813	High	-1.187122082
AAEL005027	acidic ribosomal protein P1, putative	RTT	45200.55333	98694.92833	High	-1.028354937
AAEL003396	60S ribosomal protein L32	RTT	44764.275	93459.83875	High	-0.735046423
AAEL005129	40S ribosomal protein S30	RTT	44717.4375	58808.60667	High	-0.316799824
AAEL009994	60S ribosomal protein L4	RTT	44150.2925	48846.35	High	0.028902045
AAEL013158	40S ribosomal protein S3a	RTT	44052.89625	75304.55375	High	-0.534876976
AAEL004851	hypothetical protein	UKN	44042.4425	60707.59	High	-0.263153468
AAEL007771	60S ribosomal protein L22	RTT	43462.34313	82537.28406	High	-0.810391877
AAEL002047	40S ribosomal protein S10	RTT	43104.61275	64733.10425	High	-0.428255922
AAEL006785	60S ribosomal protein L18a	RTT	42600.78795	84821.93788	High	-0.686023194
AAEL002639	ribosomal protein L36, putative	RTT	42395.315	88398.93875	High	-0.938321036
AAEL000529	conserved hypothetical protein	DIV	41745.06125	109902.2938	High	-1.349834273
AAEL008188	60S ribosomal protein L6	RTT	40024.09625	109270.3963	High	-1.307350874
AAEL009653	40S ribosomal protein S30	RTT	39986.75958	55109.96	High	-0.340728823
AAEL008329	60S ribosomal protein L24	RTT	39826.688	82610.36875	High	-1.158963917
AAEL010573	ribosomal protein S25, putative	RTT	39650.22813	84474.82563	High	-0.904239236
AAEL012944	60S ribosomal protein L11	RTT	39491.55376	84609.68952	High	-0.629602903
AAEL000726	fibrinogen and fibronectin	IMM	39430.04625	653.92735	High	6.655560824
AAEL003889	gram-negative bacteria binding protein	IMM	37826.32375	1401.2475	High	5.106274396
AAEL013536	ubiquitin (ribosomal protein L40)	RTT	37004.32563	79093.03188	High	-0.904096349
AAEL009403	hypothetical protein	RTT	36450.1525	70364.2225	High	-0.773005073
AAEL005672	adenosine deaminase	DIV	36412.11375	756.2402875	High	5.96349035
AAEL000068	ribosomal protein S25, putative	RTT	36141.04	80779.81375	High	-1.115748893
AAEL013069	receptor for activated protein kinase c (rack1)	DIV	35813.525	85648.0875	High	-1.118973778
AAEL006007	conserved hypothetical protein	DIV	35693.285	10818.4245	High	2.068213063
AAEL009852	conserved hypothetical protein	UKN	33195.22988	1915.467925	High	4.744589222
AAEL014838	60S ribosomal protein L27e	RTT	33009.00125	76041.475	High	-0.979830441
AAEL000010	ribosomal protein L36, putative	RTT	32077.14095	63697.27441	High	-0.571971325
AAEL013694	40S ribosomal protein sa (P40) (34/67 kda laminin receptor) (colon carcinoma laminin-binding protein)	RTT	32004.03406	54916.06963	High	-0.324076494
AAEL014292	40S ribosomal protein S24	RTT	31726.5875	58009.14	High	-0.642372079
AAEL013021	hypothetical protein	RTT	30730.19638	61168.84951	High	-0.514453455
AAEL008353	ribosomal protein L28, putative	RTT	30312.89708	55725.98375	High	-0.632755528
AAEL013583	60S ribosomal protein L23	RTT	30090.24703	68364.89719	High	-0.954906022
AAEL014903	40S ribosomal protein S24	RTT	29699.87625	53786.635	High	-0.625099366
AAEL003107	conserved hypothetical protein	UKN	29486.99375	1301.649413	High	4.957308183
AAEL008481	60S ribosomal protein L18	RTT	29323.03883	56253.47549	High	-0.654261949
AAEL009747	40S ribosomal protein S18	RTT	29248.72583	54391.20417	High	-0.750606948
AAEL013097	60S ribosomal protein L23	RTT	29179.45563	68902.36375	High	-0.968127717
AAEL017581	5.8S ribosomal RNA	RTT	28685.97938	53576.93125	High	-0.852437753
AAEL009341	ribosomal protein L34, putative	RTT	28587.14806	51942.37963	High	-0.701189625
AAEL010821	60S acidic ribosomal protein P0	RTT	28271.13375	65035.07125	High	-0.959648805
AAEL014318	conserved hypothetical protein	UKN	27945.9175	758.064625	High	5.825620553
AAEL009830	acidic ribosomal protein P1, putative	RTT	27637.42206	59709.32063	High	-0.938027402
AAEL015006	60S ribosomal protein L23	RTT	27340.73875	67571.83125	High	-1.024101117
AAEL007715	60S ribosomal protein L21	RTT	27152.88663	51799.15725	High	-0.658086437
AAEL005097	cold induced protein (BnC24A), putative	RTT	26403.9675	48960.08988	High	-0.476496687
AAEL007872	hypothetical protein	UKN	25777.49313	968.9344625	High	4.957618362
AAEL006698	60S ribosomal protein L31	RTT	25193.52	39365.1225	High	-0.329200181
AAEL013221	60S ribosomal protein L10a	RTT	25191.03332	54180.48677	High	-0.673056456
AAEL010168	40S ribosomal protein S2	RTT	24483.24523	54595.16966	High	-1.033654602
AAEL003427	ribosomal protein S9, putative	RTT	24375.81759	41212.66938	High	-0.464642588
