miRNA	Fold Change (control versus AKI)	AKI	Control	Regulation
hsa-mir-617	2.5	2.01	0.69	Induced miRNAs
hsa-mir-638	2.22	5.34	4.19	Induced miRNAs
hsa-mir-210	2	1.52	0.52	Induced miRNAs
hsa-mir-663b	1.63	1.19	0.49	Induced miRNAs
hsa-mir-92b	1.5	2.01	1.43	Induced miRNAs
hsa-let-7f	0.5	0.27	1.27	Repressed miRNAs
hsa-mir-1244	0.41	0.28	1.57	Repressed miRNAs
hsa-mir-620	0.36	0.09	1.47	Repressed miRNAs
hsa-mir-30d	0.35	0.16	1.68	Repressed miRNAs
hsa-mir-320	0.17	0.93	3.48	Repressed miRNAs
hsa-let-7b	0.07	0.47	4.28	Repressed miRNAs
hsa-mir-24	0.04	1.73	6.3	Repressed miRNAs
hsa-mir-16	0.04	0.48	5.14	Repressed miRNAs
