-Tumour	+Tumour	Symbol	Notes
2,876	241	SLC40A1	Solute carrier family member 1
797	132	RN7SK	RNA, 7SK small nuclear
2,354	399	SEPP1	Selenoprotein P, plasma, 1
523	89	GPR34	G protein-coupled receptor 34
574	101	TM4SF19	Transmembrane 4 L six family member 19
4,414	793	F13A1	Coagulation factor XIII, A1 polypeptide
748	138	GPBAR1	G protein-coupled bile acid receptor 1
706	152	HAMP	Hepcidin antimicrobial peptide
1,275	280	CD163	CD163 molecule
2,416	571	GPNMB	Glycoprotein (transmembrane) nmb
2,006	477	LGMN	Legumain
781	201	FOLR2	Folate receptor 2 (foetal)
460	121	RARRES1	Retinoic acid receptor responder 1
2,228	609	APOC1	Apolipoprotein C-I
1,359	379	GLIPR1	GLI pathogenesis-related 1
958	268	DNASE2	Deoxyribonuclease II, lysosomal
1,632	469	DHRS9	Dehydrogenase/reductase member 9
1,716	518	STAB1	Stabilin 1
646	195	ADORA3	Adenosine A3 receptor
670	206	NFXL1	Nuclear transcription factor, X-box binding-like 1
