Geometric mean of intensities in pituitary adenomas	Geometric mean of intensities in normal pituitary	Fold change	miRNA unique ID
1339.727421	100.6376509	13.3123876	hsa-miR-320
61.0039988	923.4445835	0.0660614	hsa-miR-633
554.5981341	4446.917357	0.1247152	hsa-miR-657
77.3976401	835.2207126	0.0926673	hsa-miR-663
60.6623332	360.2462431	0.1683913	hsa-miR-432
93.443452	1320.82162	0.0707465	hsa-miR-801
182.2341266	2893.085127	0.0629895	hsa-miR-326
75.8028902	510.8846675	0.1483757	hsa-miR-585
217.0307216	2713.698939	0.079976	hsa-miR-374b
101.5571388	617.4486958	0.1644787	hsa-miR-548b-3p
88.1968279	574.4133742	0.1535424	hsa-miR-603
9485.555287	46998.85725	0.2018252	hsa-miR-483-3p
74.4222971	331.8440313	0.2242689	hsa-miR-592
58.8817238	202.0629337	0.2914029	hsa-miR-561
102.7756863	520.9925122	0.197269	hsa-miR-26b
230.1809093	1728.076057	0.1332007	hsa-miR-548c-3p
4629.347785	17850.16852	0.2593448	hsa-miR-636:
1259.129387	4979.318413	0.2528718	hsa-miR-570
71.5553155	228.773205	0.3127784	hsa-miR-34b
