UniGene ID	Functional Grouping (Gene)	Upregulation (fold change) (Hours post infection) 24	Upregulation (fold change) (Hours post infection) 48	Upregulation (fold change) (Hours post infection) 72	Upregulation (fold change) (Hours post infection) 96
Mm.136224	Interferon induced with helicase C domain 1 (Ifih1)	NE	3.59/-	5.21 ± 1.05	4.18 ± 0.31
Mm.3233	Interferon regulatory factor 7 (Irf7)	NE	NE	4.31 ± 1.51	2.01 ± 0.08
Mm.271275	Interferon, alpha-inducible protein 27 (Ifi27)	NE	NE	4.79 ± 0.67	6.62 ± 0.32
Mm.233471	2-5 oligoadenylate synthetase 1B (Oas1b)	NE	1.89/-	5.12 ± 0.04	2.32 ± 0.08
Mm.867	Chemokine (C-C motif) ligand 12 (Ccl12)	5.03 ± 1.86	4.63/-	7.87 ± 0.54	4.70 ± 0.36
Mm.131723	Chemokine (C-X-C motif) ligand 11 (Cxcl11)	NE	8.76/-	17.02 ± 5.19	13.68 ± 5.51
Mm.877	Chemokine (C-X-C motif) ligand 10 (Cxcl10)	NE	7.49/-	15.45 ± 0.67	8.69 ± 0.37
Mm.284248	Chemokine (C-C motif) ligand 5 (Ccl5)	NE	NE	4.27 ± 1.27	3.56 ± 0.66
Mm.1282	Chemokine (C-C motif) ligand 3 (Ccl3)	NE	NE	2.26/1.83	2.05 ± 0.21
Mm.10116	Chemokine (C-X-C motif) ligand 13 (Cxcl13)	NE	NE	2.06 ± 0.41	1.73/-
Mm.766	Chemokine (C-X-C motif) ligand 9 (Cxcl9)	NE	NE	3.99 ± 1.62	1.85 ± 0.14
Mm.22673	Fc receptor, IgE, high affinity I, gamma polypeptide (Fcer1g)	NE	NE	3.66 ± 0.29	3.38 ± 0.63
Mm.5419	Interleukin 17 (Il17)	NE	NE	NE	2.06 ± 0.33
Mm.2326	Macrophage migration inhibitory factor (Mif)	NE	1.08 ± 0.17	2.25 ± 0.53	2.06 ± 0.07
Mm.24163	PYD and CARD domain containing (Pycard)	NE	NE	1.81 ± 0.165	1.52 ± 0.31
Mm.200608	Clusterin (Clu)	NE	1.74 ± 0.13	4.03 ± 1.54	2.45 ± 0.37
Mm.283714	Sialophorin (Spn)	1.93 ± 0.14	2.50 ± 0.19	2.87 ± 1.63	2.25 ± 0.24
