Gene Symbol	Rank	Gene Name	P-Value	Q-Value
BTG2	1	2375664_BTG2	5.34531E-07	0.000719749
CYP3A7	2	3063463_CYP3A7	5.34531E-07	0.000719749
CYP3A4	3	3063501_CYP3A4	5.34531E-07	0.000719749
ZNF337	4	3902081_ZNF337	5.34531E-07	0.000719749
DDB2	5	3329649_DDB2	5.34531E-07	0.000719749
GADD45A	6	2341083_GADD45A	5.34531E-07	0.000719749
SUOX	7	3417184_SUOX	5.34531E-07	0.000719749
ZNF79	8	3189837_ZNF79	5.34531E-07	0.000719749
HIST1H2BM	9	2900059_HIST1H2BM	5.34531E-07	0.000719749
CDKN1A	10	2905169_CDKN1A	5.34531E-07	0.000719749
PPM1D	11	3729528_PPM1D	5.34531E-07	0.000719749
FDXR	12	3770457_FDXR	5.34531E-07	0.000719749
PRPF4	13	3185558_PRPF4	5.34531E-07	0.000719749
RAD52	14	3439836_RAD52	2.67265E-06	0.002878995
PTBP1	15	3815165_PTBP1	2.67265E-06	0.002878995
GALT	16	3167511_GALT	2.67265E-06	0.002878995
ADHFE1	17	3101629_ADHFE1	3.20718E-06	0.002878995
SESN2	18	2327391_SESN2	3.20718E-06	0.002878995
FAM13C1	19	3290649_FAM13C1	3.20718E-06	0.002878995
APOBEC3C	20	3945572_APOBEC3C	3.74172E-06	0.002878995
ZNF233	21	3835565_ZNF233	3.74172E-06	0.002878995
APBB3	22	2878368_APBB3	3.74172E-06	0.002878995
HIST1H2AB	23	2946219_HIST1H2AB	4.27625E-06	0.002878995
ACP6	24	2433371_ACP6	4.27625E-06	0.002878995
ZNF546	25	3833323_ZNF546	4.27625E-06	0.002878995
PLK3	26	2334191_PLK3	4.27625E-06	0.002878995
CP110	27	3651018_CP110	4.81078E-06	0.002903814
NAT13	28	2689208_NAT13	4.81078E-06	0.002903814
HNRNPAB	29	2843619_HNRNPAB	4.81078E-06	0.002903814
HIST2H2BE	30	2434124_HIST2H2BE	5.87984E-06	0.003216377
CYFIP2	31	2837266_CYFIP2	5.87984E-06	0.003216377
DHRS1	32	3558118_DHRS1	5.87984E-06	0.003216377
ANKZF1	33	2528347_ANKZF1	7.48343E-06	0.003969523
SESN1	34	2968652_SESN1	1.01561E-05	0.004938276
HIST2H2AC	35	2357952_HIST2H2AC	1.01561E-05	0.004938276
PIGW	36	3719150_PIGW	1.01561E-05	0.004938276
LOC51149	37	2890292_LOC51149	1.28287E-05	0.005757989
CCDC136	38	3023103_CCDC136	1.28287E-05	0.005757989
LOH11CR2A	39	3353914_LOH11CR2A	1.28287E-05	0.005757989
C17orf68	40	3744324_C17orf68	1.38978E-05	0.006081876
PCNXL2	41	2461037_PCNXL2	1.49669E-05	0.006237822
ZNF581	42	3842301_ZNF581	1.49669E-05	0.006237822
EDA2R	43	4011096_EDA2R	1.60359E-05	0.006527953
WDR76	44	3591704_WDR76	1.8174E-05	0.007166859
ISYNA1	45	3854982_ISYNA1	1.92431E-05	0.007166859
TXLNB	46	2976727_TXLNB	1.92431E-05	0.007166859
NADSYN1	47	3338968_NADSYN1	1.92431E-05	0.007166859
APOBEC3F	48	3945614_APOBEC3F	2.03122E-05	0.007256242
MED29	49	3832964_MED29	2.03122E-05	0.007256242
WDR63	50	2344731_WDR63	2.24503E-05	0.007859656
OTUB2	51	3549517_OTUB2	2.56575E-05	0.008806337
NEU1	52	2949471_NEU1	2.67265E-05	0.008996858
THOC4	53	4041422_THOC4	2.83301E-05	0.00918661
NICN1	54	2674526_NICN1	2.88647E-05	0.00918661
SFRS9	55	3474502_SFRS9	2.88647E-05	0.00918661
HIST1H2AJ	56	2947040_HIST1H2AJ	3.26064E-05	0.009832499
CASP10	57	2522693_CASP10	3.26064E-05	0.009832499
HIST1H1B	58	2947073_HIST1H1B	3.26064E-05	0.009832499
SEC16B	59	2445643_SEC16B	3.31409E-05	0.009832499
TSPAN1	60	2334602_TSPAN1	3.47445E-05	0.010099331
ZNF774	61	3608095_ZNF774	3.58136E-05	0.010099331
ZNF506	62	3855968_ZNF506	3.58136E-05	0.010099331
MTHFR	63	2396817_MTHFR	3.63481E-05	0.010099331
HIST2H2AB	64	2434129_HIST2H2AB	3.84862E-05	0.010364381
HIST1H2AI	65	2900047_HIST1H2AI	3.84862E-05	0.010364381
MAN1C1	66	2326049_MAN1C1	4.11589E-05	0.010916188
GIMAP2	67	3031556_GIMAP2	4.43661E-05	0.011591176
CCNE2	68	3145107_CCNE2	4.59696E-05	0.011833515
HIST1H3C	69	2899102_HIST1H3C	4.75732E-05	0.011875853
PRKX	70	3997946_PRKX	4.81078E-05	0.011875853
POLL	71	3303870_POLL	4.91768E-05	0.011875853
PHYHD1	72	3190796_PHYHD1	5.2384E-05	0.011875853
MDM2	73	3421300_MDM2	5.2384E-05	0.011875853
THOC4	74	3774331_THOC4	5.2384E-05	0.011875853
AP1G2	75	3557614_AP1G2	5.2384E-05	0.011875853
TMEM187	76	3996083_TMEM187	5.29185E-05	0.011875853
SLC16A13	77	3708245_SLC16A13	5.29185E-05	0.011875853
NIT1	78	2363389_NIT1	5.29185E-05	0.011875853
HIST1H2BC	79	2946268_HIST1H2BC	5.50567E-05	0.012199284
C10orf119	80	3309755_C10orf119	5.61257E-05	0.012280712
NRF1	81	3023565_NRF1	6.09365E-05	0.013168735
MAOA	82	3975227_MAOA	6.30746E-05	0.013464567
BCOR	83	4005392_BCOR	6.62818E-05	0.01381232
PYCARD	84	3688311_PYCARD	6.62818E-05	0.01381232
HIST1H2BK	85	3923211_HIST1H2BK	6.84199E-05	0.014090139
PLCD4	86	2527895_PLCD4	7.53688E-05	0.01534069
SLC1A4	87	2485636_SLC1A4	7.8576E-05	0.015629997
GMPS	88	2648873_GMPS	7.8576E-05	0.015629997
ZKSCAN3	89	2900497_ZKSCAN3	8.17832E-05	0.01608517
CDCA7	90	2516023_CDCA7	8.6594E-05	0.016679393
TFDP1	91	3502710_TFDP1	8.7663E-05	0.016679393
C13orf27	92	3523855_C13orf27	8.7663E-05	0.016679393
