Gene Symbol	Probe ID	Gene BanK	FC	p-value
LOC283755	215847_at	BC000975	9.03	0.000311
MTAP	204956_at	NM_002451	-21.45	0.000313
YDD19	37079_at	U82319	3.18	0.000931
EPB41L3	211776_s_at	BC006141	-6.19	0.001039
EEF1E1	204905_s_at	NM_004280	2.34	0.001091
TAF9	203893_at	NM_016283	1.67	0.001432
FGFR1OP	205588_s_at	NM_007045	4.88	0.001522
IFIT3	204747_at	NM_001549	2.73	0.002046
OXA1L	208717_at	BC001669	-1.46	0.00222
LSM3	202209_at	NM_014463	1.56	0.002543
KPNA1	213741_s_at	BF575685	2.2	0.002597
YDD19	215207_x_at	BF695847	2.93	0.002701
C12orf29	213701_at	AW299245	-2.06	0.003951
BNIP3	201849_at	NM_004052	-2.31	0.004794
INSIG1	201625_s_at	BE300521	2.82	0.005464
PPAN	221649_s_at	BC000535	2.08	0.005551
C4orf16	219023_at	NM_018569	-1.32	0.005957
EIF1AX	201016_at	BE542684	2.4	0.006454
PTP4A2	208616_s_at	U48297	1.74	0.00651
MRPL11	219162_s_at	NM_016050	1.72	0.007538
DDIT3	209383_at	BC003637	4.09	0.0085
C10orf97	218297_at	NM_024948	-1.76	0.008879
GALNT7	218313_s_at	NM_017423	1.9	0.009096
ELP3	221094_s_at	NM_018091	1.93	0.009346
KCNAB2	211791_s_at	AF044253	3.03	0.009423
PSMD12	202352_s_at	AI446530	1.73	0.009618
SSX2IP	203019_x_at	NM_014021	-2.36	0.009886
DIMT1L	210802_s_at	BC002841	2.08	0.010165
SMU1	218393_s_at	NM_018225	1.54	0.010279
COMMD3	218048_at	NM_012071	-2.57	0.010438
SEC23IP	209176_at	AI332962	-3.12	0.011794
TEGT	200804_at	NM_003217	-1.61	0.011808
RUVBL1	201614_s_at	NM_003707	1.49	0.012022
ACADSB	205355_at	NM_001609	-2.55	0.012808
PSMB2	200039_s_at	NM_002794	1.46	0.013164
MRPS18B	208907_s_at	BC005373	1.78	0.013447
SUMO3	200739_s_at	BG338532	1.5	0.013674
RSRC1	219507_at	NM_016625	1.74	0.013733
POLR1C	209317_at	AF008442	1.85	0.013822
RNGTT	204207_s_at	AB012142	1.93	0.013878
SEPT6	212414_s_at	D50918	-3.28	0.01448
SPIN2A /// SPIN2B	211704_s_at	AF356353	-2.09	0.015235
TMED10	212352_s_at	BE780075	-1.84	0.015697
MRS2L	218538_s_at	NM_020662	1.82	0.015725
EHD1	209039_x_at	AF001434	2.06	0.015903
FAM45A /// FAM45B	221804_s_at	BE565675	-2.77	0.015921
MYNN	218926_at	NM_018657	1.57	0.015979
MTAP	216685_s_at	AF216650	-4.45	0.0162
MARCH3	213256_at	AW593996	2.32	0.016431
NUP98	203194_s_at	AA527238	1.91	0.01659
PRMT5	217786_at	NM_006109	1.44	0.016969
NAT13	217745_s_at	NM_025146	1.31	0.017046
ANG	205141_at	NM_001145	-8.29	0.017799
ZNF668	219047_s_at	NM_024706	1.58	0.018102
G3BP2	208841_s_at	AB014560	-2.32	0.01889
U1SNRNPBP	205300_s_at	NM_022717	-2.01	0.019251
ATPBD1B	218799_at	NM_018066	1.84	0.020047
CHP	214665_s_at	AK000095	-1.75	0.020621
ZYX	215706_x_at	BC002323	1.34	0.021344
PHYH	203335_at	NM_006214	-3.38	0.021414
ANXA6	200982_s_at	NM_001155	-2.55	0.02244
PPP2R2D	221772_s_at	AI138993	-1.64	0.023009
WDR57	215905_s_at	AL157420	1.73	0.023596
ARHGEF2	207629_s_at	NM_004723	2.3	0.023618
ZNF248	213269_at	N21541	-2.61	0.024746
PTPN4	205171_at	NM_002830	-2.14	0.025707
BDH2	218285_s_at	NM_020139	-2.18	0.025738
NAP1L1	208754_s_at	AL162068	-3	0.026315
TIA1	201449_at	AL567227	-2.09	0.027712
N-PAC	222115_x_at	BC003693	-2.67	0.028198
ARIH1	201878_at	N25546	1.61	0.028382
HDAC3	216326_s_at	AF059650	1.29	0.029013
GTSE1	204315_s_at	AI340239	2.76	0.030091
Hs.105751.0	206874_s_at	AL138761	-2.42	0.030413
RUNDC3B	215321_at	AI825798	2.49	0.031176
FLJ11506	202852_s_at	NM_024666	1.29	0.031482
SEPT6	212413_at	D50918	-3.52	0.03155
ALDH7A1	213591_at	AU149534	-17.96	0.03159
FAM134A	222129_at	AK026155	-1.89	0.032928
DIS3	214194_at	AW043622	-2.22	0.032932
GATAD1	213018_at	AI337901	-1.48	0.034109
ZNF764	222120_at	BC000016	1.41	0.034812
SKIP	202781_s_at	AI806031	-1.98	0.035111
NUDC	210574_s_at	AF241788	1.57	0.036201
MAGEH1	218573_at	NM_014061	-4.05	0.036314
NOL11	221970_s_at	AU158148	1.6	0.036928
ZYX	200808_s_at	NM_003461	1.74	0.036994
ZBTB17	203602_s_at	NM_003443	1.27	0.037306
RBM13	211686_s_at	AF251062	1.74	0.037542
GNS	212334_at	BE880245	-2.14	0.037824
PPAT	209433_s_at	AI457120	2.11	0.038043
USO1	201831_s_at	BE875592	-1.57	0.038219
GTF2A2	202678_at	NM_004492	1.48	0.038235
GALE	202528_at	NM_000403	1.9	0.038323
UBXD8	212108_at	AB020694	1.42	0.038398
DCUN1D4	212855_at	D87466	-1.34	0.038955
TRIM38	203567_s_at	AU157590	1.85	0.039263
CDNA FLJ40810 fis	217922_at	AL157902	-1.5	0.039738
KCTD5	218474_s_at	NM_018992	1.91	0.039891
