symbol	operon_ID	unigene  ID	C.I. Low	Fold Change	C.I. Up	signal-Control group	signal T2DM group	backgr. Signal Control group	backgr. Signal T2DM group
TFPI2	HSAC009643	Hs.438231	0.13	0.29	0.66	3194	2308	356	300
MYLK	HSAC015114	Hs.477375	0.2	0.3	0.43	2702	1714	292	304
AMIGO2	HSAC012320	Hs.121520	0.24	0.3	0.38	1107	685	251	256
IL8	HSAC000156	Hs.624	0.15	0.32	0.65	1653	1344	252	249
USMG5	HSAC007979	Hs.500921	0.19	0.33	0.56	2117	1370	285	275
MMP1	HSAC007010	Hs.83169	0.15	0.33	0.73	4152	2593	343	310
CDKN2B	HSAC005803	Hs.72901	0.23	0.35	0.51	2064	1439	270	269
HAS2	HSAC007400	Hs.159226	0.2	0.35	0.63	1388	726	408	349
NA	HSAC003865	NA	0.26	0.36	0.49	10569	5840	330	300
NM_032532.1	HSAC019695	NA	0.27	0.37	0.5	3621	2978	280	274
DACT1	HSAC004910	Hs.48950	0.24	0.37	0.57	8334	5063	348	310
INSIG1	HSAC005213	Hs.520819	0.29	0.37	0.48	9592	8049	313	286
NP_659454.1	HSAC009517	NA	0.29	0.39	0.52	1635	1387	257	271
ALDOC	HSAC014047	Hs.155247	0.26	0.4	0.6	7244	5929	280	287
COL11A1	HSAC006974	Hs.523446	0.23	0.41	0.71	4879	2835	256	261
SOX9	HSAC000590	Hs.2316	0.25	0.42	0.7	4848	2766	317	328
POSTN	HSAC007559	Hs.136348	0.21	0.42	0.85	2492	2302	251	261
HS3ST3A1	HSAC004873	Hs.462270	0.29	0.42	0.63	1743	927	298	277
TP53I3	HSAC004993	Hs.50649	0.33	0.43	0.55	4829	3234	274	268
OXTR	HSAC000685	Hs.2820	0.33	0.43	0.55	1942	1263	851	737
TNFAIP6	HSAC003914	Hs.437322	0.28	0.43	0.66	5717	4902	546	539
EPO	HSAC000587	Hs.2303	0.22	0.43	0.84	2272	1734	290	305
EIF5A	HSAC012181	Hs.534314	0.24	0.44	0.79	8780	4160	291	274
TCOF1	HSAC009991	Hs.519672	0.22	0.45	0.9	1480	846	335	311
CRISPLD2	HSAC016516	Hs.513779	0.29	0.45	0.68	2060	1782	256	251
CSRP1	HSAC011545	Hs.108080	0.35	0.45	0.59	9312	5478	334	310
Q96IN8	HSAC019539	NA	0.35	0.46	0.59	2569	1565	302	293
TGM2	HSAC001629	Hs.517033	0.33	0.46	0.63	2088	1655	277	272
XP_059689.3	HSAC021091	NA	0.33	0.46	0.65	4162	2759	268	267
STARD4	HSAC010609	Hs.93842	0.31	0.47	0.71	5240	3842	442	441
COL4A1	HSAC012180	Hs.17441	0.33	0.47	0.66	12528	6270	336	321
GNG11	HSAC007025	Hs.83381	0.34	0.47	0.65	8384	5829	262	270
Q7Z3M5	HSAC003163	NA	0.3	0.47	0.74	970	739	273	283
NKX3-1	HSAC005200	Hs.55999	0.37	0.47	0.6	2378	1546	290	300
SOX4	HSAC007037	Hs.357901	0.38	0.47	0.59	1678	1346	242	240
COL12A1	HSAC009742	Hs.101302	0.33	0.48	0.68	3007	2149	274	282
CDH2	HSAC000046	Hs.464829	0.39	0.49	0.6	9027	6667	370	348
PSCD1	HSAC000275	Hs.191215	0.42	0.49	0.56	1915	1259	269	258
LIMK2	HSAC017229	Hs.474596	0.39	0.49	0.61	879	723	258	282
LTBP2	HSAC007020	Hs.512776	0.4	0.49	0.61	7511	5592	448	400
Q7Z3M5	HSAC013228	NA	0.26	0.5	0.95	1787	1115	289	267
TNC	HSAC009490	Hs.143250	0.29	0.5	0.86	4409	3614	268	275
UNC5B	HSAC014232	Hs.522997	0.37	0.5	0.69	5051	3659	268	263
