Full Name	Symbol	Entrez gene ID	Log2 R
Under-represented genes in iHCE
Solute carrier F. 7 (cationic amino acid transporter, y+ system), M. 8	SLC7A8	23428	3.24
Solute carrier F. 2 (facilitated glucose transporter), M. 1	SLC2A1	6513	2.16
Solute carrier F. 22, M. 14	SLC22A14	9389	1.68
Solute carrier F. 2 (facilitated glucose/fructose transporter), M. 5	SLC2A5	6518	1.67
ATP-binding cassette, sub-F. B (MDR/TAP), M. 6	ABCB6	10058	1.38
ATP-binding cassette, sub-F. C (CFTR/MRP), M. 5	ABCC5	10057	1.37
ATP-binding cassette, sub-F. G (WHITE), M. 1	ABCG1	9619	1.29
Cytochrome P450, family 2, sub-F. C, polypeptide 18	CYP2C18	1562	1.26
ATP-binding cassette, sub-F. C (CFTR/MRP), M. 8	ABCC8	6833	1.15
Cytochrome P450, family 2, sub-F. C, polypeptide 19	CYP2C19	1557	1.01
Solute carrier F. 2 (facilitated glucose transporter), M. 9	SLC2A9	56606	1.01
Solute carrier F. 22, M. 17	SLC22A17	51310	0.99
Solute carrier F. 6 (proline IMINO transporter), M. 20	SLC6A20	54716	0.83
Cystic fibrosis transmemb. conductance regulator (ABC sub-F. C, M. 7)	CFTR	1080	0.73
Cytochrome P450, family 2, sub-F. C, polypeptide 9	CYP2C9	1559	0.7
Solute carrier F. 5 (sodium/glucose cotransporter), M. 1	SLC5A1	6523	0.66
Cytochrome P450, F. 1, sub-F. A, polypeptide 2	CYP1A2	1544	0.66
Solute carrier F. 22 (organic anion/urate transporter), M. 11	SLC22A11	55867	0.61
Solute carrier F. 6 (neurotransmitter transporter, betaine/GABA), M. 12	SLC6A12	6539	0.57
Solute carrier F. 7 (cationic amino acid transporter, y+ system), M. 4	SLC7A4	6545	0.52
Solute carrier F. 16, M. Four (monocarboxylic acid transporter 5)	SLC16A4	9122	0.49
