GB. accession no.	Name	Ratio	Description
NM_001631	ALPI	0.1121	alkaline phosphatase, intestinal
NM_001632	ALPP	0.1268	alkaline phosphatase, placental (Regan isozyme)
NM_031313	ALPPL2	0.1626	alkaline phosphatase, placental-like 2
NM_000693	ALDH1A3	0.1632	aldehyde dehydrogenase 1 family, member A3
NM_000690	ALDH2	3.9955	aldehyde dehydrogenase 2 family (mitochondrial)
NM_000691	ALDH3A1	21.712	aldehyde dehydrogenase 3 family, memberA1
NM_000382	ALDH3A2	2.4532	aldehyde dehydrogenase 3 family, member A2
NM_000240	MAOA	20.064	monoamine oxidase A
NM_000237	LPL	22.666	lipoprotein lipase
AF323540	APOL1	10.898	apolipoprotein L, 1
NM_030641	APOL6	4.5841	apolipoprotein L, 6
NM_003383	VLDLR	2.5903	very low density lipoprotein receptor
NM_000527	LDLR	1.5072	low density lipoprotein receptor
NM_000106	CYP2D6	1.6019	IID (debrisoquine, sparteine, etc., -metabolizing), polypeptide 6
