Fold Change	Gene Title	Gene Symbol	Entrez Gene
38.54	popeye domain containing 3	Popdc3	78977
38.51	cocaine and amphetamine regulated transcript	Cart	27220
31.63	antigen identified by monoclonal antibody Ki 67	Mki67	17345
30.35	double cortin and calcium/calmodulin-dependent protein kinase-like 1	Dcamkl1	13175
23.03	ret proto-oncogene	Ret	19713
21.3	ubiquitin-conjugating enzyme E2C	Ube2c	68612
20.74	CAP, adenylate cyclase-associated protein, 2 (yeast)	Cap2	67252
20.09	proline rich membrane anchor 1	Prima1	170952
19.25	aquaporin 1	Aqp1	11826
17.86	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	Galnt3	14425
16.78	brain abundant, membrane attached signal protein 1	Basp1	70350
16.54	transcription factor 19	Tcf19	106795
14.72	Rac GTPase-activating protein 1	Racgap1	26934
13.71	anaplastic lymphoma kinase	Alk	11682
12.61	nerve growth factor receptor (TNFR superfamily, member 16)	Ngfr	18053
11.25	syndecan 1	Sdc1	20969
11.06	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 1	Spock1	20745
10.94	cytoskeleton associated protein 2	Ckap2	80986
10.5	septin 6	Sept6	56526
10.23	cell division cycle 20 homolog (S. cerevisiae)	Cdc20	107995
9.8	interleukin 17 receptor B	Il17rb	50905
9.47	ets variant gene 1	Etv1	14009
9.43	tubulin, beta 2b	Tubb2b	73710
9.37	regulator of G-protein signaling 5	Rgs5	19737
8.92	tripartite motif-containing 59	Trim59	66949
8.58	non-SMC condensin I complex, subunit D2	Ncapd2	68298
8.51	somatostatin receptor 2	Sstr2	20606
8.51	SRY-box containing gene 9	Sox9	20682
8.28	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1	Elovl1	54325
8.23	protein tyrosine phosphatase, receptor type, R	Ptprr	19279
8.13	deaminase domain containing 1	Deadc1	66757
7.67	cadherin EGF LAG seven-pass G-type receptor 1	Celsr1	12614
7.14	erythrocyte protein band 7.2	Epb7.2	13830
7.03	hairy/enhancer-of-split related with YRPW motif 1	Hey1	15213
6.98	WASP family 1	Wasf1	83767
6.96	ubiquitin-conjugating enzyme E2T (putative)	Ube2t	67196
