Probe ID	Gene Symbol	Description	Bayes p-value	Fold Change
205242_at	CXCL13	chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	2.30E-07	200.7
202274_at	ACTG2	actin, gamma 2, smooth muscle, enteric	9.80E-07	11.9
203903_s_at	HEPH	hephaestin	1.40E-06	12.9
205132_at	ACTC	actin, alpha, cardiac muscle	1.70E-06	26.1
204655_at	CCL5	chemokine (C-C motif) ligand 5	2.00E-06	24.8
203413_at	NELL2	NEL-like 2 (chicken)	2.10E-06	20.1
1405_i_at	CCL5	chemokine (C-C motif) ligand 5	2.30E-06	21.8
222043_at	CLU	clusterin	2.40E-06	19.5
217764_s_at	RAB31	RAB31, member RAS oncogene family	3.50E-06	13.7
202565_s_at	SVIL	supervillin	3.80E-06	11.6
212865_s_at	COL14A1	collagen, type XIV, alpha 1 (undulin)	4.30E-06	18
206030_at	ASPA	aspartoacylase (aminoacylase 2, Canavan disease)	5.00E-06	53.5
204400_at	EFS	embryonal Fyn-associated substrate	5.20E-06	8.7
204939_s_at	PLN	phospholamban	5.20E-06	14.7
205382_s_at	DF	D component of complement (adipsin)	5.70E-06	10.3
209480_at	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	5.90E-06	22.8
201058_s_at	MYL9	myosin, light polypeptide 9, regulatory	6.50E-06	14.3
202555_s_at	MYLK	myosin, light polypeptide kinase	6.60E-06	23.6
213994_s_at	SPON1	spondin 1, extracellular matrix protein	6.90E-06	16.5
209541_at	IGF1	insulin-like growth factor 1	7.40E-06	20.9
212764_at	TCF8	transcription factor 8	7.40E-06	8.6
201105_at	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)	8.10E-06	9.1
205743_at	STAC	src homology three (SH3) and cysteine rich domain	9.50E-06	16.5
200897_s_at	KIAA0992	palladin	1.10E-05	7
201438_at	COL6A3	collagen, type VI, alpha 3	1.20E-05	7.1
205549_at	PCP4	Purkinje cell protein 4	1.20E-05	6.7
209210_s_at	PLEKHC1	pleckstrin homology domain containing, family C (with FERM domain) member 1	1.20E-05	9.5
221667_s_at	HSPB8	heat shock 27 kDa protein 8	1.30E-05	17
205475_at	SCRG1	scrapie responsive protein 1	1.30E-05	14.8
201540_at	FHL1	four and a half LIM domains 1	1.40E-05	11
214044_at	RYR2	ryanodine receptor 2 (cardiac)	1.40E-05	22
218087_s_at	SORBS1	sorbin and SH3 domain containing 1	1.40E-05	7.1
204083_s_at	TPM2	tropomyosin 2 (beta)	1.50E-05	11.3
218332_at	BEX1	brain expressed, X-linked 1	1.60E-05	11.9
204464_s_at	EDNRA	endothelin receptor type A	1.70E-05	7.2
204069_at	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	1.70E-05	11.8
