Entrez ID	Gene symbol	Control HSC 1	Control HSC 2	Control HSC 3	Control HSC 4	Control HSC 5	Sox17 transgenic HSC 1	Sox17 transgenic HSC 2	Sox17 transgenic HSC 3	Sox17 transgenic HSC 4	Sox17 transgenic HSC 5	Control HSC mean	Control HSC s.d.	Sox17 transgenic HSC mean	Sox17 transgenic HSC s.d.	Gene set enrichment BM HSC vs. CD48+LSK (p<0.05, fold>2): UP	Gene set enrichment BM HSC vs. CD48+LSK (p<0.05, fold>2): DOWN	Gene set enrichment FL HSC vs. BM HSC (p<0.05, fold>2): UP	Gene set enrichment FL HSC vs. BM HSC (p<0.05, fold>2): DOWN	upregulated in Sox17 CD48+LSK vs. control CD48+LSK
240168	Rasgrp3	6.06	5.27	5.88	6.22	5.866	8.761	8.764	8.976	8.493	8.733	5.8586	0.361795246	8.7454	0.171482652	FALSE	FALSE	TRUE	FALSE	TRUE
16154	Il10ra	6.595	6.43	6.45	6.54	6.565	8.555	8.137	9.225	8.934	8.588	6.5148	0.075008	8.6878	0.412363553	FALSE	TRUE	FALSE	FALSE	TRUE
14613	Gja5	4.955	5.03	4.76	5.50	5.144	7.311	6.794	9.422	6.47	5.846	5.0792	0.275235717	7.1686	1.367088805	FALSE	FALSE	FALSE	FALSE	TRUE
15129	Hbb-b1	9.291	9.92	9.40	8.38	9.667	11.154	11.656	11.846	11.274	11.094	9.3322	0.583255261	11.4048	0.329531789	FALSE	FALSE	TRUE	FALSE	TRUE
20856	Stc2	8.224	8.12	5.59	5.55	5.682	9.651	7.151	9.899	10.151	6.409	6.6318	1.407342247	8.6522	1.738106786	FALSE	FALSE	FALSE	FALSE	TRUE
107526	Gimap4	7.788	7.02	7.53	7.45	8.096	9.542	9.438	9.642	9.427	9.442	7.5772	0.400551744	9.4982	0.09280194	TRUE	FALSE	TRUE	FALSE	TRUE
12562	Cdh5	5.257	5.29	5.33	5.59	5.459	8.033	6.603	8.265	6.45	7.088	5.3846	0.140272235	7.2878	0.824776151	FALSE	FALSE	TRUE	FALSE	TRUE
21872	Tjp1	5.358	5.73	5.69	5.84	5.805	7.633	6.889	7.939	8.593	6.839	5.6832	0.191064649	7.5786	0.738987686	FALSE	FALSE	FALSE	FALSE	TRUE
27528	D0H4S114	5.799	5.87	6.63	6.30	6.076	8.015	7.631	8.409	8.061	7.713	6.1348	0.34033175	7.9658	0.309801872	FALSE	FALSE	TRUE	FALSE	TRUE
16189	Il4	5.224	6.24	6.06	6.23	6.537	7.69	6.324	8.273	8.126	8.486	6.0586	0.496737154	7.7798	0.864470474	TRUE	FALSE	FALSE	FALSE	TRUE
13860	Eps8	7.52	7.85	7.71	7.31	7.208	9.248	8.393	9.763	9.227	9.158	7.5196	0.267093242	9.1578	0.49094572	FALSE	FALSE	FALSE	FALSE	TRUE
