Gene	Fold change	Location	Function
CCL7	-1.16	16q13	promotes invasion and migration
CDH11	-1.16	16q22.1	involves in the metastatic process
CDH6	-1.16	5p15.1-p14	osteosis, cell adhesion
CHD4	-1.13	12p13	chromatin assemble and modification
CTBP1	-1.36	4p16	inhibits cell proliferation
CXCL12	-1.16	10q11.1	participates in cell adhesion
EPHB2	-1.19	1p36.1-p35	signal transduction, promotes invasion
ETV4	-1.75	17q21	transcription factor, promotes proliferation
FGFR4	-1.06	5q35.1	promotes invasion
FLT4	-1.37	5q34-q35	promotes tumor metastasis
GNRH1	-1.16	8p21-p11.2	inhibits cell proliferation
KISS1R	-1.16	19p13.3	suppresses metastasis
HGF	-1.16	7q21.1	participates in proteolysis, promotes proliferation
HRAS	-1.58	11p15.5	promotes proliferation
HTATIP2	-1.4	11q13	positively regulates transcription
IGF1	-1.43	12q22-q23	promotes proliferation
IL18	-1.26	11q22.2-q22.3	promotes cell proliferation
IL8RB	-1.16	2q35	promotes proliferation
ITGB3	-1.49	17q21.32	participates in cell adhesion
KISS1	-1.26	1q32	suppresses metastasis
MCAM	-1.07	11q23.3	participates in cell adhesion
MET	-1.06	7q31	Proto-oncogene, promotes cell proliferation
METAP2	-1.26	12q22	protein hydrolysate and modification
MGAT5	-1.19	2q21	promotes metastasis
MMP3	-1.05	11q22.3	decomposes, protein hydrolysate and promotes metastasis
MTSS1	-1.13	8p22	inhibits metastasis and proliferation
NF2	-1.41	22q12.2	inhibits proliferation
NME1	-1.38	17q21.3	negatively regulates proliferation and participates in cell adhesion
PLAUR	-1.15	19q13	activator of plasminogen
PNN	-1.14	14q21.1	inhibits proliferation
RORB	-1.42	9q22	participates in regulate of transcription
SET	-1.41	9q34	inhibits histone acetylation
SMAD2	-1.49	18q21.1	cell signal transduction
SMAD4	-1.12	18q21.1	cell signal transduction
SYK	-1.16	9q22	promotes proliferation
TGF-beta1	-3.19	19q13.1	inhibits or promotes proliferation, promotes metastasis
TSHR	-1.44	14q31	promotes proliferation
HPRT1	-1.21	Xq26.1	nucleotide metabolism
