Curated Gene Symbol	Gene name	Description	Mean log2 (Fold change)	p-value
LTF	LTF	Homo sapiens lactotransferrin (LTF), mRNA [NM_002343]	-4.173702248	0.00414
ARG1	ARG1	Homo sapiens arginase, liver (ARG1), mRNA [NM_000045]	-4.084985882	0.00106
G0S2	G0S2	Homo sapiens G0/G1switch 2 (G0S2), mRNA [NM_015714]	-3.791958711	0.0064
SPP1	SPP1	Homo sapiens secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1) (SPP1), transcript variant 1, mRNA [NM_001040058]	-3.681989762	0.00898
CXCL1	CXCL1	Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA [NM_001511]	-3.469563068	0.00652
HDC	HDC	Homo sapiens histidine decarboxylase (HDC), mRNA [NM_002112]	-3.401741407	0.00026
H1F0	H1F0	Homo sapiens H1 histone family, member 0 (H1F0), mRNA [NM_005318]	-3.239236189	0.00213
PPBP	PPBP	Homo sapiens pro-platelet basic protein (chemokine (C-X-C motif) ligand 7) (PPBP), mRNA [NM_002704]	-3.226226997	0.00066
	AI379175	AI379175 tc66c08.x1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:2069582 3, mRNA sequence [AI379175]	-3.165224046	0.00025
TMEM158	TMEM158	Homo sapiens transmembrane protein 158 (TMEM158), mRNA [NM_015444]	-3.126353119	0.00268
C5AR1	C5AR1	Homo sapiens complement component 5a receptor 1 (C5AR1), mRNA [NM_001736]	-3.09481284	0.00984
FGF13	FGF13	Homo sapiens fibroblast growth factor 13 (FGF13), transcript variant 1A, mRNA [NM_004114]	-2.987126484	0.00837
CKAP4	CKAP4	Homo sapiens cytoskeleton-associated protein 4 (CKAP4), mRNA [NM_006825]	-2.949626325	0.00987
INHBA	INHBA	Homo sapiens inhibin, beta A (activin A, activin AB alpha polypeptide) (INHBA), mRNA [NM_002192]	-2.882973613	0.00138
DDIT4	DDIT4	Homo sapiens DNA-damage-inducible transcript 4 (DDIT4), mRNA [NM_019058]	-2.872076837	0.00783
CD52	CD52	Homo sapiens CD52 molecule (CD52), mRNA [NM_001803]	-2.837784468	0.00323
SUCNR1	SUCNR1	Homo sapiens succinate receptor 1 (SUCNR1), mRNA [NM_033050]	-2.775088538	0.00703
GBP1	GBP1	Homo sapiens guanylate binding protein 1, interferon-inducible, 67kDa (GBP1), mRNA [NM_002053]	-2.756753703	0.00574
TMBIM1	TMBIM1	Homo sapiens transmembrane BAX inhibitor motif containing 1 (TMBIM1), mRNA [NM_022152]	-2.73368906	0.00859
RGR	RGR	Homo sapiens Ral-GDS related protein Rgr (Rgr), mRNA [NM_153615]	-2.701265223	0.0083
FPR1	FPR1	Homo sapiens formyl peptide receptor 1 (FPR1), mRNA [NM_002029]	-2.699862813	0.00659
PADI4	PADI4	Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA [NM_012387]	-2.650645172	0.00888
CEBPE	CEBPE	Homo sapiens CCAAT/enhancer binding protein (C/EBP), epsilon (CEBPE), mRNA [NM_001805]	-2.566443997	0.00352
SH2B3	SH2B3	Homo sapiens SH2B adaptor protein 3 (SH2B3), mRNA [NM_005475]	-2.552330709	0.00793
MICALCL	MICALCL	Homo sapiens MICAL C-terminal like (MICALCL), mRNA [NM_032867]	-2.548527558	0.00027
TRIB1	TRIB1	Homo sapiens tribbles homolog 1 (Drosophila) (TRIB1), mRNA [NM_025195]	-2.533124033	0.008
MYL4	MYL4	Homo sapiens myosin, light chain 4, alkali; atrial, embryonic (MYL4), transcript variant 2, mRNA [NM_002476]	-2.52173371	0.0029
FOLR3	FOLR3	Homo sapiens folate receptor 3 (gamma) (FOLR3), mRNA [NM_000804]	-2.514509701	0.00237
LEPROT	LEPROT	Homo sapiens leptin receptor overlapping transcript (LEPROT), mRNA [NM_017526]	-2.503844546	0.00941
TSPAN2	TSPAN2	Homo sapiens tetraspanin 2 (TSPAN2), mRNA [NM_005725]	-2.451384411	0.00194
UBE2B	UBE2B	Homo sapiens ubiquitin-conjugating enzyme E2B (RAD6 homolog), mRNA (cDNA clone IMAGE:2967519), partial cds. [BC001694]	-2.432481363	0.00592
CCR3	CCR3	Homo sapiens chemokine (C-C motif) receptor 3 (CCR3), transcript variant 1, mRNA [NM_001837]	-2.429950427	0.00036
NLRP12	NLRP12	Homo sapiens NLR family, pyrin domain containing 12 (NLRP12), transcript variant 1, mRNA [NM_033297]	-2.424714548	0.00904
CMTM2	CMTM2	Homo sapiens CKLF-like MARVEL transmembrane domain containing 2 (CMTM2), mRNA [NM_144673]	-2.333920179	0.00278
CHI3L1	CHI3L1	Homo sapiens chitinase 3-like 1 (cartilage glycoprotein-39) (CHI3L1), mRNA [NM_001276]	-2.320392649	0.00913
BEND7	C10orf30	Homo sapiens chromosome 10 open reading frame 30 (C10orf30), mRNA [NM_152751]	-2.304992441	0.00415
LST1	LST1	Homo sapiens leukocyte specific transcript 1 (LST1), transcript variant 1, mRNA [NM_007161]	-2.296067349	0.00985
NPL	NPL	Homo sapiens N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) (NPL), mRNA [NM_030769]	-2.289959105	0.00513
EFNA5	EFNA5	Ephrin-A5 precursor (EPH-related receptor tyrosine kinase ligand 7) (LERK-7) (AL-1). [Source:Uniprot/SWISSPROT;Acc:P52803] [ENST00000379748]	-2.273979519	0.00007
TXNDC5	TXNDC5	Homo sapiens thioredoxin domain containing 5 (TXNDC5), transcript variant 2, mRNA [NM_022085]	-2.252184753	0.00807
	BC038559	Homo sapiens, clone IMAGE:3851018, mRNA. [BC038559]	-2.251215862	0.00627
BAMBI	BAMBI	Homo sapiens BMP and activin membrane-bound inhibitor homolog (Xenopus laevis) (BAMBI), mRNA [NM_012342]	-2.243699377	0.00153
APP	APP	Homo sapiens amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease) (APP), transcript variant 1, mRNA [NM_000484]	-2.233516543	0.00294
NECAB1	EFCBP1	Homo sapiens EF-hand calcium binding protein 1 (EFCBP1), mRNA [NM_022351]	-2.218505676	0.00053
MYOM2	MYOM2	Homo sapiens myomesin (M-protein) 2, 165kDa (MYOM2), mRNA [NM_003970]	-2.208111141	0.00893
SDF2L1	SDF2L1	Homo sapiens stromal cell-derived factor 2-like 1 (SDF2L1), mRNA [NM_022044]	-2.198886417	0.00416
ACSL5	ACSL5	Homo sapiens acyl-CoA synthetase long-chain family member 5 (ACSL5), transcript variant 3, mRNA [NM_203380]	-2.188673643	0.00491
FAM211A	C17orf76	Homo sapiens chromosome 17 open reading frame 76 (C17orf76), mRNA [NM_207387]	-2.187975159	0.00255
KIAA1211L	MGC42367	Homo sapiens similar to 2010300C02Rik protein (MGC42367), mRNA [NM_207362]	-2.181986483	0.00524
RBFOX2	RBM9	Homo sapiens RNA binding motif protein 9 (RBM9), transcript variant 1, mRNA [NM_001031695]	-2.146814559	0.00809
PTAFR	PTAFR	Homo sapiens platelet-activating factor receptor (PTAFR), mRNA [NM_000952]	-2.13497006	0.00453
EMR3	EMR3	Homo sapiens egf-like module containing, mucin-like, hormone receptor-like 3 (EMR3), transcript variant 1, mRNA [NM_032571]	-2.117482535	0.009
CCRL2	CCRL2	Homo sapiens chemokine (C-C motif) receptor-like 2 (CCRL2), mRNA [NM_003965]	-2.114392852	0.00484
	BM684461	UI-E-EJ0-aip-c-14-0-UI.s1 UI-E-EJ0 Homo sapiens cDNA clone UI-E-EJ0-aip-c-14-0-UI 3, mRNA sequence [BM684461]	-2.103453425	0.0003
SHC3	SHC3	Homo sapiens SHC (Src homology 2 domain containing) transforming protein 3 (SHC3), mRNA [NM_016848]	-2.103158135	0.00203
SIGLEC5	SIGLEC5	Homo sapiens sialic acid binding Ig-like lectin 5 (SIGLEC5), mRNA [NM_003830]	-2.097996592	0.00403
PPARA	PPARA	Homo sapiens peroxisome proliferator-activated receptor alpha (PPARA), transcript variant 5, mRNA [NM_005036]	-2.080486924	0.0016
SYNJ2	SYNJ2	Homo sapiens synaptojanin 2 (SYNJ2), mRNA [NM_003898]	-2.069463285	0.00678
ADD3	ADD3	Homo sapiens adducin 3 (gamma) (ADD3), transcript variant 1, mRNA [NM_016824]	-2.069397145	0.00504
TSEN54	TSEN54	Homo sapiens cDNA FLJ37147 fis, clone BRACE2025316, weakly similar to tRNA-splicing endonuclease subunit. [AK094466]	-2.054639917	0.00385
BHMT2	BHMT2	Homo sapiens betaine-homocysteine methyltransferase 2 (BHMT2), mRNA [NM_017614]	-2.048446434	0.00658
CDK20	CCRK	Homo sapiens cell cycle related kinase (CCRK), transcript variant 3, mRNA [NM_001039803]	-2.04273499	0.00642
TESC	TESC	Homo sapiens tescalcin (TESC), mRNA [NM_017899]	-2.023710485	0.00572
	THC2696662	Unknown	-2.007630961	0.00612
DEF8	FLJ20186	Homo sapiens hypothetical protein FLJ20186 (FLJ20186), transcript variant 1, mRNA [NM_207514]	-1.998672588	0.00115
	BQ000605	BQ000605 UI-H-DP0-avu-h-21-0-UI.s1 NCI_CGAP_Fs1 Homo sapiens cDNA clone IMAGE:5884484 3, mRNA sequence [BQ000605]	-1.981943111	0.00462
OSM	OSM	Homo sapiens oncostatin M (OSM), mRNA [NM_020530]	-1.979532983	0.0085
BTNL8	BTNL8	Homo sapiens butyrophilin-like 8 (BTNL8), transcript variant 2, mRNA [NM_001040462]	-1.975875495	0.00326
SLC35A2	SLC35A2	Homo sapiens solute carrier family 35 (UDP-galactose transporter), member A2 (SLC35A2), transcript variant 3, mRNA [NM_001042498]	-1.971450235	0.00958
	CD633154	CD633154 56059439H1 FLP Homo sapiens cDNA, mRNA sequence [CD633154]	-1.949654307	0.00019
LRP8	LRP8	Homo sapiens low density lipoprotein receptor-related protein 8, apolipoprotein e receptor (LRP8), transcript variant 2, mRNA [NM_033300]	-1.94732609	0.00445
PRKCB	PRKCB1	Homo sapiens protein kinase C, beta 1 (PRKCB1), transcript variant 2, mRNA [NM_002738]	-1.931079071	0.00055
HLA-G	HLA-G	Homo sapiens HLA-G histocompatibility antigen, class I, G (HLA-G), mRNA [NM_002127]	-1.920131139	0.00269
IL1RL1	IL1RL1	Homo sapiens interleukin 1 receptor-like 1 (IL1RL1), transcript variant 1, mRNA [NM_016232]	-1.895393619	0.00122
	NP_101106	GB|AL022723.4|CAB46615.1 dJ377H14.3 (PUTATIVE novel MHC class 1 protein) [NP101106]	-1.890095994	0.00951
	AF132203	Homo sapiens PRO1933 mRNA, complete cds. [AF132203]	-1.884717699	0.00247
LDOC1L	LDOC1L	Homo sapiens leucine zipper, down-regulated in cancer 1-like (LDOC1L), mRNA [NM_032287]	-1.884654176	0.00869
CYSTM1	C5orf32	Homo sapiens chromosome 5 open reading frame 32 (C5orf32), mRNA [NM_032412]	-1.88459231	0.00772
SLC25A37	SLC25A37	Homo sapiens solute carrier family 25, member 37 (SLC25A37), mRNA [NM_016612]	-1.883812859	0.00799
LAX1	LAX1	Homo sapiens lymphocyte transmembrane adaptor 1 (LAX1), mRNA [NM_017773]	-1.875300793	0.00295
RHCE	RHCE	Homo sapiens Rh blood group, CcEe antigens (RHCE), transcript variant 1, mRNA [NM_020485]	-1.872849215	0.00793
LEPREL2	LEPREL2	Homo sapiens leprecan-like 2 (LEPREL2), mRNA [NM_014262]	-1.864119461	0.00637
ANKIB1	ANKIB1	Homo sapiens cDNA FLJ10317 fis, clone NT2RM2000452. [AK001179]	-1.844812367	0.00589
AGPAT3	AGPAT3	Homo sapiens 1-acylglycerol-3-phosphate O-acyltransferase 3 (AGPAT3), transcript variant 1, mRNA [NM_020132]	-1.841169024	0.00465
TMCC3	TMCC3	Homo sapiens transmembrane and coiled-coil domain family 3 (TMCC3), mRNA [NM_020698]	-1.833921074	0.00294
PMP22	PMP22	Homo sapiens peripheral myelin protein 22 (PMP22), transcript variant 1, mRNA [NM_000304]	-1.812900798	0.00346
SNURF	SNURF	Homo sapiens SNRPN upstream reading frame (SNURF), transcript variant 2, mRNA [NM_022804]	-1.812363379	0.00738
	THC2613527	Unknown	-1.788966535	0.00227
