Gene Symbol	Gene name	Affy probe ID	Average expression (A)	Signal log ratio (M)	t test statistic	P value	Limma B
S100P	S100 calcium binding protein P	204351_at	8.14	8.54	20.24	4.51E-13	26.1
SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	204855_at	5.6	4.88	11.2	3.36E-07	15.63
RDHE2	NA	238017_at	6.08	4.52	8.87	3.26E-05	11.35
ANLN	anillin, actin binding protein (scraps homolog, Drosophila)	222608_s_at	5.25	3.28	8.69	3.54E-05	10.98
GPRC5A	G protein-coupled receptor, family C, group 5, member A	203108_at	7.95	3.95	8.55	3.54E-05	10.67
KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	204401_at	5.92	2.94	8.54	3.54E-05	10.66
PLEK2	pleckstrin 2	218644_at	6.09	3.06	8.31	5.18E-05	10.18
FAM108C1	family with sequence similarity 108, member C1	225436_at	6.71	3.38	8.15	6.61E-05	9.84
ADH1A	alcohol dehydrogenase 1A (class 1), alpha polypeptide	207820_at	3.14	-0.74	-8.02	7.65E-05	9.57
TOP2A	topoisomerase (DNA) II alpha 170 kDa	201291_s_at	6.01	3.38	7.99	7.65E-05	9.5
