Probe set ID	Gene symbol	Entrez gene ID	Biopsy Average signal intensity	Surgical Average signal intensity	Rethio (Biopsy/Surgical)
202992_at	C7	730	83.14	2103.64	25.3
209613_s_at	ADH1B	125	137.47	2039.71	14.84
209612_s_at	ADH1B	125	150.08	2095.33	13.96
209763_at	CHRDL1	91851	179.09	2299.27	12.84
222722_at	OGN	4969	84.46	1056.52	12.51
220276_at	RERGL	79785	23.88	253.21	10.6
204940_at	PLN	5350	94.73	1003.15	10.59
231773_at	ANGPTL1	9068	36.06	375.09	10.4
223623_at	C2orf40	84417	92.76	950.49	10.25
202274_at	ACTG2	72	783.11	7828.26	10
209687_at	CXCL12	6387	271.81	2707.08	9.96
212592_at	IGJ	3512	1589.07	15681.64	9.87
225207_at	PDK4	5166	313.57	3079.96	9.82
202988_s_at	RGS1	5996	447.8	4368.7	9.76
218730_s_at	OGN	4969	30.55	280.72	9.19
228504_at	SCN7A	6332	87.54	731.35	8.35
201496_x_at	MYH11	4629	314.36	2620.29	8.34
210072_at	CCL19	6363	367.02	3052.01	8.32
223395_at	ABI3BP	25890	441.73	3610.83	8.17
212713_at	MFAP4	4239	104.02	826.04	7.94
204939_s_at	PLN	5350	314.13	2461.62	7.84
206666_at	GZMK	3003	175.48	1357.86	7.74
204051_s_at	SFRP4	6424	206.27	1481.07	7.18
205549_at	PCP4	5121	201.19	1441.12	7.16
225720_at	SYNPO2	171024	515.62	3666.61	7.11
206207_at	CLC	1178	130.82	927.35	7.09
209101_at	CTGF	1490	617.48	4295.96	6.96
207238_s_at	PTPRC	5788	170.02	1146.07	6.74
203296_s_at	ATP1A2	477	105.23	705.14	6.7
238481_at	MGP	4256	58.42	380.46	6.51
225895_at	SYNPO2	171024	741.53	4798.36	6.47
216834_at	RGS1	5996	5510.01	35097.45	6.37
228592_at	MS4A1	931	499.77	3145.1	6.29
206227_at	CILP	8483	242.54	1493.29	6.16
225721_at	SYNPO2	171024	913.62	5615.4	6.15
223122_s_at	SFRP2	6423	2322.24	14245.16	6.13
209201_x_at	CXCR4	7852	333.76	2028.67	6.08
201497_x_at	MYH11	4629	1872.59	11371.62	6.07
232383_at	TFEC	22797	31.05	188.24	6.06
209795_at	CD69	969	424.78	2571.04	6.05
228854_at	---	---	205.24	1221.04	5.95
215078_at	SOD2	6648	440.57	2604.83	5.91
228202_at	PLN	5350	175.31	1008.31	5.75
201858_s_at	SRGN	5552	607.55	3449.76	5.68
1558778_s_at	MKL2	57496	31.23	174.17	5.58
205612_at	MMRN1	22915	79.93	443.81	5.55
227662_at	SYNPO2	171024	932.34	5106.95	5.48
224339_s_at	ANGPTL1	9068	40.56	220.2	5.43
205419_at	GPR183	1880	306.99	1635.66	5.33
243797_at	STK17B	9262	57.39	305.71	5.33
203305_at	F13A1	2162	378.48	2013.92	5.32
228599_at	MS4A1	931	80.03	424.11	5.3
218087_s_at	SORBS1	10580	441.44	2322	5.26
238698_at	CASK	8573	66.98	349.77	5.22
230237_at	ADCYAP1	116	43.18	224.83	5.21
239336_at	THBS1	7057	99.76	509.89	5.11
1568760_at	MYH11	4629	88.31	448.14	5.07
210839_s_at	ENPP2	5168	263.92	1335.38	5.06
223121_s_at	SFRP2	6423	390.81	1975.59	5.06
216233_at	CD163	9332	33.91	170.9	5.04
228702_at	FLJ43663	378805	507.09	2545.73	5.02
237206_at	MYOCD	93649	96.86	476.51	4.92
219932_at	SLC27A6	28965	49.2	241.71	4.91
219059_s_at	LYVE1	10894	70.57	345.31	4.89
219667_s_at	BANK1	55024	206.35	1002.51	4.86
212187_x_at	PTGDS	5730	514.17	2478.15	4.82
203766_s_at	LMOD1	25802	219.63	1055.44	4.81
206030_at	ASPA	443	115.17	550.64	4.78
204563_at	SELL	6402	438.96	2097.28	4.78
211634_x_at	IGHM /// LOC100133862	100133862 /// 3507	132.91	625.42	4.71
203951_at	CNN1	1264	343.22	1605.33	4.68
202920_at	ANK2	287	188.67	882.41	4.68
211635_x_at	IGH@ /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31 /// LOC100133862 /// LOC100290528 /// LOC100292483	100133862 /// 100290528 /// 100292483 /// 28396 /// 3492 /// 3493 /// 3494 /// 3495 /// 3500 /// 3502 /// 3503 /// 3507	106.46	494.38	4.64
203543_s_at	KLF9	687	319.29	1470.49	4.61
34210_at	CD52	1043	409.49	1867.83	4.56
204661_at	CD52	1043	166.63	754.81	4.53
217028_at	CXCR4	7852	3363.58	15194.49	4.52
211991_s_at	HLA-DPA1	3113	1995.01	8958.03	4.49
211919_s_at	CXCR4	7852	379.11	1688.11	4.45
216984_x_at	IGL@ /// IGLV2-18 /// IGLV2-23 /// LOC100293440	100293440 /// 28813 /// 28814 /// 3535	546.74	2432.59	4.45
222162_s_at	ADAMTS1	9510	1020.19	4528.34	4.44
212805_at	PRUNE2	158471	457.54	2019.36	4.41
209183_s_at	C10orf10	11067	671.49	2960.68	4.41
204719_at	ABCA8	10351	416.83	1831.61	4.39
202291_s_at	MGP	4256	689.48	3027.76	4.39
209541_at	IGF1	3479	263.59	1152.57	4.37
204938_s_at	PLN	5350	55.92	244.43	4.37
217767_at	C3	718	2615.42	11412.42	4.36
208450_at	LGALS2	3957	120.78	526.96	4.36
207961_x_at	MYH11	4629	915.04	3992.29	4.36
1553133_at	C9orf72	203228	187.07	812.79	4.34
235412_at	ARHGEF7	8874	224.22	973.57	4.34
219230_at	TMEM100	55273	182.44	792.08	4.34
205422_s_at	ITGBL1	9358	127.69	554.34	4.34
217378_x_at	LOC100130100 /// LOC100291464	100130100 /// 100291464	689.82	2968.56	4.3
