Curated Gene Symbol	Gene name	Gene symbol	SLR	Fold increase
FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	FOS	3.70E+00	12.7
EGR1	Early growth response 1	EGR1	3.2	8.52
TFPI2	Tissue factor pathway inhibitor 2	TFPI2	2.05	4.15
RD3	Chromosome 1 open reading frame 36	C1orf36	1.59	2.88
DKK1	dickkopf homolog 1 (Xenopus laevis)	DKK1	1.37	2.58
ATF3	Activating transcription factor 3	ATF3	1.34	2.51
MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F	MAFF	1.15E+00	2.22
MAP3K1	Mitogen-activated protein kinase kinase kinase 1	MAP3K1	1.14E+00	2.21
CHST11	Carbohydrate (chondroitin 4) sulfotransferase 11	CHST11	1.1	2.11
LGR5	G protein-coupled receptor 49	GPR49	1.07	2.1
ATP6V1A	ATPase, H + transporting, lysosomal 70kDa, V1 subunit A	ATP6V1A	1.04	2.05
LITAF	Lipopolysaccharide-induced TNF factor	LITAF	9.80E-01	1.97
CBFB	Core-binding factor, beta subunit	CBFB	0.94	1.92
TMEM194A	KIAA0286 protein	KIAA0286	0.9	1.87
SCARB2	Scavenger receptor class B, member 2	SCARB2	9.00E-01	1.87
GNG11	Guanine nucleotide binding protein (G protein), gamma 11	GNG11	8.70E-01	1.83
CRTAP	Cartilage associated protein	CRTAP	0.86	1.81
ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4	ELAVL4	0.86	1.81
SUMF2	Sulfatase modifying factor 2	SUMF2	8.50E-01	1.8
STK17A	Serine/threonine kinase 17a (apoptosis-inducing)	STK17A	8.20E-01	1.76
CDKAL1	CDK5 regulatory subunit associated protein 1-like 1	CDKAL1	8.00E-01	1.74
FAM46A	Family with sequence similarity 46, member A	FAM46A	8.00E-01	1.74
TSPAN31	Sarcoma amplified sequence	SAS	0.8	1.74
DPYSL3	Dihydropyrimidinase-like 3	DPYSL3	7.80E-01	1.72
	hypothetical protein LOC283731	LOC283731	0.77	1.69
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	NAALAD2	7.70E-01	1.69
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	ABCD3	0.75	1.68
ADAMTS1	A disintegrin-like and metalloprotease (reprolysin type)	ADAMTS1	7.30E-01	1.76
WDR1	WD repeat domain 1	WDR1	7.20E-01	1.65
WASL	Wiskott-Aldrich syndrome-like	WASL	0.71	1.63
ARPC4	Actin related protein 2/3 complex, subunit 4, 20 kDa	ARPC4	0.7	1.62
BLOC1S4	cappuccino	CNO	0.7	1.62
INHBA	Inhibin, beta A (activin A, activin AB alpha polypeptide)	INHBA	7.00E-01	1.62
PDE4B	Phosphodiesterase 4B, cAMP-specific	PDE4B	0.68	1.6
COPA	Coatomer protein complex, subunit alpha	COPA	0.67	1.59
DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	DHX9	0.67	1.59
PPID	peptidylprolyl Isomerase D (cyclophilin D)	PPID	0.65	1.57
RHOBTB3	Rho-related BTB domain containing 3	RHOBTB3	6.50E-01	1.57
TPM4	Tropomyosin 4	TPM4	6.50E-01	1.57
EIF2S3	Eukaryotic translation initiation factor 2, subunit 3 gamma, 52 kDa	EIF2S3	6.40E-01	1.56
TXNIP	Thioredoxin interacting protein	TXNIP	0.64	1.56
MPZL1	Myelin protein zero-like 1	MPZL1	0.63	1.55
NAV2	Neuron navigator 2	NAV2	6.30E-01	1.55
NCAPH2	Hypothetical protein 384D8_6	384D8-2	6.20E-01	1.54
FAM91A2	KIAA0493 protein	KIAA0493	6.20E-01	1.54
DUSP6	Dual specificity phosphatase 6	DUSP6	0.61	1.52
	Similar to RIKEN cDNA B130016O10 gene		0.6	1.5
ACTR2	ARP2 actin-related protein 2 homolog (yeast)	ACTR2	6.00E-01	1.5
BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	BACH2	0.6	1.5
TMEM199	Chromosome 17 open reading frame 32	C17orf32	6.00E-01	1.5
ZNF652	KIAA0924 protein	KIAA0924	0.6	1.5
	hypothetical protein LOC339231	LOC339231	6.00E-01	1.5
C11orf95	Hypothetical protein MGC3032	MGC3032	0.6	1.5
ST3GAL6	Sialyltransferase 10 (alpha-2,3-sialyltransferase VI)	SIAT10	6.00E-01	1.5
